Albânia Albanês
Argentina Argentino
Austrália Australiano
Áustria Austríaco
Bielorrússia Bielorusso
Brasil Brasileiro
Bulgária Búlgaro
Cambodja Cambojano
Chile Chileno
China Chinês
Colombia Colombiano
Croácia Croata
Dinamarca Dinamarquês
Egito Egípcio
Inglaterra Inglês
França Frânces
Alemanha Alemão
Grécia Grego
Islândia Islandês
Índia Indiano
Irlanda Irlândes
Israel Israelita
Itália Italiano
Japão Japonês
Coreia Coreano
Macedónia Macedónio
Malta Maltês
México Mexicano
Moldávia Moldávio
Holanda Holandês
Noruega Norueguês
Peru Peruano
Polónia Polaco
Portugal Português
Rússia Russo
Eslováquia Eslovaco
Espanha Espanhol
Suécia Sueco
Suíça Suiço
Tailândia Tailandês
Ucrânia Ucraniano
