dançando dançou
diminuindo diminuiu
descrevendo descreveu
melhorando melhorou
caíndo caiu
alimentando alimentou
voando voou
gerando gerou
indo foi
escondendo escondeu
acertando acertou
implementando implementou
aumentando aumentou
saltando saltou
conhecendo conheceu
ouvindo ouviu
vendo olhou
movendo moveu
jogando pagou
prevendo previu
lendo ler
correndo correu
dizendo disse
gritando gritou
vendo viu
vendendo vendeu
encolhendo encolheu
cantando cantou
sentando sentou
dormindo dormiu
abrandando lentificou
gastando gastou
golpeando golpeou
nadando nadou
tirando tirou
pensando pensou
desaparecendo desapareceu
andando andou
escrevendo escreveu
