banana bananas
pássaro pássaros
garrafa garrafas
edifício edifícios
carro carros
gato gatos
criança crianças
nuvem nuvens
cor cores
computador computadores
vaca vacas
cão cães
dólar dólares
burro burros
sonho sonhos
águia águias
elefante elefantes
olho olhos
dedo dedos
cabra cabras
mão mãos
cavalo cavalos
leão leões
máquina máquinas
manga mangas
homem homens
melão melões
macaco macacos
rato ratos
cebola cebolas
pêra pêras
porco porcos
ananás ananases
ratazana ratazanas
estrada estradas
cobra cobras
mulher mulheres
