mochila	mochila_pequena/saco_desportivo
saco	bolsa/mochila/pufe/algália/saco_de_viagem/saco_de_pano/saco_de_cordões/saco_de_aspirador/envelope/reservatório_de_gás/saco_de_caça/saco_de_golfe/saco_de_juta/serapilheira/saco_de_gelo/saco_de_correio/embornal/saco_de_ração/alforge/saco_de_plástico/saco_de_farrapos/saco_de_resina/saqueta/saca/algibeira/saco_de_papel/saco_de_compras/saco_de_areia/mochila_escolar/saco_de_compras/saco_para_o_enjoo/odre/saco_cama/saco_de_ginásio/saco_de_chá/estojo_de_tocador/saco_de_ferramentas
cama	beliche/cama_embutida/beliche/berço/sofá_cama/leito_de_morte/cama_dupla/cama_de_dossel/cama_de_rede/saco_cama/cama_de_casal/cama_de_tábuas/cama_de_plataforma/cama_de_hospital/cama_de_solteiro/cama_de_trenó/cama_de_gavetão/cama_de_água/cama_de_corpo_e_meio
barco	balsa/arca/barcaça/batelão/barco_de_mercadorias/barco_de_canal/barco_estreito/ferry/barco_de_bombeiros/gôndola/barco_de_guarda/canhoneira/junco/barco_longo/lugre/veleiro_leve/barco_correio/paquete/lancha/piloto_de_barco/barco_de_polícia/chata/barco_de_rio/barco_de_mar/barco_pequeno/barco_a_vapor/barco_de_surf/barco_macio/chalupa/rebocador/iate/barco_a_vela/barco_a_remos/canoa/caiaque/rabelo/barca_serrana
livro	livro_de_capa_mole/álbum/fólio/livro_de_capa_dura/diário/novela/encomenda/livro_de_fotografias/caderno_de_esboços/caderno
escova	escova_de_dentes/escova_de_garrafas/cerda/escova_de_roupa/escova_de_cabelo/escova_de_unhas/pincel/esfregão/pincel_de_barbear
hambúrguer	hambúrguer_com_queijo/hambúrguer_angus/hambúrguer_de_banquete/hambúrguer_de_churrasco/hambúrguer_de_búfalo/hambúrguer_californiano/hambúrguer_de_chili/hambúrguer_de_caril/hambúrguer_de_salmão/hambúrguer_de_arroz/hambúrguer_vegetariano
câmara	câmara_de_filmar/câmara_obscura/câmara_oculta/câmara_digital/câmara_com_flash/câmara_cinematográfica/câmara_de_apontar_e_disparar/câmara_polaroid/câmara_polaroid_terrestre/polaroid/câmara_de_retratos/câmara_reflex/câmara_web/câmara_de_som/câmara_analógica
doce	chupa-chupa/barra_de_chocolate/barra_de_alfarroba/rebuçado/brigadeiro/bombom/caramelo/caramelo_de_manteiga/bengala_doce/milho_doce/algodão_doce/drageia/pasta_de_acúcar/doce_de_açúcar/pastilha/mel_crocante/doce_de_menta/marroio/goma/beijo/beijo_doce/alcaçuz/alteia/maçapão/nogado/barra_de_nogado/barra_de_nozes/barra_de_amendoim/praliné/ameixa_doce/trufa_de_chocolate/delícias_turcas/ovos_de_páscoa
carro	limusina/descapotável/âmbulância/carro_de_praia/vagão/carrinha/autocarro/calhambeque/pilha_de_carros/táxi/carro_compacto/cupé/carro_de_polícia/carro_de_patrulha/carro_eléctrico/capota_rígida/jipe/carro_de_substituição/carrinha_pequena/modelo/carro_de_segurança/carro_de_corrida/carro_desportivo/carro_pequeno/carro_de_dois_lugares/berlina/carrinha/carro_a_vapor/carro_subcompacto/carro_usado
igreja	capela/abadia/basílica/catedral
citrino	limão/laranja/lima/mandarina/tangerina/clementina
nuvem	nuvem_de_tempestade/cirro-cúmulo/cirro/nuvem_alongada/nuvem_de_condensação/nuvem_alongada/cúmulo-nimbo/cúmulo/nuvem_estratosférica_polar/neblina/nimbo/nuvem_de_chuva/tempestade/estrato/nuvem_em_cogumelo/nuvem_de_fumo
colar	gargantilha/colarinho_de_renda/clérgima/coleira/colarinho_largo/gola_alta/gola
cor	branco/preto/azul/verde/vermelho/amarelo/laranja/vermelhão/âmbar/verde-amarelado/verde-azulado/violeta/magenta/rosa/azul-ciano/ciano/índigo/roxo/castanho
computador	computador_portátil/computador_de_secretária/tablet/smartphone/supercomputador/computador_pessoal
contentor	saco/carteira/livro_de_bolso/bolsa/cesta/cesta_de_mão/caixote/tigela/cano/caixa/caixa_de_pão/contentor/lata/vasilha/cápsula/cargueiro/pasta/escaparate/mostruário/vitrine/cassete/copo/cilindro/caixa_de_dados/copo/prato/distribuidor/gaveta/caixote_do_lixo/vazio/envelope/caixa_de_vidro/sacola/garrafa/embalagem/manjedoura/tina/medida/molde/caixa_fundida/pacote/parcela/frigideira/vagem/panela/vaso_de_flores/frasco/receptáculo/relicário/saleiro/mealheiro/banco/moeda/dinheiro/postigo/balde_para_carvão/batedor/colher/dedal/cápsula/embarcação/cesta/caixote_do_lixo/arquivo/lata/cesto_de_costura/caixa_de_ferramentas/mala/forma
utensílios_de_cozinha	panela/pipeta/caçarola/prato/fogão/chapa/bandeja/louça_esmaltada/grelha/grelha/frigideira/escalfador/escumadeira/vaporizador/espátula/caçarola/cataplana
taça	chávena_de_chá/medidor/cálice/chávena_de_café/copo_de_papel/cílice/chávena_bigodeira/graal
almofada	almofada_de_alfinetes/travesseiro/almofada_de_ar/almofada_insulável/coxim/encosto_de_cabeça/almofada/assento
cutelaria	faca/garfo/colher/garfo_de_mesa/colher_de_chá/colher_de_sobremesa/garfo_de_salada/garfo_de_trinchar/faca_de_carne/faca_de_peixe/garfo_de_carne/garfo_de_peixe/faca_de_manteiga
