atmosfera	gás/oxigénio/hidrogénio/nitrogénio/ozono
saco	couro/tecido/plástico
praia	areia/silício/rochas/seixos/número_atómico_14/Si
barba	pelo
corpo	carne/ossos
botas	couro/lona
garrafa	vidro/plástico
taça	vidro/porcelana/alumínio/madeira/aço/plástico/argila
caixa	cartão/estanho/madeira_de_buxo/madeira_de_buxo_turca
pão	farinha/fermento
bronze	cobre/estanho/Cu/número_atómico_29
guloseima	açúcar/nogado/chocolate/gelatina/melaço/xarope/mel/fruta/frutos_de_casca_rija/noz/avelã/amêndoa/castanha
chocolate	cacau/grão/grão_de_cacau
roupa	tecido/couro
nuvem	vapor/água/vapor_de_água
cocktail	álcool/sumo/água
betão	silício/cimento/água/areia/número_atómico_14/Si
secretária	madeira/metal/aço
diamante	carbono
puxador_da_porta	metal/aço/bronze/madeira
bandeira	tecido/papel
glaciar	gelo/água/oxigénio/hidrogénio/H/H2O/número_atómico_8/número_atómico_1/O/gelo_de_água
vidro	silício
casa	tijolos/cimento/madeira/argila
gelo	água/oxigénio/hidrogénio/H2O/número_atómico_1/número_atómico_8/H/O
pingente de gelo	gelo/água
compota	fruta/açúcar/bagas
calças de ganga	tecido/ganga
relvado	relva/erva
lente	vidro/plástico
espelho	vidro/bronze
dinheiro	papel/metal/prata/ouro/ferro/cobre/estanho
oceano	água
omelete	ovos/ovo/leite/queijo
bolo	farinha/ovo/manteiga/recheio
moeda	metal/liga/bronze/níquel/zinco/cobre/estanho
comprimido	medicamento
plástico	polímero/petróleo/gás/carvão
telhado	telhas_de_madeira/azulejo/madeira/metal
mar	água
neve	água/oxigénio/hidrogénio/floco/gelo/floco_de_neve/flocos_de_neve/H2O/número_atómico_1/número_atómico_8/H/O
colher	alumínio/madeira/aço
aço	ferro/perlite/carbono/cementite/ferrite/carboneto_ferro/Fe/número_atómico_26/ferro_alfa
mesa	madeira/metal/plástico
parede	cimento/tijolos/pedras/rochas/madeira/papelão/cartão/tábua_grossa/argila/lama
água	oxigénio/hidrogénio/água/H2O/número_atómico_1/número_atómico_8/H/O
peruca	cabelo
vinho	uvas/uva
arame	metal
iogurte	leite
