academia	faculdade/universidade/instituto
apartamento	quarto/divisão/casa_de_banho/cozinha/minicozinha/sala_de_estar/despensa/wc/balneário/sala_de_jantar
ave	penas/pluma/uropígio/garupa/cálamo/galinácio/coxa/siringe/bico/rabadilha/bárbula/barbela/pena_de_ave/ráquis/picanço/flâmula/pés/miudezas/álula/garra/pé/rémige/asa/fúrcula/saco/miudeza/ave/pena/glândula/plumagem/palmura/quatros_traseiros/rabadilha/saco_aéreo/pé_de_ave/uropigial/segunda_articulação/glândula_uropigial/pena_de_voo/carne_escura
escova	cerdas/suporte/haste/pega/punho/cabo/cabeça
autocarro	assentos/condutor/janela/motorista/tejadilho
byte	bit
carro	motor/apoio_de_braços/encosto_de_cabeça/grelha/dobradiça/tubo_de_escape/suspensão/capota/buzina/gasolina/pino/bagageira/chão/barra/pára-choques/porta/estabilizador/assento/janela/escape/aleta/traseira/bagagem/pedal/cinto_de_segurança/alto/asa/aleta/abafador/acelerador/compartimento/radiador/acessório/tecto_de_abrir/tejadilho/luzes/luva/saco/coxim/encosto/terceiro/ar/engrenagem/espelho/choque/marcha_atrás/barra_estabilizadora/pedal_acelerador/buzina_automóvel/motor_automóvel/motor_a_gasolina/porta_do_carro/amortecedor/porta_luvas/guarda_pára_choques/sistema_de_escape/primeira_velocidade/velocidade_alta/óculo_traseiro/tecto_de_abrir/terceira_velocidade/airbag/fechadura/acessório_automóvel/colector_de_admissão/botão_da_buzina/plataforma_de_apoio/DULICATE_barra_estabilizadora/buzina_de_motor/colector_de_escape/grelha_de_radiador/velocidade_baixa/junta_flexível/ornamento_da_capota/válvula_de_escape/espelho_do_carro/sistema_de_suspensão
castelo	torre_de_menagem/torre/torreão/portão/masmorra/fosso/fortaleza/salão/calabouço
gato	bigodes/casaco/pata/patas/pêlo/olhos/dorso/garras/cauda/dentes
cadeira	assento/apoio_de_braços/apoio_de_cabeça/apoios_de_braços/descanso/coxim/costas/perna/encosto/pernas
igreja	altar/coro/sacristia/transepto/apse/santuário/crucifixo/divisória/púlpito/nave/torre/sacristia/cantoneira/coro/ámen/capela/lateral/vestíbulo/presbitério/capela_lateral/torre_da_igreja/coro_alto
pente	dentes/haste/pega/dentes/cabo
dia	hora/manhã/entardecer/nanossegundo/meio-dia/fentossegundo/h/minutos/microssegundo/ms/tempo/meia-noite/s/nocturno/m/anoitecer/escuro/picossegundo/diurno/minuto/luz_do_dia/alto/quarto/alvorada/segundo/tarde/doze/milissegundo/meio_da_tarde/atossegundo/noite/meia-hora/fim_da_noite/início_da_noite/luzes_apagadas/60_minutos/madrugada/30_minutos/15_minutos/quarto-de-hora/lusco-fusco
veado	haste/hastes/cernelha/aviso/cauda_curta
dólar	cêntimo
porta	dobradiça/buraco_da_fechadura/soleira/caixilho/fecho/trinco/ombreira/fecho/fechadura
vestido	manga/fecho/peitilho/bainha/corpete/decote/cintura/cinto
nome_do_ficheiro	extensão/nome
flor	pétala/folha/antera/estilete/perianto/placenta/estame/gineceu/ovário/corola/carpelo/envelope/sépala/cálice/estigma/clâmide/pétalas/coroa/perigónio/pétala_de_flor/folha_floral/envelope_floral/ginostégio
gigabit	megabit/kbit/kb/kilobit/mb/mbit
grama	miligrama/mg/grão/mcg/quilate/micrograma/ng/dg/decigrama/nanograma/grão_métrico/óbolo
guitarra	corda/tampo/cravelhas/traste/cordas/trastes/cravelha/escala
arma	gatilho/suporte/segurança/extractor/carregador/cano/cão/mira/coronha/cartucho/câmara/ejector/mecanismo/bloqueio/disparo/boca/bloqueio_da_arma/porta_cartuchos/boca_da_arma/mecanismo_de_disparo/câmara_da_arma/gatilho_da_arma/bloqueio_de_segurança/extractor_de_cartuchos/câmara_de_disparo/ejector_de_cartuchos/carregador_de_cartuchos/cano_de_arma/removedor_de_cartuchos
porto	doca/instalação/ancoradouro/aterragem/ancoragem
prisão	cela/bloco_de_celas/guarda/polícia
joalharia	conta/pedra/fio/contas/pedra_preciosa/gema/metal/ouro/prata/platina/jóia
litro	mililitro/cc/ml/cl/dl/decilitro/centímetro_cúbico/centímetro_cúbico/milímetro_cúbico
filme	cena/legendas/imagens/crédito/episódio/filmagem/sequência/créditos/legenda
ortografia	hifenização/pontuação/sinal_de_pontuação/divisão_de_palavras/soletração
piano	teclado/cravo/alto/martelo/ressonância/pedal/sustentação/suave/escala/placa_de_som/acção/placa/tecla/tampa_do_teclado/mecanismo_do_piano/mecanismo_de_acção/bloco_amortecedor/caixa_de_ressonância/pedal_de_sustentação/pedal_alto/abafador_de_piano/teclado_de_piano/abertura_acústica/pedal_suave
tarte	crosta/queijo/recheio/fruta/maçã/bagas/cobertura/pastelaria/cobertura
poema	estrofe/canto/prosódia/rima/linha/verso/ritmo_poético/padrão_rítmico/linha_de_verso/linha_de_poesia/redondilha/quadra/quarteto/trova
bar	bar/salão/destilaria_de_gin
rádio	receptor/sintonizador/rádio/desmodulador/transmissor/detector/recepção/aparelho/amplificador/sem_fios/transmissor_de_rádio/aparelho_de_recepção/receptor_de_rádio/aparelho_de_rádio
vagão	suspensão/coxim/choque/amortecedor/sistema_de_suspensão
beira_mar	porto/porto_de_mar/doca/enseada/ancoradouro/ancoragem/porto
xelim	centavo
camisa	botão/babete/colarinho/manga/botões/bolso/fralda_da_camisa/manga_da_camisa/peito_da_camisa/botão_de_camisa
sonata	movimento
