aeroplano	avião/aeronave
automóvel	carro/viatura
bebé	menor/criancinha
bicicleta	bicla/velocípede
criança	miúdo/jovem/menor/garoto/criancinha/arraia_miúda/pequenito/diabrete/traquinas/filhote/pueril
fazenda	tecido/têxtil/pano
roupa	vestuário/vestimenta/vestido
confuso	desconcentrado/atordoado/desorientado/perplexo/desnorteado/baralhado
dólares	verdes
ênfase	importância/destaque/significância/saliência/realce
pai	papai/paizinho
florir	desabrochar/florescer
porto	porto_marítimo/baía/porto_de_mar
ajuda	assistência/auxílio/apoio/socorro
hieróglifo	pictograma
homogéneo	uniforme/invariável/constante
honesto	sincero/verdadeiro/franco/fiel/frontal/claro/íntegro
idêntico	mesmo/indistinguível/impercetível
incorreto	contrário/erróneo/inexato/enganador/infundado/falso/impreciso/ilusório
inteligente	esperto/astuto
joia	gema/pedra/pedra_preciosa
rapaz	indivído/colega/tipo/cavalheiro/gajo/sujeito/companheiro/camarada
senhora	madame/dama/sra/mulher
preguiçoso	indolente/vadio/ocioso/inativo/desocupado/mandrião/madraço
lista	listagem/enumeração
leal	fiel/verdadeiro/dedicado/fiável/devoto/confiável
mercado	feira/bazar/praça
consertar	reparar/arranjar/arranjo/conserto/reparação/remendar/restaurar/renovar
malha	gaze/véu/rede_de_cabelo/rede/tule/arame/grelha
monumento	memorial
mãe	mamã/mamãe/mãezinha
assassínio	matança/matar/execução/homicídio
novo	moderno/recente/atual
obsoleto	ultrapassado/desatualizado/fora_de_moda/datado/antiquado/velho
organizado	arranjado/configurado/corporativo/incorporado/reformado/reorganizado/ordenado
embalagem	volume/fardo/pacote/embrulho/encomenda
telefone	celular/telefone_celular/smartphone/telemóvel
porção	parte/componente/constituinte/peça/elemento
caminho_de_ferro	ferrovia
racional	lógico/coerente/razoável/sensato/justo
razoável	sensato
rocha	pedra/calhau
margem	costa/praia/borda/orla
cobra	serpente/ofídio
sofá	divã/poltrona
esposa	parceira/companheira/cara_metade/cônjuge
estilo	maneira/modo/forma
doces	doçaria/sobremesa/doces/guloseimas
vilão	malandro/patife/miserável/canalha/biltre
vocabulário	léxico/dicionário/glossário
