capaz	incapaz/incompetente/inadequado
abundante	escasso/raro/apertado/parco/escassamente/insuficiente/deficitário/exíguo/deficiente
consciente	desatento/inconsciente/insuspeito/a_dormir/insensível/sem_intenção/ignorante/indiferente/desinformado
bonito	feio/desfigurado/mal-encarado/grotesco/monstruoso/hideondo/repulsivo/desfavorecido/escrofuloso/pouco_atraente/não_atraente/estranho/disforme
grande	pequeno/atómico/subatómico/diminuto/liliputiano/minorca/pequenininho/pequenino/pouquinho/anão/élfico/gnomo/meia-leca/ínfimo/minuto/menor/microscópico/micro/miniatura/minúsculo/de_bolso/insignificante/raquítico/delgado/mais_pequeno/mais_pequenino/pequena_escala/subdimensionar/subdimensionado/baixo/nanico/pigmeu/portátil/compacto
brilhante	pálido/incolor/apagado/neutro/branco/descolorado/desvanecido/descolorido/deslavado/baço/enevoado/acinzentado/estiolado/lúrido/encerado/branqueado/ceroso/desbotado/cinzentão
barato	caro/dispendioso/muito_caro/careiro/demasiado_caro/valioso/puxado
limpo	sujo/impuro/manchado/enegrecido/encardido/porco/negro/enfarruscado/turvo/imundo/nojento/contaminado/sórdido/gorduroso/oleoso/infestado/conspurcado/enlameado/ranhoso/fuliginoso/por_varrer/deslavado/gordurento/farrusco
claro	vago/obscuro/pouco_claro/indefindo/indefinível/incerto
próximo	distante/remoto/afastado/longe/longínquo/separado
colorido	incolor/apagado/neutro/pálido/branco/descolorado/desvanecido/descolorido/deslavado/baço/enevoado/acinzentado/estiolado/lúrido/ceroso/branqueado/desbotado/cinzentão/encerado
comum	raro/infrequente/escasso/incomum/extraordinário
competente	incompetente/incapaz/não_qualificado/ineficiente/inexperiente/inapto
preocupado	despreocupado/desinteressado/casual/desprendido/à_margem/indiferente/negligente/não_perturbado/desfocado
cozinhado	cru/meio_cru/fresco/natural/mal_passado/por_cozinhar/não_tostado/passado/no_ponto
perigoso	seguro/infalível/sem_risco/sem_perigo/são_e_salvo/ileso/inofensivo/invulnerável/incólume
decisivo	hesitante/indeciso/inconclusivo/irresolúvel/inconcludente
seco	molhado/orvalhado/salpicado/encharcado/pantanoso/sujo/enlameado/lodoso/empapado/pantanoso/alagado/húmido/ensopado/brumoso/vaporoso/pegajoso/fétido/aguado/chuvoso/lavado/borrifado/lamacento/viscoso/aquoso
energético	letárgico/aturdido/confuso/grogue/apático/estuporoso/sonhador/lânguido/langoroso/inativo/atordoado
familiar	estranho/desconhecido/estrangeiro/forasteiro
gordo	magro/enxuto/anorético/cadavérico/emaciado/descarnado/esquelético/enfraquecido/desengonçado/fininho/espantalho/escanzelado/esgalgado/enrugado/mirrado/seco/esguio/débil/elegante/esbelto/pernalto/fantasma/fino/delgado/emagrecido/magricela/atrofiado/chupado/trinca-espinhas/magrela/transparente
cheio	vazio/descoberto/despojado/limpo/em_branco/de_mãos_vazias/transparente/pilhado/saqueado/vago/vácuo/despido/de_mãos_a_abanar/livre/oco/às_moscas/arejado
gasoso	sólido/duro/coagulado/solidificado/concreto/congelado/gelatinizado/seco/semissólido/estado_sólido/rijo/teso/palpável/gelificado
generoso	avarento/mendigo/mau/reles/sovina/mesquinho/secreto/somítico/forreta/agarrado/avaro/invejoso/miserável/parcimonioso/penurioso/egoísta/cruel/canalha/patife/maldoso/ordinário/reservado/injusto
feliz	triste/agridoce/doloroso/enlutado/acabrunhado/melancolia/melancólico/nostálgico/trágico/tragicómico/deplorável/angustiante/lamentável/pesaroso/desanimado/fúnebre/desolado/desgostoso
duro	mole/suave/escovado/enqueijado/compressível/espremível/felpudo/almofadado/acolchoado/demulcente/emoliente/pomada/amaciador/sedoso/fofo/flácido/flocado/lanoso/dúctil/pastoso/estofado/amolecido/semimole/esponjoso/veludo/aveludado/macio/branco/amortecido/flocoso/flexível/moldável
quente	frio/fresco/gelado/gélido/ameno
interessante	desinteressante/maçante/aborrecido/mortal/penoso/lento/fastidioso/cansativo/insípido/narcótico/soporífero/prosaico/descartável/monótono/desestimulante/seca/enfadonho/tedioso/entediante
introvertido	extrovertido/aberto/sociável/dado/comunicativo/expansivo
grande	pequeno/pequenino/atómico/subatómico/diminuto/liliputiano/minorca/pequenininho/anão/élfico/gnomo/meia-leca/ínfimo/minuto/menor/microscópico/micro/miniatura/minúsculo/de_bolso/insignificante/raquítico/delgado/mais_pequeno/mais_pequenino/pequena_escala/subdimensionar/subdimensionado/baixo/nanico/pigmeu/portátil/compacto/mini
comprido	curto/abreviado/encurtado/truncado/breve/fugaz/momentâneo/curto_prazo/curto_alcance/reduzido/serrado/curtinho/curto_alcance/telescópico/truncar/robusto/atarracado/agachar/agachado/compacto/corpolento/grosso/médio/pequenino/raquítico/serrado/rechonchudo/resumido/transitório/eférmero/compendioso/baixo_alcance/volumoso/cortado/seccionado/gorducho/sintético/restrito/sucinto
grumoso	liso/nível/plano/regular/raso/uniforme
barulhento	silencioso/não_comunicativo/mudo/desarticulado/calado/emudecido
normal	anormal/aberrante/desviante/desviar/anómalo/antidrómico/atípico/irregular/braquidactílico/defeituoso/caprichoso/excêntrico/perverso/atrasado/supernormal/vicariante/incomum/excepcional/alienado/antinatural/especial/estranho/insólito/desviado/extravagante/bizarro/invulgar/raro
organizado	desorganizado/desestruturado/descoordenado/imaturo/desincorporado
pálido	moreno/bronzeado/queimado/escuro
rico	pobre/falido/teso/liso/empobrecido/indigente/necessitado/desfavorecido/impecunioso/penurioso/apertado/sem_dinheiro/desprovido/carente/desabastecido/mísero/arruinado
