após	antes/anteriormente/previamente
adiante	atrás/traseiro/após/cauda/previamente
anterior	posterior
para_trás	para_a_frente/em_frente/adiante/em_diante
antes	depois/subsequentemente/mais_tarde/adiante/ulteriormente/à_frente
começo	fim/término/final/último/termo/conclusão
por_baixo	por_cima/acima/em_cima
subida	descida/escarpado/encosta/inclinado_para_baixo/degressivo/descendente/baixa/arqueado_para_baixo/queda
morto	vivo
decremento	incremento
descer	ascender/trepar/elevar/ascendente/subir
mergulhar	emergir/surgir
baixo	cima/acima/à_frente/liderança/para_o_céu/ressuscitado/brotado/ascendente/em_cima/subida
descida	subida/ascenção
largar	elevar/apanhar/levantar
dinâmico	estático/quieto/imóvel/inalterável/parado
empregar	demitir/despedir/afastar/terminar/destituir
saída	entrada/acesso
queda	elevação/ascenção/subida/escalada
primeiro	último/fim/terminal/final/termo/conclusão/término
esquecer	lembrar/recuperar/relembrar/evocar/recordar
para_a_frente	para_trás/trás/pela_retaguarda
frente	trás/traseira
dentro	fora/externo/exterior
entrada	saída
inalar	exalar
entrada	saída
dentro	fora/exterior
interior	exterior/externo/fora
interno	externo/exterior
inverso
mortal	imortal
ocupado	vago/livre
desligado	ligado
fora	dentro/interior
para_fora	para_cima/cima/ascendente
sobre	debaixo_de/abaixo_de/abaixo/sob
anteriormente	subsequentemente/mais_tarde/depois/após/subsequente
seguir	retirar/retornar/retroceder/recuar/regressar
elevar	afundar/tombar/cair
sul	norte
sudeste	sudoeste/nordeste
imergir	emergir
cimo	fundo/inferior
em_direção	longe/à_parte/de_parte
verdadeiro	falso/incorreto/errado/enganado
sob	sobre/por_cima/cima
cima	baixo/para_baixo/descendente
subida	descida/declínio/queda/declive/inclinado_para_baixo
oeste	este
