postura	vertical
ortodoxia	ortodoxo
antigo	idade
interno	localização/colocação/posição/situação
condição	dominante/subordinado
opaco	opacidade
chance	possível
brilhante	luminosidade
adequação	inadequado/capaz/adequado
comercialismo	comercial
feio	beleza/Belo
adoentado	saúde
apagado	extinção
grosso	grossura/espessura
insípido	sabor
santidade	sagrada/santa/sagrado/santo
amável	amabilidade/natureza/índole
realidade	existente/verdadeiro/efectivo/real/efetivo
nórdico	norte
plenitude	exaustivo/amplo/incompleto/completo/integral/vazio/cheio/pleno/lotado
corriqueiro	convenção
sátira	sarcástico
exato	exactidão/exatidão/correção/precisão
casta	virgindade/virtude/castidade/pureza
afetado	naturalidade
covardia	covardemente/covarde/cobarde
Realidade	existente
qualidade	inferior/superior/ruim/positivo/boa
duração	curto
humidade	molhado/seco
arrojado	denodo
faculdade	capaz
idade	antigo/velho/jovem/maturo/maduro/imaturo/novo
corrupção	corrupto
invariabilidade	desnivelado/plano
positivo	qualidade
obediência	obediente/desobediente
brava	denodo
estatura	alto/baixo
polidez	gentil/indelicado
suscetível	susceptibilidade
direito	posição/local/lugar
fácil	naturalidade/facilidade
inteiro	integridade
naturalidade	fácil/natural/afetado/antinatural
inútil	eficácia/utilidade
maléfico	Maldade/maldade
liberdade	livre/independente/dependente
devagar	velocidade
disponibilidade	inacessível/disponível
correto	correcção
sexual	gênero/sexualidade/sexo
inquietante	estupefação/consternação/medo
norte	nórdico/nortista/setentrional/boreal
disposto	preparação/prontidão
vivo	vida/animação
parecido	similitude/semelhança
tom	cromático/acromático
ortodoxo	ortodoxia
precisão	preciso/exato/acurado/justo/exacto
afoito	denodo
sagrada	santidade
probabilidade	provável/improvável
grande	dimensão/medida/magnitude/tamanho
hetero	sexo/transa
morena	tez
incorreto	correcção
limpeza	sujo/limpo
levante	oriental
criador	criatividade/Criatividade
desconfortável	conforto
falso	verdade
desembaraço	certo/inseguro/incerto
capaz	faculdade/adequação/habilidade/potencialidade/talento/capacidade
exacto	exactidão/exatidão/correção/precisão
convenção	corriqueiro/convencional
correção	preciso/exato/acurado/justo/exacto
pudor	modesto
curto	duração
assexual	gênero/sexualidade/sexo
Distância	vizinho/perto/distante/longe/longínquo
benigno	benevolência
oriente	oriental
doentio	saúde
estupefação	alarmante/inquietante
inalterável	mutabilidade
magnético	magnetismo/Magnetismo
corrupto	corrupção/honestidade/Honestidade
