desgostar	antipatizar
levantar	ascender/aumentar/subir
fortificar	consolidar
temperar	suavizar
sujeitar	experimentar/experienciar
cansar-se	fatigar
enxugar	secar
clicar	entender/comprender/compreender
parar	deixar
posar	sentar/sentar-se
lecionar	aprender/estudar/adquirir
reviver	acordar
reduzir	murchar/contrair/encolher/contrair-se
gelar	congelar
agradar	gostar
alentar	esperar/aguardar/esperançar
mergulhar	focar
espalhar	circular
colar	aderir/grudar
começar	principiar/iniciar
instar	apressar/correr/acelerar
apresentar	enxergar/ver/olhar
rebaixar	baixar/cair/descer
refrescar	resfriar/esfriar/arrefecer/esfriar-se
aborrecer	apoquentar
apressar	correr/acelerar
desencadear	ocorrer/passar/suceder/acontecer
reptar	atuar/agir/fazer
dividir	separar
modificar	mudar/alterar
acomodar	caber
baixar	cair/descer
ofender	ressentir
islamizar	converter
apavorar	apavorar-se/temer
avultar	inchar
desagradar	desgostar/antipatizar
difundir	circular/espalhar
angustiar	sofrer
exaurir	fatigar
ocasionar	ocorrer/passar/suceder/acontecer
dar	ter
esporear	atuar/agir/fazer
encolerizar	enraivecer/irritar
intoxicar	regozijar-se/alegrar-se/regozijar/alegrar
produzir	ocorrer/passar/suceder/acontecer
impacientar	apressar/correr/acelerar
zangar	enraivecer/irritar
terminar	finalizar/encerrar/parar/acabar/cessar
aposentar	aposentar-se
activar	ocorrer/passar/suceder/acontecer
realizar	entender/comprender/compreender
disparar	debandar
juntar	unir/grudar
intimidar	recear/apavorar/temer
aterrar	pousar
queimar	carburar
atormentar	agoniar/agonizar
acirrar	intensificar
instruir	aprender/estudar/adquirir
alastrar	circular/espalhar
acoplar	unir/juntar
viajar	andar/ir/caminhar
supliciar	agoniar/agonizar
tencionar	surgir/aparecer
derramar	correr/manar/fluir
deslocar	mexer/mover
aumentar	intensificar
enfurecer	enraivecer/zangar
pôr	jazer/sentar/sentar-se
afixar	colar/aderir/grudar
exaurir-se	fatigar
urgir	apressar/correr/acelerar
treinar	malhar/exercitar
madurar	amadurecer
concluir	finalizar/terminar/encerrar/parar/acabar/cessar
comover	experimentar/sentir
alimentar	comer
perceber	entender/comprender/compreender
provocar	atuar/agir/fazer/ocorrer/passar/suceder/acontecer
amedrontar	recear/apavorar/temer
colocar	jazer
dirigir	atuar/agir/fazer
deslizar	escorregar
alongar	esticar
doer	sofrer
iluminar	resplandecer/luzir/brilhar
amargar	ressentir
submergir	naufragar
enrijecer	endurecer
ensinar	aprender/estudar/adquirir
destruir	quebrar
exercitar-se	malhar/exercitar
embevecer	gostar
alterar	mudar
transmitir	circular/espalhar
atemorizar	recear/apavorar/temer
ressuscitar	acordar
prender	fixar/aferrolhar
envenenar	ressentir
comprazer	gostar
encerrar	finalizar/terminar/parar/acabar/cessar
superaquecer	sobreaquecer
cerrar	fechar
entender	comprender/compreender
descolorir	colorir
espairecer	descontrair/relaxar
efetuar	ocorrer/passar/suceder/acontecer
refrigerar	resfriar/esfriar/refrescar/arrefecer/esfriar-se
irritar	ressentir/confundir/apoquentar
recordar	recordar-se/lembrar-se/lembrar
afrouxar	sossegar
malhar	exercitar
mudar	alterar
alçar	ascender/subir
afetar	experimentar/sentir
obrigar	atuar/agir/fazer
constranger	atuar/agir/fazer
encorajar	esperar/aguardar/esperançar
soar	fazer/ressoar
machucar	sofrer/doer
evacuar	mudar-se/mudar
enraivecer	irritar
licenciar	formar/graduar/bacharelar
fortalecer	consolidar
amargurar	ressentir
injuriar	ressentir
deitar	jazer
satisfazer	gostar
sentar	sentar-se
entristecer	magoar/afligir-se/sofrer
sentar-se	sentar
usar	aplicar/valer
assustar	recear/apavorar/temer
extender	esticar
elevar	regozijar-se/alegrar-se/regozijar/alegrar/ascender/subir
matar	morrer/perecer/falecer
passar	atravessar
utilizar	aplicar/valer
graduar	formar/bacharelar
esfriar	resfriar/refrescar/arrefecer/esfriar-se
relaxar	descontrair
compelir	atuar/agir/fazer
disseminar	circular/espalhar
circular	mexer/mover/deslocar
entornar	correr/manar/fluir
verter	correr/manar/fluir
aperfeiçoar	melhorar
animar	alegrar-se/animar-se/alegrar
aleijar	doer
fixar	aferrolhar
iniciar	principiar/começar
despontar	entender/comprender/compreender
afiar	acerar
unir	juntar/grudar
conduzir	atuar/agir/fazer
resfriar	esfriar/refrescar/arrefecer/esfriar-se
aterrorizar	recear/apavorar/temer
torturar	agoniar/agonizar
arruinar	quebrar/destruir
finalizar	terminar/encerrar/parar/acabar/cessar
forçar	atuar/agir/fazer
silenciar	calar
afundar	naufragar
erguer	ascender/subir
derrubar	baixar/cair/descer
empregar	aplicar/valer
encantar	gostar
abater	baixar/cair/descer
irar	enraivecer/irritar
separar	desunir/dividir
pasteurizar	condensar/destilar
anexar	juntar/grudar
impressionar	experimentar/sentir
virar	derrubar
partir	separar/dividir
aprazer	gostar
insultar	ressentir
mostrar	enxergar/ver/olhar
cravar	colar/aderir/grudar
arder	carburar/queimar
colapsar	desmoronar/desabar/quebrar/ruir
entregar	ter
ferir	doer
esquentar	aquecer
alegrar	alegrar-se/animar-se/animar
mobilizar	mexer/mover/deslocar
acender	queimar/carburar
diminuir	murchar/contrair/encolher/contrair-se
debilitar	suavizar
completar	encher
mover	mexer/deslocar
abrandar	suavizar
arriar	baixar/cair/descer
