desgostar	antipatizar
fortificar	consolidar
temperar	suavizar
sujeitar	experienciar
cansar-se	fatigar
enxugar	secar
clicar	comprender/compreender
parar	deixar
posar	sentar/sentar-se
lecionar	aprender/estudar/adquirir
reviver	acordar
gelar	congelar
alentar	esperar/aguardar/esperançar
mergulhar	focar
espalhar	circular
colar	grudar
instar	apressar
apresentar	enxergar/ver/olhar
refrescar	resfriar/esfriar/arrefecer/esfriar-se
aborrecer	apoquentar
desencadear	ocorrer/passar/suceder/acontecer
reptar	atuar/agir
dividir	separar
modificar	mudar/alterar
acomodar	caber
ofender	ressentir
islamizar	converter
apavorar	apavorar-se/temer
avultar	inchar
desagradar	desgostar/antipatizar
difundir	circular/espalhar
angustiar	sofrer
exaurir	fatigar
ocasionar	ocorrer/passar/suceder/acontecer
esporear	atuar/agir
encolerizar	enraivecer/irritar
intoxicar	regozijar-se/alegrar-se/regozijar/alegrar
produzir	ocorrer/passar/suceder/acontecer
impacientar	apressar
zangar	enraivecer/irritar
terminar	finalizar/encerrar/parar/acabar/cessar
aposentar	aposentar-se
activar	ocorrer/passar/suceder/acontecer
disparar	debandar
intimidar	recear/apavorar/temer
aterrar	pousar
queimar	carburar
atormentar	agoniar/agonizar
acirrar	intensificar
instruir	aprender/estudar/adquirir
alastrar	circular/espalhar
viajar	andar/caminhar
supliciar	agoniar/agonizar
tencionar	surgir/aparecer
derramar	manar/fluir
deslocar	mexer/mover
aumentar	intensificar
enfurecer	enraivecer/zangar
afixar	colar/grudar
exaurir-se	fatigar
urgir	apressar
madurar	amadurecer
concluir	finalizar/terminar/encerrar/parar/acabar/cessar
comover	sentir
alimentar	comer
perceber	comprender/compreender
provocar	atuar/agir/ocorrer/passar/suceder/acontecer
amedrontar	recear/apavorar/temer
colocar	jazer
dirigir	atuar/agir
alongar	esticar
doer	sofrer
iluminar	resplandecer/luzir/brilhar
amargar	ressentir
submergir	naufragar
enrijecer	endurecer
ensinar	aprender/estudar/adquirir
destruir	quebrar
exercitar-se	malhar/exercitar
alterar	mudar
transmitir	circular/espalhar
atemorizar	recear/apavorar/temer
ressuscitar	acordar
prender	aferrolhar
envenenar	ressentir
encerrar	finalizar/terminar/parar/acabar/cessar
superaquecer	sobreaquecer
cerrar	fechar
descolorir	colorir
espairecer	descontrair/relaxar
efetuar	ocorrer/passar/suceder/acontecer
refrigerar	resfriar/esfriar/refrescar/arrefecer/esfriar-se
irritar	ressentir/confundir/apoquentar
recordar	recordar-se/lembrar-se/lembrar
afrouxar	sossegar
malhar	exercitar
mudar	alterar
alçar	subir
afetar	sentir
obrigar	atuar/agir
constranger	atuar/agir
encorajar	esperar/aguardar/esperançar
soar	ressoar
projectar	surgir/aparecer
machucar	sofrer/doer
evacuar	mudar-se/mudar
enraivecer	irritar
licenciar	formar/graduar/bacharelar
fortalecer	consolidar
amargurar	ressentir
injuriar	ressentir
deitar	jazer
sentar	sentar-se
entristecer	magoar/afligir-se/sofrer
sentar-se	sentar
usar	valer
assustar	recear/apavorar/temer
extender	esticar
elevar	regozijar-se/alegrar-se/regozijar/alegrar/subir
matar	morrer/perecer/falecer
passar	atravessar
utilizar	valer
graduar	formar/bacharelar
esfriar	resfriar/refrescar/arrefecer/esfriar-se
relaxar	descontrair
compelir	atuar/agir
disseminar	circular/espalhar
circular	mexer/mover/deslocar
entornar	manar/fluir
aperfeiçoar	melhorar
aleijar	doer
iniciar	principiar
despontar	comprender/compreender
afiar	acerar
resfriar	esfriar/refrescar/arrefecer/esfriar-se
aterrorizar	recear/apavorar/temer
torturar	agoniar/agonizar
arruinar	quebrar/destruir
finalizar	terminar/encerrar/parar/acabar/cessar
forçar	atuar/agir
silenciar	calar
erguer	subir
empregar	valer
irar	enraivecer/irritar
separar	desunir/dividir
pasteurizar	condensar/destilar
anexar	grudar
impressionar	sentir
virar	derrubar
partir	separar/dividir
insultar	ressentir
cravar	colar/grudar
arder	carburar/queimar
colapsar	desmoronar/desabar/quebrar/ruir
entregar	ter
ferir	doer
esquentar	aquecer
alegrar	alegrar-se/animar-se
mobilizar	mexer/mover/deslocar
acender	queimar/carburar
diminuir	murchar/contrair/encolher/contrair-se
debilitar	suavizar
completar	encher
mover	mexer/deslocar
