desgostar	antipatizar/não_gostar
levantar	ascender/aumentar/subir/ficar_de_pé
fortificar	consolidar
temperar	suavizar
sujeitar	experimentar/experienciar
fazer_decidir	decidir/resolver
cansar-se	fatigar
enxugar	secar
clicar	entender/comprender/compreender
parar	deixar
posar	estar_sentado/sentar/sentar-se
lecionar	aprender/estudar/adquirir
reviver	acordar
ficar_menor	murchar/contrair/encolher/contrair-se
reduzir	murchar/contrair/encolher/contrair-se
gelar	congelar
agradar	gostar
alentar	esperar/aguardar/esperançar
mergulhar	focar
espalhar	circular
colar	aderir/grudar
estressar	ficar_tenso
começar	principiar/iniciar
instar	apressar/correr/acelerar
apresentar	enxergar/ver/olhar
rebaixar	baixar/cair/descer
refrescar	resfriar/esfriar/arrefecer/esfriar-se
aborrecer	apoquentar
apressar	correr/acelerar
desencadear	ocorrer/passar/suceder/acontecer
reptar	atuar/agir/fazer
dividir	separar
combustir	ter_um_ataque/perder_a_cabeça
modificar	mudar/alterar
acomodar	caber
baixar	cair/descer
ofender	ressentir
islamizar	converter
apavorar	apavorar-se/temer
avultar	inchar/entumescer
desagradar	desgostar/antipatizar/não_gostar
difundir	circular/espalhar
angustiar	sofrer
exaurir	fatigar
ocasionar	ocorrer/passar/suceder/acontecer
dar	ter
esporear	atuar/agir/fazer
encolerizar	enraivecer/irritar/zangar_se
intoxicar	regozijar-se/alegrar-se/regozijar/alegrar
produzir	ocorrer/passar/suceder/acontecer
impacientar	apressar/correr/acelerar
zangar	enraivecer/irritar/zangar_se
terminar	finalizar/encerrar/parar/acabar/cessar
aposentar	aposentar-se/se_aposentar
tensionar	ficar_tenso
activar	ocorrer/passar/suceder/acontecer
realizar	entender/comprender/compreender
disparar	debandar
juntar	unir/grudar
intimidar	recear/apavorar/ter_medo_de/temer
aterrar	aterrissar/pousar
queimar	carburar
atormentar	agoniar/agonizar
acirrar	intensificar
instruir	aprender/estudar/adquirir
alastrar	circular/espalhar
acoplar	unir/juntar
viajar	andar/ir/caminhar
supliciar	agoniar/agonizar
tencionar	surgir/aparecer
derramar	correr/manar/fluir
deslocar	mexer/mover
aumentar	intensificar
enfurecer	enraivecer/zangar/ter_um_ataque/perder_a_cabeça
pôr	estar_deitado/jazer/estar_sentado/sentar/sentar-se
encostar	ficar_de_pé
afixar	colar/aderir/grudar
exaurir-se	fatigar
urgir	apressar/correr/acelerar
treinar	malhar/exercitar
madurar	amadurecer
concluir	finalizar/terminar/encerrar/parar/acabar/cessar
comover	experimentar/sentir
alimentar	comer
perceber	entender/comprender/compreender
provocar	atuar/agir/fazer/ocorrer/passar/suceder/acontecer
amedrontar	recear/apavorar/ter_medo_de/temer
colocar	estar_deitado/jazer
dirigir	atuar/agir/fazer
deslizar	escorregar
alongar	esticar
doer	sofrer
iluminar	resplandecer/luzir/brilhar
amargar	ressentir
evaziar	esvaziar
submergir	naufragar
enrijecer	endurecer/inrijecer
aterrissar	aterrar/pousar
ser_recebido	entender/comprender/compreender
ensinar	aprender/estudar/adquirir
destruir	quebrar
exercitar-se	malhar/exercitar
embevecer	gostar
puxar_descarga	correr/manar/fluir
alterar	mudar
transmitir	circular/espalhar
atemorizar	recear/apavorar/ter_medo_de/temer
ressuscitar	acordar
avelhentar	envelhecer
prender	fixar/aferrolhar
envenenar	ressentir
comprazer	gostar
encerrar	finalizar/terminar/parar/acabar/cessar
superaquecer	sobreaquecer
direcionar_luz	resplandecer/luzir/brilhar
ferver	ebulir
dar_comida	comer
cerrar	fechar
entender	comprender/compreender
descolorir	colorir
espairecer	descontrair/relaxar/pegar_leve
efetuar	ocorrer/passar/suceder/acontecer
refrigerar	resfriar/esfriar/refrescar/arrefecer/esfriar-se
irritar	ressentir/confundir/apoquentar
recordar	recordar-se/lembrar-se/lembrar
afrouxar	sossegar
malhar	exercitar
mudar	alterar
alçar	ascender/subir
afetar	experimentar/sentir
obrigar	atuar/agir/fazer
constranger	atuar/agir/fazer
encorajar	esperar/aguardar/esperançar
soar	fazer/ressoar
projectar	surgir/aparecer
machucar	sofrer/doer
evacuar	mudar-se/mudar
enraivecer	irritar/zangar_se
licenciar	formar/graduar/formar_se/bacharelar
fortalecer	consolidar
amargurar	ressentir
injuriar	ressentir
deitar	estar_deitado/jazer
inchar	entumescer
satisfazer	gostar
sentar	estar_sentado/sentar-se
aterrizar	aterrissar/aterrar/pousar
entristecer	magoar/afligir-se/sofrer
sentar-se	estar_sentado/sentar
usar	aplicar/valer
assustar	recear/apavorar/ter_medo_de/temer
extender	esticar
elevar	regozijar-se/alegrar-se/regozijar/alegrar/ascender/subir
matar	morrer/bater_as_botas/perecer/falecer
passar	atravessar
utilizar	aplicar/valer
graduar	formar/formar_se/bacharelar
esfriar	resfriar/refrescar/arrefecer/esfriar-se
demulsificar	desemulsionar
relaxar	descontrair/pegar_leve
esfomear	morrer_de_fome/passar_fome/estar_esfomeado/estar_faminto
compelir	atuar/agir/fazer
disseminar	circular/espalhar
circular	mexer/mover/deslocar
entornar	correr/manar/fluir
verter	correr/manar/fluir
aperfeiçoar	melhorar
