português	portugal
ministro	grã-bretanha
francês	frança
dólar	américa
deputado	grã-bretanha/frança
face	grã-bretanha
sala	grã-bretanha
norte	américa
parlamento	grã-bretanha
prisão	grã-bretanha
estrada	grã-bretanha
negro	áfrica
distrito	japão/frança
japonês	japão
chinês	china
colega	grã-bretanha
residente	grã-bretanha
cadeia	grã-bretanha
união	américa
par	grã-bretanha
bar	grã-bretanha
cientista	grã-bretanha
rosto	grã-bretanha
vale	grã-bretanha
escritório	grã-bretanha
patrão	frança
cruzamento	roma
reitor	grã-bretanha
salão	grã-bretanha
chanceler	grã-bretanha
bicicleta	grã-bretanha
barra	grã-bretanha
râguebi	grã-bretanha
chá	grã-bretanha
tribo	américa
alfândega	grã-bretanha/américa
escravo	europa
farinha	grã-bretanha
bilião	grã-bretanha
negra	áfrica
bandido	américa
estagiário	grã-bretanha
sobremesa	grã-bretanha
taberna	grã-bretanha
cola	américa
polegada	grã-bretanha/américa
pub	grã-bretanha
coca	américa
condado	grã-bretanha/américa
mestiço	américa
bolacha	grã-bretanha
ribeiro	sudoeste
avaliador	grã-bretanha
pancadaria	grã-bretanha
perdiz	américa
fisionomia	grã-bretanha
solicitador	roma
emir	áfrica/arábia
merenda	grã-bretanha
pia	grã-bretanha
go	japão
sesta	grã-bretanha
biscoito	grã-bretanha
pudim	grã-bretanha
fenício	fenícia
presídio	grã-bretanha
panteão	roma
panteão	roma
servo	europa
legionário	frança
lady	grã-bretanha
trapézio	américa
estagiária	grã-bretanha
bastilha	frança
qui	china
safári	áfrica
subcontinente	índia
catacumba	roma
focinho	américa
sir	grã-bretanha
kamikaze	japão
gladiador	roma
tricolor	frança
thatcherismo	grã-bretanha
ianque	américa
botequim	grã-bretanha
hinduísmo	índia
lavabo	grã-bretanha
gringo	américa
mercantilismo	europa
condestável	grã-bretanha
mercantilismo	europa
parca	grã-bretanha
charneca	grã-bretanha
bocal	américa
anglo-saxão	grã-bretanha
fedor	grã-bretanha
mod	grã-bretanha
totem	américa
totem	américa
melaço	grã-bretanha
pita	médio-oriente
centurião	roma
maçaneta	grã-bretanha
macacão	grã-bretanha
preceptor	grã-bretanha
preceptor	grã-bretanha
sushi	japão
almirantado	grã-bretanha
estaminé	grã-bretanha
bilhão	américa/grã-bretanha
caratê	japão
gafe	grã-bretanha
somme	frança
boteco	grã-bretanha
hinduismo	índia
stone	grã-bretanha
kibutz	israel
futon	japão
kibutz	israel
acupuntura	china
acupuntura	china
cara-pálida	américa
pai-nosso	grã-bretanha
yakuza	japão
ashram	índia
xamanismo	américa
xamanismo	américa
ashram	índia
ki	china
ki	china
sashimi	japão
anoraque	grã-bretanha
saqué	japão
saqué	japão
cookie	grã-bretanha
jiu-jitsu	japão
skiffle	grã-bretanha
origami	japão
origami	japão
guido	grã-bretanha
namíbia	áfrica
suchi	japão
trilhão	grã-bretanha
moshav	israel
moshav	israel
karatê	japão
