português	portugal
ministro	grã-bretanha
francês	frança
dólar	américa
deputado	grã-bretanha/frança
face	grã-bretanha
sala	grã-bretanha
norte	américa
parlamento	grã-bretanha
prisão	grã-bretanha
estrada	grã-bretanha
negro	áfrica
distrito	japão/frança
japonês	japão
chinês	china
colega	grã-bretanha
residente	grã-bretanha
cadeia	grã-bretanha
união	américa
par	grã-bretanha
bar	grã-bretanha
cientista	grã-bretanha
rosto	grã-bretanha
vale	grã-bretanha
escritório	grã-bretanha
patrão	frança
cruzamento	roma
reitor	grã-bretanha
salão	grã-bretanha
chanceler	grã-bretanha
bicicleta	grã-bretanha
romano	roma
barra	grã-bretanha
râguebi	grã-bretanha
chá	grã-bretanha
tribo	américa
alfândega	grã-bretanha/américa
escravo	europa
farinha	grã-bretanha
bilião	grã-bretanha
negra	áfrica
bandido	américa
estagiário	grã-bretanha
sobremesa	grã-bretanha
taberna	grã-bretanha
cola	américa
polegada	grã-bretanha/américa
pub	grã-bretanha
pintado	grã-bretanha
coca	américa
condado	grã-bretanha/américa
mestiço	américa
bolacha	grã-bretanha
ribeiro	sudoeste
avaliador	grã-bretanha
pancadaria	grã-bretanha
perdiz	américa
fisionomia	grã-bretanha
solicitador	roma
emir	áfrica/arábia
merenda	grã-bretanha
pia	grã-bretanha
go	japão
sesta	grã-bretanha
biscoito	grã-bretanha
pudim	grã-bretanha
fenício	fenícia
presídio	grã-bretanha
panteão	roma
panteão	roma
servo	europa
legionário	frança
lady	grã-bretanha
trapézio	américa
estagiária	grã-bretanha
bastilha	frança
qui	china
safári	áfrica
subcontinente	índia
focinho	américa
sir	grã-bretanha
catacumba	roma
kamikaze	japão
gladiador	roma
tricolor	frança
thatcherismo	grã-bretanha
ianque	américa
botequim	grã-bretanha
hinduísmo	índia
lavabo	grã-bretanha
gringo	américa
mercantilismo	europa
condestável	grã-bretanha
mercantilismo	europa
parca	grã-bretanha
charneca	grã-bretanha
bocal	américa
fedor	grã-bretanha
anglo-saxão	grã-bretanha
mod	grã-bretanha
totem	américa
totem	américa
centurião	roma
melaço	grã-bretanha
pita	médio-oriente
sushi	japão
maçaneta	grã-bretanha
macacão	grã-bretanha
preceptor	grã-bretanha
preceptor	grã-bretanha
almirantado	grã-bretanha
estaminé	grã-bretanha
bilhão	grã-bretanha/américa
caratê	japão
gafe	grã-bretanha
somme	frança
boteco	grã-bretanha
stone	grã-bretanha
hinduismo	índia
kibutz	israel
futon	japão
kibutz	israel
pai-nosso	grã-bretanha
yakuza	japão
acupuntura	china
acupuntura	china
cara-pálida	américa
ashram	índia
ashram	índia
xamanismo	américa
xamanismo	américa
ki	china
sashimi	japão
ki	china
anoraque	grã-bretanha
saqué	japão
saqué	japão
skiffle	grã-bretanha
jiu-jitsu	japão
cookie	grã-bretanha
guido	grã-bretanha
namíbia	áfrica
origami	japão
origami	japão
moshav	israel
karatê	japão
moshav	israel
maquiado	grã-bretanha
suchi	japão
trilhão	grã-bretanha/américa
