Mesopotâmia	Tiamat/acadiano/Babilónia
Estado_da_Palestina	Fatah/Jihad_Islâmica/FPLP
Colômbia	Forças_Armadas_Revolucionárias_da_Colômbia/Cartel_de_Medellín/Cartel_de_Cali
Canadá	Toronto
Alemanha	Panzer/trilhão/alemão/Minden/suástica/Floresta_Negra/pietismo
Sri_Lanca	hinduísmo
América	cara-pálida/perdiz/Philip_Marlowe/xamanismo/Groundhog_Day/totem/Totem/trilhão/Ilhas_Marshall/República_das_Ilhas_Marshall/bandido/tribo/trapézio/mestiço/condado/bilhão/ianque/gringo/cola/coca/bocal/focinho/União/Norte/alfândega/polegada/dólar/Guerra_de_Secessão/Guerra_Civil_Americana/Mel_Gibson
República_da_Índia	subcontinente/ashram/hinduísmo
Império_Romano	distrito
Colombia	Forças_Armadas_Revolucionárias_da_Colômbia/Cartel_de_Medellín/Cartel_de_Cali
Serra_Leoa	Frente_Revolucionária_Unida
República_Federal_da_Alemanha	Panzer/trilhão/alemão/Minden/suástica/Floresta_Negra/pietismo
Líbano	Hizbollah
URSS	Revolução_de_Outubro/russo/estepe/Revolução_de_Fevereiro/kolkhoz/Isaac_Stern
Escócia	pouquinho/musculoso/pãozinho/Curling/criança/ravina/recatado/tímido
República_Popular_da_China	qui/Ieoh_Ming_Pei/Revolução_Cultural_Chinesa/ki/Hangzhou/Língua_Chinesa/chinês/acupuntura
Irlanda_do_Norte	Ordem_de_Orange/Associação_de_Defesa_do_Ulster
Rússia	Revolução_de_Outubro/russo/estepe/Revolução_de_Fevereiro/kolkhoz/Isaac_Stern
Nepal	hinduísmo
Canada	Toronto
Estados_Unidos_Mexicanos	taco/Chapultepec/Revolução_Mexicana/tortilla/torrada/burrito/Puebla/conquistador
Cuba	Santiago_de_Cuba
País_de_Gales	galês
Estado_de_Israel	moshav/kibutz/Haganah/Fatah/Mossad/Sayeret_Matkal
Médio_Oriente	Guerra_dos_Seis_Dias/Pita
Georgia	Atlanta
República_Francesa	Somme/Revolução_Francesa/Poitiers/Frente_de_Libertação_Nacional_da_Córsega/Soissons/tricolor/Orleães/distrito/patrão/francês/deputado/legionário
América_do_Sul	América_Latina
Sri-Lanka	hinduísmo
Itália	italiano/italiana/Ravenna/Calabria/Calábria/polenta/calamar/Brigadas_Vermelhas/Basilicata/Salerno
Italia	italiano/italiana/Ravenna/Calabria/Calábria/polenta/calamar/Brigadas_Vermelhas/Basilicata/Salerno
México	taco/Chapultepec/Revolução_Mexicana/tortilla/torrada/burrito/Puebla/conquistador
Colómbia	Forças_Armadas_Revolucionárias_da_Colômbia/Cartel_de_Medellín/Cartel_de_Cali
Oriente_Médio	Guerra_dos_Seis_Dias/Pita
República_Italiana	italiano/italiana/Ravenna/Calabria/Calábria/polenta/calamar/Brigadas_Vermelhas/Basilicata/Salerno
Jordânia	Fatah
Reino-Unido	pia/Sir/melaço/pudim/mod/anglo-saxão/vale/merenda/maçaneta/ministro/pancadaria/avaliador/bicicleta/anoraque/Guido/pai-nosso/cientista/presídio/salão/macacão/farinha/Macintosh/preceptor/Onda_Média/cadeia/prisão/sobremesa/sala/parca/lavabo/charneca/estrada/stone/residente/estagiária/estagiário/trilhão/deputado/Lady/fedor/gafe/Magna_Carta/chá/parlamento/Serviço_Aéreo_Especial/escritório/bolacha/biscoito/cookie/Condestável/râguebi/skiffle/par/almirantado/condado/fisionomia/rosto/face/barra/colega/pintado/maquiado/MI6/botequim/bar/taberna/pub/boteco/estaminé/reitor/chanceler/bilhão/bilião/Grã-Bretanha/Grã_Bretanha/sesta/alfândega/polegada
Japão	Yakuza/sashimi/Seiji_Ozawa/caratê/Exército_Vermelho_Japonês/distrito/go/sushi/Aum_Shinrikyo/jiu-jitsu/suchi/saqué/Kamikaze/karatê/japonês/futon/Origami/origami
Belgica	Ypres
República_da_Bulgária	Pleven
