Mesopotâmia	Tiamat/acadiano/Babilónia
Estado_da_Palestina	Jihad_Islâmica
Colômbia	Forças_armadas_revolucionárias_da_colômbia/Forças_Armadas_Revolucionárias_da_Colômbia/Cartel_de_medellín/Cartel_de_Medellín/Cartel_de_cali/Cartel_de_Cali
Canadá	Toronto
Alemanha	Panzer/trilhão/alemão/Minden/Floresta_Negra/Floresta_negra/pietismo
Sri_Lanca	Hinduismo/hinduísmo
República_da_Índia	subcontinente/Hinduismo/hinduísmo
Colombia	Forças_armadas_revolucionárias_da_colômbia/Forças_Armadas_Revolucionárias_da_Colômbia/Cartel_de_medellín/Cartel_de_Medellín/Cartel_de_cali/Cartel_de_Cali
Serra_Leoa	Frente_Revolucionária_Unida/Frente_revolucionária_unida
República_Federal_da_Alemanha	Panzer/trilhão/alemão/Minden/Floresta_Negra/Floresta_negra/pietismo
Líbano	Hizbollah
URSS	Revolução_de_Outubro/russo/estepe/Revolução_de_Fevereiro/Kolkhoz/kolkhoz/Revolução_de_outubro/Isaac_Stern/Isaac_stern
Escócia	pouquinho/musculoso/pãozinho/Curling/criança/ravina/recatado/tímido
República_Popular_da_China	qui/Ieoh_Ming_Pei/Revolução_cultural_chinesa/revolução_cultural/Ieoh_ming_pei/Revolução_Cultural_Chinesa/Hangzhou/Língua_Chinesa/língua_chinesa/chinês/Acupuntura/acupuntura
Irlanda_do_Norte	Ordem_de_Orange/Associação_de_defesa_do_ulster/Associação_de_Defesa_do_Ulster
Rússia	Revolução_de_Outubro/russo/estepe/Revolução_de_Fevereiro/Kolkhoz/kolkhoz/Revolução_de_outubro/Isaac_Stern/Isaac_stern
Nepal	Hinduismo/hinduísmo
Suméria	Inanna
Canada	Toronto
Estados_Unidos_Mexicanos	taco/Chapultepec/Revolução_mexicana/Mexicano-americanos/Revolução_Mexicana/tortilla/torrada/burrito/Puebla/conquistador
Estado_de_Israel	moshav/Moshav/kibutz/Kibutz/Haganah/Sayeret_matkal/Sayeret_Matkal
Sri_lanka	Hinduismo/hinduísmo
Médio_Oriente	Guerra_dos_Seis_Dias/Guerra_dos_seis_dias/Pita
Georgia	Atlanta
República_Francesa	Somme/Revolução_Francesa/Poitiers/Frente_de_Libertação_Nacional_da_Córsega/Soissons/tricolor/Orleães/Revolução_francesa/patrão/francês/deputado/legionário
América_do_Sul	América_Latina
Sri-Lanka	Hinduismo/hinduísmo
Itália	italiano/Ravenna/Calabria/Calábria/polenta/calamar/Brigadas_vermelhas/Brigadas_Vermelhas/Basilicata/Salerno
Italia	italiano/Ravenna/Calabria/Calábria/polenta/calamar/Brigadas_vermelhas/Brigadas_Vermelhas/Basilicata/Salerno
México	taco/Chapultepec/Revolução_mexicana/Mexicano-americanos/Revolução_Mexicana/tortilla/torrada/burrito/Puebla/conquistador
Colómbia	Forças_armadas_revolucionárias_da_colômbia/Forças_Armadas_Revolucionárias_da_Colômbia/Cartel_de_medellín/Cartel_de_Medellín/Cartel_de_cali/Cartel_de_Cali
Oriente_Médio	Guerra_dos_Seis_Dias/Guerra_dos_seis_dias/Pita
República_Italiana	italiano/Ravenna/Calabria/Calábria/polenta/calamar/Brigadas_vermelhas/Brigadas_Vermelhas/Basilicata/Salerno
Reino-Unido	pia/melaço/pudim/mod/anglo-saxão/vale/merenda/Código_de_estrada/maçaneta/ministro/pancadaria/avaliador/bicicleta/anoraque/primeira_linha/Guido/pai-nosso/cientista/salão/macacão/farinha/Macintosh/preceptor/nous/cadeia/prisão/sobremesa/sala/parca/lavabo/charneca/Preceptor/sala_de_estar/estrada/stone/residente/estagiária/estagiário/trilhão/deputado/Lady/gafe/Magna_Carta/Magna_carta/parlamento/Serviço_Aéreo_Especial/rod/bolacha/cookie/Condestável/râguebi/skiffle/par/almirantado/condado/fisionomia/face/barra/pintado/maquiado/bar/taberna/pub/boteco/estaminé/reitor/chanceler/bilhão/bilião/autoridades_locais/Grã-Bretanha/Grã_Bretanha/sesta/alfândega/polegada/mil_milhões
Japão	Yakuza/sashimi/Seiji_Ozawa/caratê/Exército_Vermelho_Japonês/go/sushi/jiu-jitsu/Exército_vermelho_japonês/suchi/Saqué/saqué/Kamikaze/karatê/futon/Origami/origami
Belgica	Ypres
República_da_Bulgária	Pleven
Serra_leoa	Frente_Revolucionária_Unida/Frente_revolucionária_unida
França	Somme/Revolução_Francesa/Poitiers/Frente_de_Libertação_Nacional_da_Córsega/Soissons/tricolor/Orleães/Revolução_francesa/patrão/francês/deputado/legionário
Filipinas	Corregidor/Leyte/Baía_de_Manila/Baía_de_manila/Abu_Sayyaf
Sudoeste	ribeiro
Portugal	português/língua_portuguesa
Sicília	Siracusa
Grã-Bretanha	pia/melaço/pudim/mod/anglo-saxão/vale/merenda/Código_de_estrada/maçaneta/ministro/pancadaria/avaliador/bicicleta/anoraque/primeira_linha/Guido/pai-nosso/cientista/salão/macacão/farinha/Macintosh/preceptor/nous/cadeia/prisão/sobremesa/sala/parca/lavabo/charneca/Preceptor/sala_de_estar/estrada/stone/residente/estagiária/estagiário/trilhão/deputado/Lady/gafe/Magna_Carta/Magna_carta/parlamento/Serviço_Aéreo_Especial/rod/bolacha/cookie/Condestável/râguebi/skiffle/par/almirantado/condado/fisionomia/face/barra/pintado/maquiado/bar/taberna/pub/boteco/estaminé/reitor/chanceler/bilhão/bilião/autoridades_locais/Grã_Bretanha/sesta/alfândega/polegada/mil_milhões
Camboja	Khmer_Vermelho/Khmer_vermelho
