áfrica	namíbia/emir/negro/negra/safári
sudoeste	ribeiro
índia	subcontinente/ashram/hinduismo/hinduísmo
américa	cara-pálida/perdiz/xamanismo/totem/trilhão/bandido/tribo/trapézio/mestiço/condado/bilhão/ianque/gringo/cola/coca/bocal/focinho/união/norte/alfândega/polegada/dólar
china	qui/ki/chinês/acupuntura
frança	somme/tricolor/distrito/patrão/francês/bastilha/deputado/legionário
japão	yakuza/sashimi/caratê/distrito/go/sushi/jiu-jitsu/suchi/saqué/kamikaze/karatê/japonês/futon/origami
roma	centurião/romano/solicitador/panteão/cruzamento/catacumba/gladiador
arábia	emir
portugal	português
europa	mercantilismo/escravo/servo
fenícia	fenício
israel	moshav/kibutz
grã-bretanha	pia/sir/melaço/pudim/mod/anglo-saxão/vale/merenda/maçaneta/ministro/pancadaria/avaliador/bicicleta/anoraque/guido/pai-nosso/cientista/thatcherismo/presídio/salão/macacão/farinha/cadeia/prisão/sobremesa/sala/parca/lavabo/charneca/preceptor/estrada/stone/residente/estagiária/estagiário/trilhão/deputado/lady/fedor/gafe/chá/parlamento/escritório/bolacha/biscoito/cookie/condestável/râguebi/skiffle/par/almirantado/condado/fisionomia/rosto/face/barra/colega/pintado/maquiado/botequim/bar/taberna/pub/boteco/estaminé/reitor/chanceler/bilhão/bilião/sesta/alfândega/polegada
médio-oriente	pita
