meloeiro	fruta
marshmallow	candil/caramelo/bala
loggia	Arcada
bis	apresentação/interpretação
silicato	sal
moldura	estrutura/infra
brinquedo	produto/utensílio/artefato
nível	classe/hierarquia/posição/posto/condição/estado/situação
laranja	citrino/pigmento
prega	dobra
paredes	edifício/tecido/estrutura/objeto
astronomia	Fisica/Física/física
areia	Solo/solo/terra
economia	frugalidade/ação/eficiência/Ciências_Sociais/ato/atividade/sistema/organização
monte	montão/colecção/ruma/chusma/coleção/grupo/aglomeração/elevação/massa/Massa
relatar	narrar/informar/anunciar/recontar/contar/mostrar
frustrar	proibir/impossibilitar/impedir/estorvar/evitar/obstar
vacinar	injetar
síndico	intermediário/corretor
dispensar	entregar/dar
nevão	intempérie/tempestade/tormenta/vendaval/borrasca
pagaia	remo/pá
desinteressar	fatigar
extirpar	destruir/remover/deslocar/mover/retirar/tirar
escaravelho	insecto/inseto/Insectos
pronunciamento	declaração/asserção
cantarolar	cantar
divergência	série/separação
brandy	álcool
desgosto	mágoa/dor/pesar/tristeza
ópera	Música_Erudita/casa/teatro/Música_Clássica
igualitarismo	filosofia/doutrina
encomendar	causar/dar/provocar/solicitar/requisitar/requerer/pedir
intervenção	participação/Política_Externa/interrupção/pausa
arquivar	registrar/coletar/registar/reunir/recolher/colecionar
vampirismo	ação/ato/atividade
limitar	deter/entravar/moderar/conter/serenar/coibir/refrear/controlar/restringir/reduzir/diminuir
quando	tempo/época/período/momento/era
traduzir	parafrasear/entender/alterar/mudar/modificar/redizer/reapresentar/repetir/reiterar/comprender/compreender
arboricultura	pecuária/cultivo/agricultura
acompanhador	tocador/instrumentista/instrumentalista/músico
frota	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
açoitar	bater/acertar/golpear/surrar
colunata	edifício/tecido/estrutura
Lego	brinquedo
acampar	povoar/viver/morar/habitar
embarcar-se	embarcar
brutalidade	crueldade
gadget	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
ausentar	sumir/desaparecer
corrente	eletricidade/ligamento/ação/electricidade/fluxo/córrego/ato/atividade
Sadhu	hindu
monografia	tratado
sofisticação	qualidade
pé-de-cabra	barra/alavanca
epidídimo	canal
estrangulador	assassino/matador
ataraxia	serenidade
manómetro	manômetro
possuidor	alma/indivíduo/alguém/pessoa
cardiomiopatia	cardiopatia
entregador	assalariado/empregado/operário
demora	interrupção/suspensão/pausa
malho	martelo
olhada	olhar/percepção
desencorajar-se	desesperar
teleférico	veículo
paleontólogo	cientista
recessão	retirada/cessão/crise
cheesecake	bolo
ace	serviço/Serviço
mesquita	igreja/templo
importar	transmitir/estar/transferir/trazer/ser
cordialidade	amizade
democrata	advogado/político/representante/defensor/proponente
aperfeiçoamento	melhoramento/melhoria
pizzicato	música
pirose	sintoma
dissociar	separar/separar-se/partir/diferenciar/distinguir
dualista	estudante/adepto/discípulo/seguidor/aluno/apóstolo
pianola	Piano/piano
microgravidade	peso
anotação	expansão/apontamento/descrição/declaração/comentário/nota
prescrição	lei/instrução
hiperligação	link/ligação
dizer	supor/sugerir/indicar/registrar/inferir/cadastrar/ler/propor/mostrar/contar/falar/provar/atestar/significar/querer_dizer/expressar/proferir/transmitir/comunicar
hipotenusa	flanco
reembolso	compensação/Compensação/remuneração/pagamento/recompensa
preferido	escolha/selecção
aprendizado	posto/instrução/educação/cargo/posição
trombeta	Metais/tocador/instrumentista/instrumentalista/músico
retorquir	retrucar/responder/replicar
velho	coorte/avô/adulto/idoso/varão/macho/homem
roer	mastigar/mascar/morder
oleoduto	tubulação/canal/duto
círculo	elipse/oval
revolução	mudança/alteração/variação/modificação
Epimeteu	Titã
consternar	intimidar/aterrorizar/amedrontar/atemorizar/assustar/dissuadir/desanimar
não-ficção	prosa
condenação	período
congestionamento	multidão
teísmo	religião/fé
transe	sofrimento/dor
gambozino	trote
prof	pedagogo/educador
coerência	compreensibilidade/ligação/conexão
bode	bovídeos/Bode/cabra/cabrito
traçado	opinião/ideia/conceito/pensamento/idéia
prefeitura	hall
