meloeiro	fruta
marshmallow	candil/caramelo/bala
loggia	Arcada
bis	apresentação
silicato	sal
brinquedo	produto/utensílio/artefato
laranja	citrino/pigmento
prega	dobra
paredes	edifício/tecido/objeto
Judaismo	igreja/religião
Baseado	cigarro
astronomia	Fisica/Física/física
economia	frugalidade/ação/ciências_sociais/Ciências_Sociais/atividade/sistema/organização
monte	montão/colecção/ruma/chusma/coleção/grupo/aglomeração/elevação/massa/Massa
relatar	narrar/informar/recontar/contar
frustrar	impossibilitar/impedir/estorvar/evitar/obstar
vacinar	injetar/injectar
síndico	intermediário/Broker/corretor
no_tempo	tacto
dispensar	entregar
raio_X	radiografia
desinteressar	fatigar
pronunciamento	declaração/asserção
Aromaterapia	terapia
cantarolar	cantar
Madeiras	Instrumentos_de_sopro
divergência	série
desgosto	mágoa/dor/pesar/tristeza
igualitarismo	filosofia/doutrina
encomendar	causar/provocar/requisitar/requerer/pedir
intervenção	participação/Política_Externa/interrupção/política_externa
arquivar	registrar/coletar/registar/reunir/recolher/colecionar
vampirismo	ação/atividade
limitar	deter/entravar/conter/serenar/coibir/refrear/restringir/diminuir
Calcinação	oxidação
Logótipo	marca
quando	tempo/época/período/momento/era
traduzir	parafrasear/alterar/mudar/modificar/redizer/reapresentar/repetir/reiterar/comprender/compreender
arboricultura	cultivo
acompanhador	tocador/instrumentista/instrumentalista/músico
frota	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
açoitar	bater/golpear/surrar
colunata	edifício/tecido
acampar	povoar/habitar
brutalidade	crueldade
gadget	ferramenta/aparelho/aparato/mecanismo/instrumento/equipamento
ausentar	sumir/desaparecer
corrente	ligamento/ação/fluxo/córrego/atividade
monografia	tratado
sofisticação	qualidade
Liga_árabe	Organização_internacional/Organizações_internacionais
pé-de-cabra	Pé_de_cabra/barra/alavanca
epidídimo	canal
estrangulador	matador
ataraxia	serenidade
manómetro	manômetro
possuidor	ser_humano/alguém
cardiomiopatia	cardiopatia/Cardiopatia
entregador	assalariado/empregado/operário
desencorajar-se	desesperar
paleontólogo	cientista
recessão	retirada/cessão/crise
Metodologia	técnica
ace	serviço/Serviço
mesquita	igreja
importar	transmitir/estar/transferir/trazer/ser
pizzicato	música
Revolução_cultural_chinesa	revolução
Alma_mater	instituto/colégio
dissociar	separar/separar-se/partir/diferenciar/distinguir
dualista	estudante/discípulo/seguidor/aluno/apóstolo
anotação	expansão/apontamento/descrição/declaração/Descrição/comentário/nota
prescrição	lei/instrução/código_de_conduta
hiperligação	ligação
dizer	supor/sugerir/indicar/registrar/inferir/cadastrar/ler/propor/contar/falar/provar/atestar/significar/querer_dizer/expressar/proferir/transmitir/comunicar
hipotenusa	flanco
preferido	escolha/selecção
aprendizado	posto/instrução/educação/cargo/posição
trombeta	metais/Metais/tocador/instrumentista/instrumentalista/músico
retorquir	retrucar/responder/replicar
velho	coorte/terceira_idade/adulto/idoso/varão/macho/homem
roer	mastigar/mascar/morder
oleoduto	Óleoduto/tubulação/canal/duto
revolução	mudança/alteração/variação/modificação
Epimeteu	Titã
consternar	intimidar/aterrorizar/amedrontar/atemorizar/assustar/dissuadir/desanimar
condenação	período
congestionamento	multidão
teísmo	religião/fé
coerência	compreensibilidade/ligação/conexão
traçado	pensamento/idéia
prefeitura	centro_de_convenções
freguesia	povo
julgamento	sentença/acção/ação
enegrecer	colorir/descolorir
ciática	nevralgia
estrogénio	esteróide
águia	moeda/prata/aves_de_rapina
contrair	adoecer/desabar/minguar/decrescer/estreitar/apertar/diminuir/ter
horrorizar	assustar/repulsar/atemorizar/amedrontar/aterrorizar/intimidar/revoltar/indignar/nausear/repugnar
OVNI	aparição
3	algarismo
interrupção	ocorrência/intervalo/tempo/acontecimento/conclusão/atraso/retardar/adiar
minimização	redução/diminuição
Ásia	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
tipificar	representar/simbolizar
distilar	mudar/alterar
Freon	clorofluorcarboneto/Clorofluorcarboneto
zum	objectiva
busca	buscar
