outro	alteridade
grande	dimensão/medida/magnitude/tamanho
mesmo	semelhança
novo	idade
bom	qualidade/virtude/bondade
próximo	distância
passado	cronometragem
pequeno	dimensão/medida/magnitude/tamanho
responsável	responsabilidade
partido	integridade
alto	estatura/grau/altitude/altura/gritaria/volume
direito	posição/local/lugar
possível	possibilidade/chance/potencial
futuro	cronometragem
importante	magnitude/importância/significado/significação
jovem	idade
antigo	idade
certo	pose/fé/aprumo/altivez/desembaraço/segurança/certeza/correcção
plano	invariabilidade
necessário	necessidade
fundo	profundeza/fundura/profundidade
geral	generalidade
forte	força
claro	luminosidade
difícil	dificuldade
presente	presença/cronometragem
mau	mal/maldade
humano	humanidade
diferente	diferença/discordância/similitude/semelhança
baixo	grau/estatura/altura
rápido	rapidez/velocidade
velho	idade
preciso	exactidão/exatidão/correção/rigor/precisão
recente	frescura
perto	distância
amigo	amizade
comercial	mercantilismo/comercialismo/comércio
bastante	quantidade
verdadeiro	realidade/verdade
longe	distância
livre	liberdade
popular	popularidade
natural	naturalidade
capaz	faculdade/adequação/habilidade/potencialidade/talento/capacidade
real	realidade
interno	localização/colocação/posição/situação
simples	complexidade
positivo	qualidade
imediato	imediação
fácil	naturalidade/facilidade
existente	ser/existência/realismo/verdade/realidade
crítico	crise
morto	vida/animação
curto	duração
independente	independência/liberdade
suficiente	quantidade
doente	saúde
vivo	vida/animação
significativo	significado/significação
igual	igualdade
normal	normalidade
sério	seriedade
disponível	disponibilidade/acessibilidade
essencial	necessidade
familiar	familiaridade
científico	ciência
legal	legalidade
semelhante	similitude/semelhança
vizinho	distância
específico	generalidade
direita	posição/local/lugar
profundo	profundeza/fundura/profundidade
pronto	preparação/prontidão/rapidez
externo	localização/colocação/posição/situação
largo	largura
complexo	complexidade
original	originalidade/criatividade
completo	integralidade/plenitude/inteireza
pleno	plenitude
idêntico	igualdade
impossível	possibilidade/chance
má	mal/maldade
estranho	familiaridade
cheio	plenitude
inferior	qualidade/calibre
moderno	modernidade
permanente	permanência
individual	personalidade/individualismo/individualidade
cedo	cronometragem
falso	verdade
provável	probabilidade
efetivo	realidade/eficiência/eficácia
conservador	ideologia
moral	moralidade/virtude
puro	moralidade/moral/virtude
inteiro	integridade
frio	calor/temperatura
sexual	gênero/sexualidade/sexo
ilegal	legalidade
eficaz	eficiência/eficácia
liberal	generosidade/ideologia
regular	regularidade
contemporâneo	modernidade
belo	beleza
feliz	aventurança/felicidade/alegria
formal	formalidade
pesado	peso
justo	correcção/exactidão/exatidão/correção/rigor/precisão
intelectual	inteligência
poderoso	poder
intenso	grau
útil	utilidade
vazio	plenitude
sensível	sensibilidade
fiel	lealdade
dependente	independência/liberdade
perfeito	perfeição
bonito	beleza/belo
imóvel	movimento
escasso	quantidade/adequação/suficiência
quente	calor/temperatura
razoável	sensatez
lento	rapidez/velocidade
vão	eficácia/eficiência/utilidade
humanitário	humanidade
esquerdo	posição/local/lugar
contínuo	continuidade
parcial	integridade
triste	aventurança/felicidade/alegria
amplo	plenitude/largura
posterior	localização/colocação/posição/situação
criador	criatividade
brilhante	luminosidade
ausente	presença
temporário	permanência
estreito	largura
dominante	status/posição/classe/condição/estado
incapaz	habilidade/potencialidade/talento/capacidade
insuficiente	quantidade
padrão	volume/medida/número/quantidade/quantia/magnitude
oriental	oriente/levante/nascente
baixa	grau
distante	distância
escuro	luminosidade
exacto	exactidão/exatidão/correção/rigor/precisão
modesto	pudor/modéstia
inteligente	inteligência
delicado	força
confiante	confiança
nobre	nobreza
santo	santidade
vário	diversidade
fresco	frescura/calor/temperatura
leve	peso
extenso	plenitude
seco	humidade
ambicioso	aspiração/ambição
homossexual	sexo/transa
integral	integridade/integralidade/plenitude/inteireza
incómodo	conforto
moderado	moderação/temperança
suscetível	susceptibilidade
criativo	criatividade
contente	aventurança/felicidade/alegria
júnior	senioridade
aceitável	admissibilidade
acessível	disponibilidade/acessibilidade
grosso	grossura/espessura
lógico	lógica
saudável	saúde
ortodoxo	ortodoxia
injusto	justiça/equanimidade
convencional	convenção
confortável	conforto
adequado	adequação
informal	formalidade
prestes	preparação/prontidão/rapidez
inútil	eficácia/eficiência/utilidade
incrível	credibilidade
fino	espessura/grossura/textura
sujo	asseio/limpeza
atrativo	magnetismo
variável	mutabilidade
confuso	transparência/lucidez
limpo	asseio/limpeza
infeliz	aventurança/felicidade/alegria
tímido	confiança
suave	grau/gritaria/volume
tardio	cronometragem
longínquo	distância
funcional	função/propósito
luminoso	luminosidade
eficiente	eficiência/eficácia
desconhecido	familiaridade
