fazer	aritmética/pecuária/cultivo/agricultura/mercantilismo/comercialismo/comércio/teatro/dramaturgia
dar	lei/jurisprudência
ver	psicologia
apresentar	lei/jurisprudência
realizar	comércio/comercialismo/mercantilismo
abrir	xadrez
entrar	teatro/dramaturgia
pôr	música/astronomia
pagar	ofensa/crime
incluir	química
acrescentar	flora/planta/vegetal
revelar	teologia/fotografia
escrever	autoria/música
representar	teatro/dramaturgia/arte
atingir	mercantilismo/comercialismo/comércio
registar	gravação
chamar	telefonia
servir	pecuária
concluir	lógica
obter	mercantilismo/comercialismo/comércio
integrar	matemática
ligar	telefonia/química
acompanhar	música
aumentar	fotografia
dirigir	condução
construir	edificação/construção/geometria
preparar	cozinha/culinária/preparação
entregar	lei/jurisprudência
subir	astronomia
vender	mercantilismo/comercialismo/comércio
cair	música
reduzir	cozinha/culinária/preparação
mudar	fonética
acreditar	religião/fé
verificar	lei/jurisprudência/ciência
oferecer	arrematação/leilão/hasta
tornar-se	química
produzir	pecuária/cultivo/agricultura
recusar	lei/jurisprudência
comprar	mercantilismo/comercialismo/comércio
citar	autoria
transformar	física
bater	música/beisebol/basebol/cozinha/culinária/preparação
preferir	lei/jurisprudência
conduzir	condução/música
tocar	música
condenar	lei/jurisprudência
parar	condução
adquirir	mercantilismo/comercialismo/comércio
repetir	música
apurar	química
provar	matemática/lei/jurisprudência/ciência
prender	lei/jurisprudência
analisar	psicopatologia/psiquiatria/gramática
descer	astronomia
dividir	química/aritmética/física
transmitir	radiodifusão
atuar	teatro/dramaturgia
cantar	música
suspender	química
transportar	navegação/pilotagem
atravessar	aviação/condução
compor	autoria/música
negar	lógica
gerar	biologia
libertar	química
reagir	química
diminuir	cozinha/culinária/preparação
apelar	lei/jurisprudência
contestar	lei/jurisprudência
refletir	óptica/acústica
apanhar	beisebol/basebol
expor	fotografia
crer	religião/fé
separar	exército
importar	mercantilismo/informática/comercialismo/comércio
elevar	aritmética
trocar	fonética
isolar	psicologia/química
prejudicar	justiça
gravar	arte/película/filme/cinema/produção
baixar	música
roubar	ofensa/crime/beisebol/basebol
explorar	terraplenagem/mineração/remédio/incisão/medicina
travar	condução
operar	remédio/incisão/medicina
facilitar	ciência_natural/fisiologia
misturar	química
ascender	astronomia
somar	aritmética
privilegiar	mercantilismo/comercialismo/comércio
quebrar	química
filmar	película/filme/cinema/produção
qualificar	gramática
cruzar	aviação
programar	informática
desenhar	arte
projetar	psicologia
unir	pecuária
espalhar	pecuária/cultivo/agricultura
dispensar	remédio/incisão/medicina
calcular	matemática
figurar	arte
protagonizar	teatro/dramaturgia
empenhar	mercantilismo/comercialismo/comércio
dançar	baile/dança
pintar	arte
estacionar	condução
limpar	informática/química
aliar	química/metalurgia
apagar	gravação
ilustrar	arte
derrubar	autoria
