o	autorização/letra/caractér/carácter
a	letra/caractér/carácter
e	letra/caractér/carácter
um	dígito/número/algarismo
ser	alma/condição/estado/situação/indivíduo/alguém/pessoa/criatura/organismo/todo/unidade
não	negação
ano	reunião/período/etapa/tempo
poder	influência/condição/força/qualidade/estado/situação/causador
ele	caminho-de-ferro/ferrovia
dois	dígito/baralho/carta/número/algarismo
entre	interior
sobre	continente/contentor/caixa/jarro/vaso/vasilha
dia	etapa/tempo/época/período/momento/era
ontem	dia/passado
dever	responsabilidade/tarefa/trabalho
segundo	classe/desafiante/minuto/instante/concorrente/adversário/inimigo/contendor/rival/competidor/opositor/tempo/época/período/momento/era/hierarquia/posição/posto
público	comunidade/grupo/reunião
quando	tempo/época/período/momento/era
país	região
português	europeu/românica
vez	caso/ocupação/turno/oportunidade/ocasião/exemplo/ocorrência/chance/atividade
presidente	executivo/presidência/líder/chefe
conto	relato/ficção/literatura/mentira/falsidade/história/relatório/estória
último	classe/ocupação/hierarquia/posição/posto/atividade
governo	controlo/controle
pouco	fragmento/pedaço
porque	causa/razão/motivo
caso	verdade/interesse/preocupação/ocorrência/evento/acontecimento/facto
três	dígito/número/algarismo
tempo	vento/volume/medida/número/quantidade/quantia/magnitude/propriedade/característica/predicado/atributo/tacto/clima/época/momento/era/período/etapa
parte	participante/atribuição/repartição/componente/fatia/divisão/natureza/objeto/música/relação/conexão/coisa/porção
agora	hoje/actualidade
empresa	organização/mercantilismo/comercialismo/comércio
hoje	dia/actualidade/tempo
pessoa	alma/personagem/causador/corpo/anatomia/carne/propriedade/característica/predicado/atributo/criatura/organismo/ser/indivíduo/alguém
político	líder/chefe
bem	possessão/handicap/benefício/lucro/utilidade/vantagem/produto/utensílio/artefato/propriedade/qualidade/relação/conexão
quem	letra/caractér/carácter
grupo	montão/abstração/conjunto/colecção/ruma/chusma/coleção/aglomeração
todo	objeto
forma	estilo/maneira/propriedade/característica/predicado/atributo
mês	período/etapa/tempo
trabalho	mão-de-obra/laboratório/oficina/função/profissão/lugar/ofício/serviço/projeto/tarefa/biscate/emprego/produção/produto/ocupação/atividade
passado	tempo
cerca	obstáculo/barreira
