ser	rosto/anatomia/célula/cabeça/pescoço
ano	trimestre/mês/período/tempo/estação/semestre/hora
dia	meio-dia/hora/jornada/noite/noitada/tarde/madrugada/manhã/turno
segundo	milissegundo
país	domínio
conto	anticlímax/conclusão/introdução
governo	judiciário/administração/organização
pessoa	índole/caráter/natureza/peculiaridade/feição/temperamento/personalidade/carne/anatomia/corpo
todo	porção/parte
mês	semana/meia-lua
jogo	turno/metade
acordo	termo/condição
semana	fim-de-semana/final_de_semana/dia
equipa	reserva
mercado	prateleira/estante/comércio/empresa/negócio
cidade	centro/inner_city/vizinhança/bairro/praça
homem	carne/anatomia/corpo/mão/rosto/cara/face/pêlo/cabelo/braço/pé/lombo
hora	minuto
vida	nascimento/fim/queda/morte/idade/época/período
programa	instrução/função/objectivo/intenção/meta/alvo
casa	bilheteira/habitação/quarto/dormitório/câmara/gabinete/refeitório/cozinha/salão/sala/orquestra/banheiro/camarim/teatro/palco/escritório/biblioteca/alpendre/mansarda/trapeira/ático/sótão
nome	substantivo/nominal
mundo	hemisfério/céu/terra/chão/solo/relevo/litosfera/ar/atmosfera/estrela/astro
câmara	teto/mira/visor/obturador/diafragma/chão/piso/pavimento/muro/parede/muralha/cama/leito/objectiva/pára-sol
filme	legenda/plano
história	anticlímax/conclusão/introdução/idade/época/era/período/antiguidade/renascimento
noite	pôr-do-sol/poente/crepúsculo/anoitecer/madrugada/meia_noite/meia-noite
sistema	módulo/infra-estrutura/infraestrutura/hierarquia
tarde	pôr-do-sol/poente/crepúsculo/anoitecer/madrugada/meia_noite/meia-noite/noite
guerra	agressão/contenda/luta/batalha/combate
espaço	lugar/ponto/localização
conta	balanço
construção	pintura/encanamento/alvenaria
escola	classe
organização	hierarquia
livro	capa
membro	coto/glande/uretra/prepúcio
dólar	centavo/cêntimo
clube	tertúlia
televisão	som/monitor/televisor/video/tevê/vídeo/tv
forte	ameia
sociedade	setor/estrato/classe
termo	sílaba
período	meio-termo/época
mão	metacarpo/palma/dedo
futebol	bexiga/metade
dez	natal
operação	incisão
banco	caixa-forte
documento	preâmbulo/artigo/cláusula
criação	estrela/astro
produção	legenda/plano
jornal	manchete/notícia/editorial/coluna/banda_desenhada
palavra	sílaba/byte
face	mandíbula/testa/bochecha/boca/olho/óculo/olfato/nariz/traço/sobrolho/sobrancelha/barba/mento/queixo
administração	hierarquia
metro	decímetro
campo	meio-campo/prado/pasto/pastagem
edição	formato/arte/ilustração/desenho/gráfico/cartoon/caricatura/índice/conteúdo/texto
texto	prefácio/capítulo/passagem/parágrafo/alínea
século	decênio/década
entrada	portão/porta/umbral/limiar
formação	lição/tarefa
regime	judiciário/administração/organização
cultura	subcultura/sub-área
minuto	s/segundo
lista	item
acesso	portão/porta/umbral/limiar
economia	setor
terra	domínio/hemisfério/céu/chão/solo/relevo/litosfera/ar/atmosfera
caminho	acostamento/berma/curva/encruzilhada/cruzamento
rede	servidor/isca/ardil
sala	teto/chão/piso/pavimento/muro/parede/muralha
estrutura	alicerce/base/pé
cinema	legenda/plano
curso	conferência/lição/aula
porta	portão/umbral/limiar/fechadura/charneira/dobradiça/gonzo
peça	coroa/cara
