ser	existente
poder	impotente/poderoso/capaz
movimento	imóvel/movente
curso	extrovertido
função	funcional
força	débil/forte/impotente/ineficaz/potente/delicado
atividade	ativo/agencioso/inativo/ativo
medida	pequeno/grande
crise	crítico
vida	morto/semvida/vivo
posição	esquerdo/direito/direita/vertical
comércio	comercial
maioria	maior
segurança	incerto/inseguro/certo
número	mensurável
lugar	esquerdo/direito/direita
ciência	científica/científico
belo	feia/feio/belo/lindo/bonito/formoso
necessidade	desnecessário/desnecessária/necessário/essencial
possibilidade	impossível/possível
liberdade	livre/independente/dependente
virtude	puro/imoral/moral
local	esquerdo/direito/direita
idade	nao-maduro/jovem/velho/novo/dinheiro_tradicional/antigo/velho/imaturo/maturo/maduro
dificuldade	árduo/intrincado/difícil
presença	ausente/presente
existência	existente/existente
atitude	vertical
disposição	relutante/de_mau_grado
qualidade	positivo/vantajoso/ruim/bom
importância	importante
grau	intenso/intensivo/suave/baixo/baixa/alto
capacidade	capaz
conhecimento	ciente/informado
saber	ciente/informado
realidade	efetivo/verdadeiro/efectivo/real
diferença	diferente
independência	independente/dependente
legalidade	ilegal/legal
natureza	lhano/gentil/afável/amável
propósito	funcional
postura	vertical
moral	puro/imoral/moral
altura	deprimido/alto
ideologia	liberal/conservador
gênero	assexual/sexual/macho/varão
potencial	possível/potencial
potência	impotente/ineficaz/potente
consciência	ciente/informado
peso	leve/pesado
aspiração	ambicioso
popularidade	popular
eficiência	inútil/vão/eficiente/eficaz/efetivo
dimensão	pequeno/grande
inteligência	lerdo/estúpido/inteligente/intelectual
distância	próximo/próximo/distante/distante/vizinho/perto/próximo/vizinho/perto/próximo/longe/longínquo/distante/longe/longínquo/distante
chance	impossível/possível
temor	destemido/sem_medo/receoso
fé	incerto/inseguro/certo
sexo	assexual/sexual/macho/varão/homossexual/gay/homo/heterossexual/hetero
eficácia	impotente/ineficaz/potente/inútil/vão/eficiente/eficaz/efetivo
cor	colorido
significado	significativo/importante/significante
rapidez	lento/devagar/rápido/veloz/rápida
medo	destemido/sem_medo/receoso
certeza	incerto/inseguro/incerto/inseguro/certo/certo/incerto
tamanho	pequeno/grande
habilidade	incapaz/capaz/capaz
contorno	torto/escuso/reto
limpeza	suja/sujo/sujado/limpo
felicidade	triste/infeliz/triste/infeliz/feliz/contente/feliz/contente
alegria	triste/infeliz/triste/infeliz/feliz/contente/feliz/contente
moralidade	puro/imoral/moral
terror	destemido/sem_medo/receoso
ambição	ambicioso
semelhança	diferente/similar/mesmo/o_mesmo
índole	lhano/gentil/afável/amável
grandeza	mensurável
velocidade	lento/devagar/rápido/veloz/rápida
ascendência	maior
significação	significativo/importante/significante
regularidade	regular
maioridade	maior
magnitude	mensurável/pequeno/grande/importante
talento	capaz
ortodoxia	ortodoxo
temperamento	relutante/de_mau_grado
conforto	desconfortável/pouco_à_vontade/incômodo/incómodo/confortável
efetividade	inútil/vão/eficiente/eficaz/efetivo
sexualidade	assexual/sexual/macho/varão
criatividade	criativo/criador/original/criativo/criador/original
temperatura	frio/fresco/frio/fresco/caloroso/caloroso/frio/frio/forgoso/quente/forgoso/quente
calor	frio/fresco/caloroso/frio/forgoso/quente
perfeição	imperfeito/perfeito/aprimorado
beleza	feia/feio/belo/lindo/bonito/formoso
asseio	suja/sujo/sujado/limpo
animação	morto/semvida/vivo
altitude	deprimido/alto
mercantilismo	comercial
desembaraço	incerto/inseguro/certo
cheiro	inodoro
altivez	incerto/inseguro/certo
tez	colorido
pose	incerto/inseguro/certo
consternação	destemido/sem_medo/receoso
