ser	existente
estado	subordinada/subordinado/dominante/classe_média
poder	impotente/poderoso/capaz
movimento	imóvel/movente
curso	extrovertido
função	funcional
sul	meridional/sulista/do_sul
força	débil/forte/impotente/ineficaz/potente/delicado
atividade	ativo/agencioso/inativo/ativo
medida	padrão/pequeno/grande
união	boreal/do_norte/setentrional
justiça	injusto
crise	crítico
vida	vívido/morto/semvida/vivo
posição	esquerdo/direito/direita/vertical/interno/adventício/interno/externo/subordinada/subordinado/dominante/classe_média/rabo/posterior/traseiro
comércio	comercial
condição	subordinada/subordinado/dominante/classe_média
extinção	apagado/liquidado/revogado/extinto/extincto
saúde	adoentado/doente/doentio/insalubre/saudável/salubre/são
maioria	maior
segurança	incerto/inseguro/certo
número	mensurável
momento	futuro/atual/presente/passado/tardio/mediano/precoce/temporão/cedo
lugar	esquerdo/direito/direita
corrupção	corrupto
classe	subordinada/subordinado/dominante/classe_média
convenção	não_usual/corriqueiro/convencional
orientação	inclinado/vertical/fio_de_prumo/perpendicular/horizontal
ciência	científica/científico
belo	feia/feio/belo/lindo/bonito/formoso
necessidade	desnecessário/desnecessária/necessário/essencial
responsabilidade	responsável
norte	boreal/do_norte/setentrional/boreal/do_norte/setentrional/setentrional/do_norte/nórdico/nortista
possibilidade	impossível/possível
liberdade	livre/independente/dependente
virtude	puro/imoral/moral/bom/boa/casto/casta
êxito	mal_sucedido/sem_sucesso/próspero/bem_sucedido/bem-sucedido
local	esquerdo/direito/direita
levante	oriental
idade	nao-maduro/jovem/velho/novo/dinheiro_tradicional/antigo/velho/imaturo/maturo/maduro
dificuldade	árduo/intrincado/difícil
presença	ausente/presente
existência	existente/existente
atitude	vertical
disposição	relutante/de_mau_grado
continuidade	contínuo
qualidade	inferior/superior/positivo/vantajoso/ruim/bom
importância	importante
permanência	temporário/permanente/duradouro
grau	intenso/intensivo/suave/baixo/baixa/alto
preparação	pronto/preparado/prestes/disposto
verdade	falso/errado/verdadeiro/irreal/não_material/existente
capacidade	incapaz/incapaz/capaz/capaz/capaz
conhecimento	ciente/informado
saber	ciente/informado
