abrir	abrir
mudar	alterar/mudar
obrigar	fazer/agir/atuar
alterar	alterar/mudar
transmitir	espalhar/circular
fechar	fechar
completar	encher
elevar	ascender/subir
modificar	alterar/mudar
levantar	ascender/subir
forçar	fazer/agir/atuar
matar	expirar/morrer/bater_as_botas/falecer/comer_capim_pela_raiz/perecer
melhorar	melhorar
alimentar	papar/alimentar_se/comer
espalhar	espalhar/circular
difundir	espalhar/circular
aperfeiçoar	melhorar
cerrar	fechar
erguer	ascender/subir
virar	virar/derrubar
alçar	ascender/subir
incendiar	queimar/carburar
disseminar	espalhar/circular
queimar	queimar/carburar
alastrar	espalhar/circular
treinar	exercitar/malhar
acender	queimar/carburar
coagir	fazer/agir/atuar
encher	encher
compelir	fazer/agir/atuar
exercitar	exercitar/malhar
verter	manar/fluir/correr
derramar	manar/fluir/correr
malhar	exercitar/malhar
