passar	passar/atravessar
partir	partir/dividir/separar
dar	ter
apresentar	olhar/ver/enxergar
decidir	resolver/decidir
dirigir	fazer/agir/atuar
provocar	fazer/agir/atuar/acontecer/ocorrer/suceder/passar
abrir	abrir
parecer	sentir/experimentar
aumentar	aprofundar/intensificar
viajar	viajar/ir/caminhar/andar
entregar	ter
mudar	alterar/mudar
mostrar	olhar/ver/enxergar
reduzir	encolher/contrair-se/murchar/contrair
obrigar	fazer/agir/atuar/fazer/agir/atuar
alterar	alterar/mudar
pôr	sentar/sentar-se/estar_sentado
conduzir	fazer/agir/atuar
transmitir	espalhar/circular
fechar	fechar
desencadear	acontecer/ocorrer/suceder/passar
dividir	partir/dividir/separar
completar	encher
produzir	acontecer/ocorrer/suceder/passar
unir	unir/juntar/juntar/grudar
intensificar	aprofundar/intensificar
mobilizar	deslocar/mexer/mover
elevar	ascender/subir/alegrar-se/regozijar-se/regozijar/alegrar
sentar	sentar/sentar-se/estar_sentado/sentar/sentar-se/estar_sentado
efetuar	acontecer/ocorrer/suceder/passar
modificar	alterar/mudar
derrubar	descer/baixar/cair
circular	deslocar/mexer/mover
baixar	descer/baixar/cair
levantar	ascender/subir/levantar/ficar_de_pé
mover	deslocar/mexer/mover
deslocar	deslocar/mexer/mover
forçar	fazer/agir/atuar/fazer/agir/atuar
acirrar	aprofundar/intensificar
diminuir	encolher/contrair-se/murchar/contrair
matar	expirar/morrer/bater_as_botas/falecer/comer_capim_pela_raiz/perecer
afetar	sentir/experimentar
juntar	unir/juntar/juntar/grudar
melhorar	melhorar
alimentar	papar/alimentar_se/comer
ocasionar	acontecer/ocorrer/suceder/passar
separar	partir/dividir/separar
espalhar	espalhar/circular
apressar	acelerar/apressar/correr
esvaziar	esvaziar
difundir	espalhar/circular
aperfeiçoar	melhorar
cerrar	fechar
abater	descer/baixar/cair
instar	acelerar/apressar/correr
erguer	ascender/subir/levantar/ficar_de_pé
virar	virar/derrubar
animar	animar-se/alegrar-se/animar/alegrar
alçar	ascender/subir
incendiar	queimar/carburar
disseminar	espalhar/circular
tencionar	surgir/aparecer
encorajar	esperar/aguardar/esperançar
mergulhar	focar
impressionar	sentir/experimentar
amadurecer	amadurecer
acomodar	ajustar/caber
recordar	lembrar-se/lembrar/recordar/recordar-se
queimar	queimar/carburar
alastrar	espalhar/circular
treinar	exercitar/malhar
colar	aderir/grudar/colar
anexar	juntar/grudar
rebaixar	descer/baixar/cair
afundar	afundar/naufragar
solidificar	solidificar
relaxar	pegar_leve/relaxar/descontrair
endurecer	endurecer/inrijecer
acender	queimar/carburar
coagir	fazer/agir/atuar
encher	encher
compelir	fazer/agir/atuar/fazer/agir/atuar
acoplar	unir/juntar
exercitar	exercitar/malhar
afixar	aderir/grudar/colar
urgir	acelerar/apressar/correr
submergir	afundar/naufragar
soar	soar/ressoar/fazer/soar/ressoar/fazer
alentar	esperar/aguardar/esperançar/animar-se/alegrar-se/animar/alegrar
verter	manar/fluir/correr
posar	sentar/sentar-se/estar_sentado
inchar	inflar/inchar/entumescer
enxugar	secar
derramar	manar/fluir/correr
malhar	exercitar/malhar
machucar	sofrer
irar	irritar_se/zangar_se/enraivecer
enrijecer	endurecer/inrijecer
doer	sofrer
avultar	inflar/inchar/entumescer
apor	aderir/grudar/colar
angustiar	sofrer
zangar	irritar_se/zangar_se/enraivecer
secar	secar
madurar	amadurecer
gelar	congelar
ferver	ferver/ebulir
escurecer	escurecer
entristecer	afligir-se/magoar/sofrer
enraivecer	irritar_se/zangar_se/enraivecer
encharcar	beber/tomar
cravar	aderir/grudar/colar
comover	sentir/experimentar
alegrar	animar-se/alegrar-se/animar/alegrar
abalroar	afundar/naufragar
