passar	suceder/passar/passar/atravessar
realizar	entender/compreender/comprender
dar	ter
apresentar	olhar/ver/enxergar
formar	formar-se/graduar/bacharelar/formar
reunir	encontrar/reunir
decidir	resolver/decidir
organizar	encontrar/reunir
provocar	acontecer/ocorrer/suceder/passar
parecer	sentir/experimentar
licenciar	formar-se/graduar/bacharelar/formar
viajar	viajar/ir/caminhar/andar
entregar	ter
mostrar	olhar/ver/enxergar
pôr	sentar/sentar-se/estar_sentado
aposentar	aposentar-se
desencadear	acontecer/ocorrer/suceder/passar
produzir	acontecer/ocorrer/suceder/passar
entender	entender/compreender/comprender
mobilizar	deslocar/mexer/mover
elevar	ascender/subir
sentar	sentar/sentar-se/estar_sentado/sentar/sentar-se/estar_sentado
efetuar	acontecer/ocorrer/suceder/passar
circular	deslocar/mexer/mover
levantar	ascender/subir/levantar/ficar_de_pé
mover	deslocar/mexer/mover
deslocar	deslocar/mexer/mover
ferir	doer
matar	expirar/morrer/bater_as_botas/falecer/comer_capim_pela_raiz/perecer
graduar	formar-se/graduar/bacharelar/formar
afetar	sentir/experimentar
juntar	encontrar/reunir
converter	converter
perceber	entender/compreender/comprender
alimentar	papar/alimentar_se/comer
preocupar	preocupar-se
desagradar	desgostar/não_gostar/antipatizar
destruir	destruir/quebrar
ocasionar	acontecer/ocorrer/suceder/passar
marchar	marchar/andar/caminhar
agradar	gostar
satisfazer	gostar
parar	parar
erguer	ascender/subir/levantar/ficar_de_pé
despontar	entender/compreender/comprender
alçar	ascender/subir
tencionar	surgir/aparecer
gostar	gostar
impressionar	sentir/experimentar
recordar	lembrar-se/lembrar/recordar/recordar-se
ofender	ressentir
irritar	ressentir
assustar	temer/ter_medo_de/recear/apavorar
intimidar	temer/ter_medo_de/recear/apavorar
colar	aderir/grudar/colar
afundar	afundar/naufragar
relaxar	pegar_leve/relaxar/descontrair
arruinar	destruir/quebrar
amargar	ressentir
insultar	ressentir
inquietar	preocupar-se
atemorizar	temer/ter_medo_de/recear/apavorar
afixar	aderir/grudar/colar
submergir	afundar/naufragar
evacuar	mudar-se/mudar
aterrissar	aterrissar/aterrar/pousar
soar	entender/compreender/comprender
encantar	gostar
desgostar	desgostar/não_gostar/antipatizar
comprazer	gostar
aterrorizar	temer/ter_medo_de/recear/apavorar
amedrontar	temer/ter_medo_de/recear/apavorar
verter	manar/fluir/correr
posar	sentar/sentar-se/estar_sentado
inchar	inflar/inchar/entumescer
envenenar	ressentir
derramar	manar/fluir/correr
machucar	doer
doer	doer
avultar	inflar/inchar/entumescer
aterrar	aterrissar/aterrar/pousar
apor	aderir/grudar/colar
injuriar	ressentir
gelar	congelar
encharcar	beber/tomar
cravar	aderir/grudar/colar
comover	sentir/experimentar
clicar	entender/compreender/comprender
amargurar	ressentir
abalroar	afundar/naufragar
