passar	suceder/passar/passar/atravessar
realizar	entender/compreender/comprender
iniciar	começar/iniciar/principiar
partir	partir/dividir/separar
dar	ter
apresentar	olhar/ver/enxergar
formar	formar-se/graduar/bacharelar/formar
considerar	julgar/considerar/pensar
concluir	parar/terminar/finalizar/cessar/encerrar/acabar
reunir	encontrar/reunir
decidir	resolver/decidir
organizar	encontrar/reunir
começar	começar/iniciar/principiar
dirigir	fazer/agir/atuar
provocar	fazer/agir/atuar/acontecer/ocorrer/suceder/passar
abrir	abrir/abrir
colocar	jazer/estar_deitado
prender	fixar/aferrolhar
encerrar	parar/terminar/finalizar/cessar/encerrar/acabar
parecer	sentir/experimentar
licenciar	formar-se/graduar/bacharelar/formar
aumentar	aprofundar/intensificar
viajar	viajar/ir/caminhar/andar
entregar	ter
utilizar	valer/aplicar
mudar	alterar/mudar
mostrar	olhar/ver/enxergar
reduzir	encolher/contrair-se/murchar/contrair
fixar	fixar/aferrolhar
terminar	parar/terminar/finalizar/cessar/encerrar/acabar
obrigar	fazer/agir/atuar/fazer/agir/atuar
alterar	alterar/mudar
pôr	jazer/estar_deitado/sentar/sentar-se/estar_sentado
lecionar	adquirir/aprender
aposentar	aposentar-se
conduzir	fazer/agir/atuar
transmitir	ir_ao_ar/espalhar/circular
fechar	fechar
desencadear	acontecer/ocorrer/suceder/passar
dividir	partir/dividir/separar
completar	encher
produzir	acontecer/ocorrer/suceder/passar
usar	valer/aplicar
entender	entender/compreender/comprender
unir	unir/juntar/juntar/grudar
intensificar	aprofundar/intensificar
mobilizar	deslocar/mexer/mover
elevar	ascender/subir/alegrar-se/regozijar-se/regozijar/alegrar
sentar	sentar/sentar-se/estar_sentado/sentar/sentar-se/estar_sentado
fortalecer	consolidar
efetuar	acontecer/ocorrer/suceder/passar
modificar	alterar/mudar
derrubar	descer/baixar/cair
circular	circular/deslocar/mexer/mover
baixar	descer/baixar/cair
levantar	subir/aumentar/ascender/subir/levantar/ficar_de_pé
mover	deslocar/mexer/mover
deslocar	deslocar/mexer/mover
forçar	fazer/agir/atuar/fazer/agir/atuar
acirrar	aprofundar/intensificar
ferir	doer
diminuir	encolher/contrair-se/murchar/contrair
matar	expirar/morrer/bater_as_botas/falecer/comer_capim_pela_raiz/perecer
graduar	formar-se/graduar/bacharelar/formar
afetar	sentir/experimentar
empregar	valer/aplicar
juntar	encontrar/reunir/unir/juntar/juntar/grudar
converter	converter
enfraquecer	enfraquecer
perceber	entender/compreender/comprender
melhorar	melhorar
alimentar	papar/alimentar_se/comer
quebrar	quebrar
preocupar	preocupar-se
desagradar	desgostar/não_gostar/antipatizar
destruir	destruir/quebrar
ocasionar	acontecer/ocorrer/suceder/passar
lotar	lotar
separar	partir/dividir/separar/separar/desunir
espalhar	espalhar/circular
apressar	acelerar/apressar/correr
marchar	marchar/andar/caminhar
sujeitar	vivenciar/experimentar/experienciar
esvaziar	esvaziar
difundir	espalhar/circular
aperfeiçoar	melhorar
ensinar	adquirir/aprender
instruir	adquirir/aprender
cerrar	fechar
abater	descer/baixar/cair
agradar	gostar/gostar
torturar	agoniar/agonizar
sensibilizar	sentir
instar	acelerar/apressar/correr
satisfazer	gostar/gostar
parar	parar
finalizar	parar/terminar/finalizar/cessar/encerrar/acabar
erguer	ascender/subir/levantar/ficar_de_pé
atirar	atirar/disparar/descarregar
despontar	entender/compreender/comprender
virar	virar/derrubar
animar	animar_se/animar-se/alegrar-se/animar/alegrar
alçar	ascender/subir
incendiar	queimar/carburar
disseminar	espalhar/circular
debilitar	suavizar
tencionar	surgir/aparecer
disparar	debandar
propagar	propagar
gostar	gostar/gostar
encorajar	esperar/aguardar/esperançar
aguçar	aprofundar/afiar/acerar
mergulhar	focar
impressionar	sentir/experimentar
amadurecer	amadurecer
acomodar	ajustar/caber
recordar	lembrar-se/lembrar/recordar/recordar-se
queimar	queimar/carburar
ofender	ressentir
irritar	confundir/ressentir/apoquentar
detonar	detonar
assustar	temer/ter_medo_de/recear/apavorar
focalizar	focalizar/enfocar
alastrar	espalhar/circular
intimidar	temer/ter_medo_de/recear/apavorar
treinar	exercitar/malhar
sindicalizar	organizar
colar	aderir/grudar/colar
reviver	reviver/ressuscitar/acordar
cristalizar	cristalizar
anexar	juntar/grudar
rebaixar	descer/baixar/cair
afundar	afundar/naufragar
abrandar	suavizar
solidificar	solidificar
relaxar	pegar_leve/relaxar/descontrair
endurecer	endurecer/endurecer/inrijecer
arruinar	destruir/quebrar
focar	focalizar/enfocar
amargar	ressentir
silenciar	calar
acender	queimar/carburar
insultar	ressentir
fortificar	consolidar
coagir	fazer/agir/atuar
afrouxar	sossegar
ressuscitar	reviver/ressuscitar/acordar
inquietar	preocupar-se
encher	encher
compelir	fazer/agir/atuar/fazer/agir/atuar
acoplar	unir/juntar
aquecer	acalorar/esquentar/aquecer
alongar	alongar/esticar
exercitar	exercitar/malhar
atemorizar	temer/ter_medo_de/recear/apavorar
afixar	aderir/grudar/colar
urgir	acelerar/apressar/correr
submergir	afundar/naufragar
suavizar	suavizar
iluminar	resplandecer/brilhar/luzir
evacuar	mudar-se/mudar/evacuar
aterrissar	aterrissar/aterrar/pousar
temperar	suavizar
soar	soar/ressoar/fazer/soar/ressoar/fazer/entender/compreender/comprender
esfriar	esfriar-se/arrefecer/esfriar/refrescar/resfriar
encantar	gostar/gostar
desgostar	desgostar/não_gostar/antipatizar
deitar	jazer/estar_deitado
comprazer	gostar/gostar
atormentar	agoniar/agonizar
aterrorizar	temer/ter_medo_de/recear/apavorar
amedrontar	temer/ter_medo_de/recear/apavorar
alentar	esperar/aguardar/esperançar/animar-se/alegrar-se/animar/alegrar
verter	manar/fluir/correr
posar	sentar/sentar-se/estar_sentado
inchar	inchar/inflar/inchar/entumescer
exaurir	fatigar
esquentar	acalorar/esquentar/aquecer
enxugar	secar
envenenar	ressentir
derramar	manar/fluir/correr
refrescar	esfriar-se/arrefecer/esfriar/refrescar/resfriar
malhar	exercitar/malhar
machucar	doer/sofrer
irar	irritar_se/zangar_se/enraivecer
extender	esticar
enrijecer	endurecer/inrijecer
doer	doer/sofrer
desatar	desatar
avultar	inflar/inchar/entumescer
aterrar	aterrissar/aterrar/pousar
apor	aderir/grudar/colar
angustiar	sofrer
zangar	irritar_se/zangar_se/enraivecer
tensionar	ficar_tenso
secar	secar
refrigerar	esfriar-se/arrefecer/esfriar/refrescar/resfriar
pendurar	pendurar
madurar	amadurecer
injuriar	ressentir
gelar	congelar
ferver	ferver/ebulir
estressar	ficar_tenso
esticar	esticar
esfomear	estar_faminto/estar_esfomeado/passar_fome/morrer_de_fome
escurecer	escurecer
envelhecer	envelhecer
entristecer	entristecer/afligir-se/magoar/sofrer
enraivecer	irritar_se/zangar_se/enraivecer
enfurecer	zangar/enraivecer/ter_um_ataque/perder_a_cabeça
encharcar	beber/tomar
deslizar	escorregar
cravar	aderir/grudar/colar
comover	sentir/experimentar
clicar	entender/compreender/comprender
atolar	atolar
amargurar	ressentir
alegrar	alegrar/animar-se/alegrar-se/animar/alegrar
afiar	aprofundar/afiar/acerar
abalroar	afundar/naufragar
