deputado	frança/república_francesa/reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
ministro	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
distrito	frança/república_francesa/japão/império_romano/imperio_romano/império_romano
união	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
departamento	frança/república_francesa
ribeiro	sudoeste
prisão	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
norte	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
dólar	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
vale	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
bilhão	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a./reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
estrada	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
escritório	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
francês	frança/república_francesa
alemão	república_federal_da_alemanha/alemanha
português	listas_de_portugal/portugal
criança	escocia/escócia
planalto	região_oeste_dos_estados_unidos_da_américa/região_oeste_dos_estados_unidos_da_américa
face	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
parlamento	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
negro	áfrica/africa
italiano	itália/república_italiana/italia
colega	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido/austrália/comunidade_da_austrália
chanceler	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
cadeia	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
go	japão/japão
reitor	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
barra	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
japonês	japão
par	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
espanhol	espanha
patrão	frança/república_francesa
presídio	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
cientista	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
escravo	europa
sala	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
residente	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
estagiário	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
russo	rússia/união_das_repúblicas_socialistas_soviéticas/urss
chinês	china/república_popular_da_china
salão	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
guido	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
canhão	américa_do_norte/américa_setentrional
avó	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
mexicano	méxico/estados_unidos_mexicanos
legionário	frança/república_francesa
sir	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
bar	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
grã-bretanha	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
farinha	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
merenda	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
catalão	espanha
almirantado	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
rosto	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
alfândega	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a./reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
negra	áfrica/africa
puebla	méxico/estados_unidos_mexicanos
tribo	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
solicitador	roma
grego	grécia
bandido	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
taxas	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
namíbia	áfrica/africa
bicicleta	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
trilhão	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a./frança/república_francesa/reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido/república_federal_da_alemanha/alemanha
toronto	canadá/canada
nortista	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
cola	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
atlanta	georgia/atlanta
pudim	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
chapultepec	méxico/estados_unidos_mexicanos
tabu	polinésia/polinesia
fisionomia	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
pia	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
sangria	espanha
raf	república_federal_da_alemanha/alemanha
golfinho	havaí
cruzamento	roma
biscoito	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
avaliador	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
servo	europa
parca	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
kibutz	estado_de_israel/israel/estado_de_israel/israel
eta	espanha
escocês	escocia/escócia
custos	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
babilônia	babilônia/babilonia/babilónia/mesopotamia/mesopotâmia
australiano	austrália/comunidade_da_austrália
preceptor	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido/reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
pita	médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente
mestiço	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
emir	áfrica/africa/árabia/arábia
salerno	itália/república_italiana/italia
