fazer	arte_dramatica/dramaturgia/teatro/cultivo/pecuária/agricultura
voto	lei/jurisprudência/ciências_jurídicas
pleito	lei/jurisprudência/ciências_jurídicas
general	forças_armadas/exército/máquina_de_guerra
obter	comércio/mercantilismo/comercialismo
direito	lei/jurisprudência/ciências_jurídicas
campanha	forças_armadas/exército/máquina_de_guerra
função	ciência_exacta/matematica/matemática/ciências_exactas
processo	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
cadeira	arte_dramatica/dramaturgia/teatro/aeroplano/avião
constituição	lei/jurisprudência/ciências_jurídicas
atuar	arte_dramatica/dramaturgia/teatro
ato	lei/jurisprudência/ciências_jurídicas
exército	forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra
representar	arte_dramatica/dramaturgia/teatro
luta	forças_armadas/exército/máquina_de_guerra
cultura	biologia/ciências_da_vida
lugar	arte_dramatica/dramaturgia/teatro/aeroplano/avião
operação	forças_armadas/exército/máquina_de_guerra
legislação	lei/jurisprudência/ciências_jurídicas/legislação
advogado	lei/jurisprudência/ciências_jurídicas
compor	música
combate	forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra
marinha	forças_armadas/exército/máquina_de_guerra
atingir	comércio/mercantilismo/comercialismo
prender	lei/jurisprudência/ciências_jurídicas
escrever	música
título	lei/jurisprudência/ciências_jurídicas
anistia	lei/jurisprudência/ciências_jurídicas
capitão	forças_armadas/exército/máquina_de_guerra
decreto	lei/jurisprudência/ciências_jurídicas
crescimento	biologia/ciências_da_vida
igreja	serviço
proprietário	lei/jurisprudência/ciências_jurídicas
tema	música
condenar	lei/jurisprudência/ciências_jurídicas
contrato	lei/jurisprudência/ciências_jurídicas
judiciário	lei/jurisprudência/ciências_jurídicas
rede	besta/criatura/ser/bicho/animal
mostrar	lei/jurisprudência/ciências_jurídicas
adoção	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
causa	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
corpo	humano/ser_humano/besta/criatura/ser/bicho/animal
registro	lei/jurisprudência/ciências_jurídicas
construir	edificação/construção
juiz	esporte
informática	calculadora/computador
julgamento	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
mandado	lei/jurisprudência/ciências_jurídicas
ataque	forças_armadas/exército/máquina_de_guerra
produzir	cultivo/pecuária/agricultura
adquirir	comércio/mercantilismo/comercialismo
preparação	forças_armadas/exército/máquina_de_guerra
licença	lei/jurisprudência/ciências_jurídicas
sangue	vertebrado/vertebrado
vender	comércio/mercantilismo/comercialismo
prova	ciência_exacta/matematica/matemática/ciências_exactas
regra	ciência_exacta/matematica/matemática/ciências_exactas
tensão	psicologia/psicólogos_por_nacionalidade
comprar	comércio/mercantilismo/comercialismo
marcha	forças_armadas/exército/máquina_de_guerra
sítio	forças_armadas/exército/máquina_de_guerra
fórmula	ciência_exacta/matematica/matemática/ciências_exactas
empenhar	comércio/mercantilismo/comercialismo
desvio	navios/embarcação/navio/barco/aeroplano/avião
manobra	forças_armadas/exército/máquina_de_guerra
armada	forças_armadas/exército/máquina_de_guerra
canal	rio
pleitear	lei/jurisprudência/ciências_jurídicas
casamento	lei/jurisprudência/ciências_jurídicas
evolução	biologia/ciências_da_vida/biologia/ciências_da_vida
jurista	lei/jurisprudência/ciências_jurídicas
ensaio	show/concertos/concerto/concerto_musical
inimigo	forças_armadas/exército/máquina_de_guerra
advogar	lei/jurisprudência/ciências_jurídicas
exposição	arte
rápido	música
cadeia	industria/comércio/negócio/empresa
importar	comércio/mercantilismo/comercialismo
dependência	narcótico
espécie	biologia/ciências_da_vida/biologia/ciências_da_vida
batalha	forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra
dono	lei/jurisprudência/ciências_jurídicas
casal	lei/jurisprudência/ciências_jurídicas
sentença	lei/jurisprudência/ciências_jurídicas
multa	lei/jurisprudência/ciências_jurídicas
sufrágio	lei/jurisprudência/ciências_jurídicas
falência	lei/jurisprudência/ciências_jurídicas
suspeito	lei/jurisprudência/ciências_jurídicas
acusado	lei/jurisprudência/ciências_jurídicas
cinema	industria/comércio/negócio/empresa/arte
assento	arte_dramatica/dramaturgia/teatro/aeroplano/avião
cerco	forças_armadas/exército/máquina_de_guerra
passageiro	auto/veículo/carro/automóvel/viatura/batel/escaler/barco/bote/aeroplano/avião
evidenciar	lei/jurisprudência/ciências_jurídicas
bater	preparação/culinária/cozinha
jurisdição	lei/jurisprudência/ciências_jurídicas
baixa	forças_armadas/exército/máquina_de_guerra
réu	lei/jurisprudência/ciências_jurídicas
piloto	aeroplano/aeronave/avião
gravidade	ciências_físicas/fisica/física/física
divórcio	lei/jurisprudência/ciências_jurídicas
demonstração	ciência_exacta/matematica/matemática/ciências_exactas
provar	lei/jurisprudência/ciências_jurídicas
curador	lei/jurisprudência/ciências_jurídicas
rei	xadrez/jogo_de_xadrez
caminhar	esporte
teórico	disciplina_cientifica/ciência/arte
evidência	ciência_exacta/matematica/matemática/ciências_exactas
prontidão	forças_armadas/exército/máquina_de_guerra
maior	lei/jurisprudência/ciências_jurídicas
pregação	serviço
testemunha	lei/jurisprudência/ciências_jurídicas
exportar	comércio/mercantilismo/comercialismo
formato	calculadora/computador
alistamento	forças_armadas/exército/máquina_de_guerra
atestar	lei/jurisprudência/ciências_jurídicas
sacrifício	besta/criatura/ser/bicho/animal
juízo	lei/jurisprudência/ciências_jurídicas
túnel	auto/veículo/carro/automóvel/viatura
costume	psicologia/psicólogos_por_nacionalidade
seqüestrar	crime/ofensa
cavalo	xadrez/jogo_de_xadrez
aprisionar	lei/jurisprudência/ciências_jurídicas
rapidez	forças_armadas/exército/máquina_de_guerra
matemática	disciplina_cientifica/ciência
chinês	industria/comércio/negócio/empresa/arte
matriz	ciência_exacta/matematica/matemática/ciências_exactas
absorção	quimica/química
célula	biologia/ciências_da_vida
matrimônio	lei/jurisprudência/ciências_jurídicas
resgatar	crime/ofensa
tocar	música
cultivar	vegetal/planta/flora
duradouro	biologia/ciências_da_vida
músico	música/música
litígio	lei/jurisprudência/ciências_jurídicas
hábito	psicologia/psicólogos_por_nacionalidade
passaporte	lei/jurisprudência/ciências_jurídicas
perdão	lei/jurisprudência/ciências_jurídicas
comercializar	comércio/mercantilismo/comercialismo
flora	vegetal/planta/flora
árbitro	esporte
naturalizar	vegetal/planta/flora
plantar	cultivo/pecuária/agricultura
tanque	forças_armadas/exército/máquina_de_guerra
assédio	forças_armadas/exército/máquina_de_guerra
templo	serviço
desenhar	arte
encarcerar	lei/jurisprudência/ciências_jurídicas
cantar	música
sequestrar	crime/ofensa
xeque	xadrez/jogo_de_xadrez
pintar	arte
testemunhar	lei/jurisprudência/ciências_jurídicas
testamento	lei/jurisprudência/ciências_jurídicas
igrejas	serviço
armadilha	besta/criatura/ser/bicho/animal
variante	biologia/ciências_da_vida
tração	auto/veículo/carro/automóvel/viatura
jogada	jogo
fadiga	psicologia/psicólogos_por_nacionalidade
erigir	edificação/construção
veredicto	lei/jurisprudência/ciências_jurídicas
passaportes	lei/jurisprudência/ciências_jurídicas
fiança	lei/jurisprudência/ciências_jurídicas
exposições	arte
equação	ciência_exacta/matematica/matemática/ciências_exactas
soco	pugilismo/boxe
semear	cultivo/pecuária/agricultura
inferno	crença_religiosa/fé/religião
vegetação	vegetal/planta/flora
gramática	lingüística/lingüística/linguística
curva	rio
tanques	forças_armadas/exército/máquina_de_guerra
dançar	dança/baile
átomo	ciências_físicas/fisica/física/física/quimica/química
veredito	lei/jurisprudência/ciências_jurídicas
sermão	serviço
passear	esporte
inibição	psicologia/psicólogos_por_nacionalidade
formatação	calculadora/computador
cepa	biologia/ciências_da_vida
bombardeiro	forças_armadas/exército/máquina_de_guerra
bancarrota	lei/jurisprudência/ciências_jurídicas
espião	forças_armadas/exército/máquina_de_guerra
domesticar	vegetal/planta/flora
submundo	crença_religiosa/fé/religião
remir	crime/ofensa
raptar	crime/ofensa
molecular	psicologia/psicólogos_por_nacionalidade
gregário	besta/criatura/ser/bicho/animal
estirpe	biologia/ciências_da_vida
domar	vegetal/planta/flora
costela	vertebrado
conscrição	forças_armadas/exército/máquina_de_guerra
cine	industria/comércio/negócio/empresa/arte
