fazer	arte_dramatica/dramaturgia/teatro/cultivo/pecuária/agricultura
voto	lei/jurisprudência/ciências_jurídicas
pleito	lei/jurisprudência/ciências_jurídicas
obter	comércio/mercantilismo/comercialismo
direito	lei/jurisprudência/ciências_jurídicas
função	ciência_exacta/matematica/matemática/ciências_exactas
processo	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
programa	informática/ciência_da_computação/informática/ciência_da_computação
cadeira	arte_dramatica/dramaturgia/teatro/aeroplano/avião
constituição	lei/jurisprudência/ciências_jurídicas
atuar	arte_dramatica/dramaturgia/teatro
ato	lei/jurisprudência/ciências_jurídicas
representar	arte_dramatica/dramaturgia/teatro
maioria	eleição
lugar	arte_dramatica/dramaturgia/teatro/aeroplano/avião
operação	cirurgia
legislação	lei/jurisprudência/ciências_jurídicas
advogado	lei/jurisprudência/ciências_jurídicas
compor	música
atingir	comércio/mercantilismo/comercialismo
prender	lei/jurisprudência/ciências_jurídicas
escrever	música
título	lei/jurisprudência/ciências_jurídicas
anistia	lei/jurisprudência/ciências_jurídicas
decreto	lei/jurisprudência/ciências_jurídicas
proprietário	lei/jurisprudência/ciências_jurídicas
aumentar	fotografia
tema	música
condenar	lei/jurisprudência/ciências_jurídicas
contrato	lei/jurisprudência/ciências_jurídicas
judiciário	lei/jurisprudência/ciências_jurídicas
rede	besta/criatura/ser/bicho/animal
mostrar	lei/jurisprudência/ciências_jurídicas
coluna	arquitectura/arquitetura/arquitectura/arquitetura
adoção	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
causa	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
corpo	humano/ser_humano/besta/criatura/ser/bicho/animal
registro	lei/jurisprudência/ciências_jurídicas
oferecer	hasta/leilão/almoeda/arrematação
juiz	esporte
informática	calculadora/computador
julgamento	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
mandado	lei/jurisprudência/ciências_jurídicas
produzir	cultivo/pecuária/agricultura
código	informática/ciência_da_computação
adquirir	comércio/mercantilismo/comercialismo
licença	lei/jurisprudência/ciências_jurídicas
norma	estatísticas/estatística/estatística
vender	comércio/mercantilismo/comercialismo
prova	ciência_exacta/matematica/matemática/ciências_exactas
consumo	economia
regra	ciência_exacta/matematica/matemática/ciências_exactas
tensão	psicologia/psicólogos_por_nacionalidade
comprar	comércio/mercantilismo/comercialismo
fórmula	ciência_exacta/matematica/matemática/ciências_exactas
empenhar	comércio/mercantilismo/comercialismo
desvio	aeroplano/avião
canal	rio
cirurgia	cirurgia
pleitear	lei/jurisprudência/ciências_jurídicas
casamento	lei/jurisprudência/ciências_jurídicas
jurista	lei/jurisprudência/ciências_jurídicas
ensaio	show/concertos/concerto/concerto_musical
advogar	lei/jurisprudência/ciências_jurídicas
exposição	arte
rápido	música
cadeia	industria/comércio/negócio/empresa
importar	comércio/mercantilismo/comercialismo
dono	lei/jurisprudência/ciências_jurídicas
média	estatísticas/estatística/estatística
casal	lei/jurisprudência/ciências_jurídicas
sentença	lei/jurisprudência/ciências_jurídicas
multa	lei/jurisprudência/ciências_jurídicas
sufrágio	lei/jurisprudência/ciências_jurídicas
falência	lei/jurisprudência/ciências_jurídicas
suspeito	lei/jurisprudência/ciências_jurídicas
acusado	lei/jurisprudência/ciências_jurídicas
cinema	industria/comércio/negócio/empresa/arte
assento	arte_dramatica/dramaturgia/teatro/aeroplano/avião
passageiro	trem/locomotivas/caminhos-de-ferro/comboio/auto/veículo/carro/automóvel/viatura/autocarro/ônibus/batel/escaler/barco/bote/aeroplano/avião
evidenciar	lei/jurisprudência/ciências_jurídicas
crônica	história/história
jurisdição	lei/jurisprudência/ciências_jurídicas
réu	lei/jurisprudência/ciências_jurídicas
piloto	aeroplano/aeronave/avião
gravidade	ciências_físicas/fisica/física/física
divórcio	lei/jurisprudência/ciências_jurídicas
demonstração	ciência_exacta/matematica/matemática/ciências_exactas
provar	lei/jurisprudência/ciências_jurídicas
historiador	história/história
contagem	eleição
curador	lei/jurisprudência/ciências_jurídicas
caminhar	esporte
teórico	disciplina_cientifica/ciência/arte
evidência	ciência_exacta/matematica/matemática/ciências_exactas
maior	lei/jurisprudência/ciências_jurídicas
testemunha	lei/jurisprudência/ciências_jurídicas
exportar	comércio/mercantilismo/comercialismo
formato	calculadora/computador
atestar	lei/jurisprudência/ciências_jurídicas
sacrifício	besta/criatura/ser/bicho/animal
juízo	lei/jurisprudência/ciências_jurídicas
túnel	auto/veículo/carro/automóvel/viatura
costume	psicologia/psicólogos_por_nacionalidade
seqüestrar	crime/ofensa
aprisionar	lei/jurisprudência/ciências_jurídicas
matemática	disciplina_cientifica/ciência
chinês	industria/comércio/negócio/empresa/arte
matriz	ciência_exacta/matematica/matemática/ciências_exactas
absorção	quimica/química
computador	informática/ciência_da_computação
matrimônio	lei/jurisprudência/ciências_jurídicas
resgatar	crime/ofensa
tocar	música
cultivar	vegetal/planta/flora
músico	música/música
litígio	lei/jurisprudência/ciências_jurídicas
cronista	história/história
hábito	psicologia/psicólogos_por_nacionalidade
passaporte	lei/jurisprudência/ciências_jurídicas
perdão	lei/jurisprudência/ciências_jurídicas
comercializar	comércio/mercantilismo/comercialismo
pilar	arquitectura/arquitetura
sanar	remédio/prática_da_medicina/medicina/incisão/medicina
flora	vegetal/planta/flora
filósofo	filosofia
árbitro	esporte
repetição	informática/ciência_da_computação
naturalizar	vegetal/planta/flora
plantar	cultivo/pecuária/agricultura
desenhar	arte
software	informática/ciência_da_computação
encarcerar	lei/jurisprudência/ciências_jurídicas
sequestrar	crime/ofensa
pintar	arte
testemunhar	lei/jurisprudência/ciências_jurídicas
testamento	lei/jurisprudência/ciências_jurídicas
trilha	informática/ciência_da_computação
armadilha	besta/criatura/ser/bicho/animal
tração	auto/veículo/carro/automóvel/viatura
jogada	jogo
fadiga	psicologia/psicólogos_por_nacionalidade
veredicto	lei/jurisprudência/ciências_jurídicas
passaportes	lei/jurisprudência/ciências_jurídicas
impressora	informática/ciência_da_computação
fiança	lei/jurisprudência/ciências_jurídicas
exposições	arte
equação	ciência_exacta/matematica/matemática/ciências_exactas
semear	cultivo/pecuária/agricultura
inferno	crença_religiosa/fé/religião
vegetação	vegetal/planta/flora
curva	rio
curar	remédio/prática_da_medicina/medicina/incisão/medicina
átomo	ciências_físicas/fisica/física/física/quimica/química
veredito	lei/jurisprudência/ciências_jurídicas
passear	esporte
inibição	psicologia/psicólogos_por_nacionalidade
formatação	calculadora/computador
bancarrota	lei/jurisprudência/ciências_jurídicas
domesticar	vegetal/planta/flora
submundo	crença_religiosa/fé/religião
remir	crime/ofensa
raptar	crime/ofensa
narcotizar	remédio/prática_da_medicina/medicina/incisão/medicina
molecular	psicologia/psicólogos_por_nacionalidade
gregário	besta/criatura/ser/bicho/animal
domar	vegetal/planta/flora
crónica	história/história
cine	industria/comércio/negócio/empresa/arte
amputar	remédio/prática_da_medicina/medicina/incisão/medicina
