fazer	arte_dramatica/dramaturgia/teatro/comércio/mercantilismo/comercialismo/cultivo/pecuária/agricultura
realizar	música/comércio/mercantilismo/comercialismo
integrar	ciência_exacta/matematica/matemática/ciências_exactas
obter	comércio/mercantilismo/comercialismo
filiar	lei/jurisprudência/ciências_jurídicas
atuar	arte_dramatica/dramaturgia/teatro/arte_dramatica/dramaturgia/teatro
trabalhar	cultivo/pecuária/agricultura
ir	serviço
representar	arte_dramatica/dramaturgia/teatro/arte/arte/arte
ligar	quimica/química
marcar	jogo_de_futebol/futebol
ver	psicologia/psicólogos_por_nacionalidade
abrir	xadrez/jogo_de_xadrez
anunciar	jogo_de_cartas
compor	música
entrar	arte_dramatica/dramaturgia/teatro
incluir	quimica/química
acompanhar	música
desenvolver	ciência_exacta/matematica/matemática/ciências_exactas
atingir	comércio/mercantilismo/comercialismo
prender	lei/jurisprudência/ciências_jurídicas
escrever	música
transformar	ciências_físicas/fisica/física/física/quimica/química
recusar	lei/jurisprudência/ciências_jurídicas
condenar	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
entregar	lei/jurisprudência/ciências_jurídicas
mostrar	lei/jurisprudência/ciências_jurídicas
reduzir	lingüística/lingüística/linguística/ciência_exacta/matematica/matemática/ciências_exactas/preparação/culinária/cozinha
preparar	preparação/culinária/cozinha
aliar	quimica/química
apurar	quimica/química
suspender	quimica/química
construir	edificação/construção
gerar	biologia/ciências_da_vida
pôr	música
conduzir	música/música
conter	jogo_de_cartas
controlar	disciplina_cientifica/ciência
negociar	comércio/mercantilismo/comercialismo
dividir	ciências_físicas/fisica/física/física/quimica/química/quimica/química
pagar	crime/ofensa
submeter	lei/jurisprudência/ciências_jurídicas
completar	jogo_de_futebol/futebol
produzir	cultivo/pecuária/agricultura
adquirir	comércio/mercantilismo/comercialismo/comércio/mercantilismo/comercialismo
registrar	lei/jurisprudência/ciências_jurídicas
montar	mamífero
distribuir	esporte
vender	comércio/mercantilismo/comercialismo/comércio/mercantilismo/comercialismo/crime/ofensa
preferir	lei/jurisprudência/ciências_jurídicas
aparecer	arte_dramatica/dramaturgia/teatro
baixar	música
comprar	comércio/mercantilismo/comercialismo/comércio/mercantilismo/comercialismo
acrescentar	vegetal/planta/flora
empenhar	comércio/mercantilismo/comercialismo
formular	quimica/química
contestar	lei/jurisprudência/ciências_jurídicas
acreditar	crença_religiosa/fé/religião
verificar	lei/jurisprudência/ciências_jurídicas/disciplina_cientifica/ciência
figurar	arte
pleitear	lei/jurisprudência/ciências_jurídicas
misturar	quimica/química
liberar	quimica/química
reagir	quimica/química
diminuir	preparação/culinária/cozinha
libertar	quimica/química
advogar	lei/jurisprudência/ciências_jurídicas
isolar	psicologia/psicólogos_por_nacionalidade/quimica/química
preservar	preparação/culinária/cozinha
projetar	psicologia/psicólogos_por_nacionalidade
importar	comércio/mercantilismo/comercialismo
cair	música
cobrir	mamífero
render	fundos_de_investimento/investimento
repetir	música
converter	quimica/química
privilegiar	comércio/mercantilismo/comercialismo
quebrar	quimica/química/quimica/química
absorver	quimica/química
conservar	preparação/culinária/cozinha
evidenciar	lei/jurisprudência/ciências_jurídicas
correr	esporte/esporte
bater	música/preparação/culinária/cozinha
anistiar	lei/jurisprudência/ciências_jurídicas
separar	forças_armadas/exército/máquina_de_guerra
espalhar	cultivo/pecuária/agricultura
