fazer	arte_dramatica/dramaturgia/teatro/comércio/mercantilismo/comercialismo/cultivo/pecuária/agricultura
realizar	música/comércio/mercantilismo/comercialismo
integrar	ciência_exacta/matematica/matemática/ciências_exactas
obter	comércio/mercantilismo/comercialismo
filiar	lei/jurisprudência/ciências_jurídicas
atuar	arte_dramatica/dramaturgia/teatro/arte_dramatica/dramaturgia/teatro
trabalhar	cultivo/pecuária/agricultura
representar	arte_dramatica/dramaturgia/teatro/arte/arte/arte
ligar	quimica/química/cirurgia
marcar	jogo_de_futebol/futebol
ver	psicologia/psicólogos_por_nacionalidade
compor	música
entrar	arte_dramatica/dramaturgia/teatro
incluir	quimica/química
desenvolver	ciência_exacta/matematica/matemática/ciências_exactas
atingir	comércio/mercantilismo/comercialismo
prender	lei/jurisprudência/ciências_jurídicas
escrever	música
transformar	ciências_físicas/fisica/física/física/quimica/química
aumentar	fotografia
recusar	lei/jurisprudência/ciências_jurídicas
condenar	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
entregar	lei/jurisprudência/ciências_jurídicas
mostrar	lei/jurisprudência/ciências_jurídicas
reduzir	ciência_exacta/matematica/matemática/ciências_exactas
aliar	quimica/química
apurar	quimica/química
suspender	quimica/química
oferecer	hasta/leilão/almoeda/arrematação
revelar	fotografia
pôr	música
controlar	disciplina_cientifica/ciência
negociar	comércio/mercantilismo/comercialismo
dividir	ciências_físicas/fisica/física/física/quimica/química/quimica/química
pagar	crime/ofensa
submeter	lei/jurisprudência/ciências_jurídicas
completar	jogo_de_futebol/futebol
produzir	cultivo/pecuária/agricultura
adquirir	comércio/mercantilismo/comercialismo/comércio/mercantilismo/comercialismo
registrar	lei/jurisprudência/ciências_jurídicas
analisar	gramática
concordar	gramática
distribuir	esporte
vender	comércio/mercantilismo/comercialismo/comércio/mercantilismo/comercialismo/crime/ofensa
preferir	lei/jurisprudência/ciências_jurídicas
modificar	gramática
operar	remédio/prática_da_medicina/medicina/incisão/medicina
aparecer	arte_dramatica/dramaturgia/teatro
baixar	música
comprar	comércio/mercantilismo/comercialismo/comércio/mercantilismo/comercialismo
acrescentar	vegetal/planta/flora
empenhar	comércio/mercantilismo/comercialismo
formular	quimica/química
contestar	lei/jurisprudência/ciências_jurídicas
acreditar	crença_religiosa/fé/religião
verificar	lei/jurisprudência/ciências_jurídicas/disciplina_cientifica/ciência
figurar	arte
pleitear	lei/jurisprudência/ciências_jurídicas
misturar	quimica/química
liberar	quimica/química
reagir	quimica/química
qualificar	gramática
libertar	quimica/química
advogar	lei/jurisprudência/ciências_jurídicas
administrar	remédio/prática_da_medicina/medicina/incisão/medicina
expor	fotografia
explorar	remédio/prática_da_medicina/medicina/incisão/medicina
isolar	psicologia/psicólogos_por_nacionalidade/quimica/química
projetar	psicologia/psicólogos_por_nacionalidade
importar	informática/ciência_da_computação/comércio/mercantilismo/comercialismo
cair	música
render	fundos_de_investimento/investimento
dispensar	remédio/prática_da_medicina/medicina/incisão/medicina
converter	quimica/química
privilegiar	comércio/mercantilismo/comercialismo
quebrar	quimica/química/quimica/química
absorver	quimica/química
evidenciar	lei/jurisprudência/ciências_jurídicas
correr	esporte/esporte
bater	música/beisebol/basebol
anistiar	lei/jurisprudência/ciências_jurídicas
espalhar	cultivo/pecuária/agricultura
provar	lei/jurisprudência/ciências_jurídicas/ciência_exacta/matematica/matemática/ciências_exactas/disciplina_cientifica/ciência
