muito	intensificador/intensificador
bem	coloquialismo/intensificador
tão	intensificador
doce	coloquialismo
claramente	coloquialismo
abertamente	coloquialismo/intensificador
duramente	coloquialismo
inteiramente	coloquialismo
totalmente	coloquialismo/coloquialismo/intensificador
extremamente	intensificador
realmente	ironia
completamente	coloquialismo/coloquialismo/intensificador/intensificador
violentamente	coloquialismo
simplesmente	intensificador
certamente	coloquialismo
francamente	intensificador
evidentemente	coloquialismo
facilmente	coloquialismo
positivamente	intensificador
obviamente	coloquialismo
lentamente	coloquialismo
pior	comparativo
seguramente	coloquialismo
literalmente	intensificador
terrivelmente	coloquialismo
honestamente	intensificador
verdadeiramente	intensificador
desesperadamente	coloquialismo
vagarosamente	coloquialismo
eternamente	coloquialismo
cabalmente	coloquialismo
