sul	ku_klux_klan/ku_klux_klan
américa	dia_dos_presidentes/22_de_fevereiro/22_de_fevereiro/12_de_fevereiro/groundhog_day/trapézio/trapézio/trilhão/bilhão/polegada/alfândega/dólar/hedeoma/mel_gibson/mel_gibson/nortista/gringo/ianque/mestiço/bandido/cara-pálida/philip_marlowe/norte/união/república_das_ilhas_marshall/ilhas_marshall/ilhas_marshall/condado/condado_dos_eua/tribo/coca/cola/perdiz/xamanismo/xamanismo/focinho/bocal/totem/totem/guerra_de_secessão/guerra_civil_americana/guerra_de_secessão/festa_do_chá_de_boston/festa_do_chá_de_boston
alemanha	trilhão/margrave/teutões/floresta_negra/floresta_negra/pietismo/raf/facção_exército_vermelho/mitologia_nórdica/alto_alemão/alemão/língua_alemã/svástica/cruz_gamada/suástica/panzer/minden
eua	dia_dos_presidentes/22_de_fevereiro/22_de_fevereiro/12_de_fevereiro/groundhog_day/trapézio/trapézio/trilhão/bilhão/polegada/alfândega/dólar/hedeoma/mel_gibson/mel_gibson/nortista/gringo/ianque/mestiço/bandido/cara-pálida/philip_marlowe/norte/união/república_das_ilhas_marshall/ilhas_marshall/ilhas_marshall/condado/condado_dos_eua/tribo/coca/cola/perdiz/xamanismo/xamanismo/focinho/bocal/totem/totem/guerra_de_secessão/guerra_civil_americana/guerra_de_secessão/festa_do_chá_de_boston/festa_do_chá_de_boston
frança	trilhão/patrão/legionário/deputado/distrito/departamento/frente_de_libertação_nacional_da_córsega/casa_de_câmbio/nouvelle_cuisine_française/nouvelle_cuisine_française/bonheur/francês/língua_francesa/tricolor/bastilha/revolução_francesa/revolução_francesa/revoluçao_francesa/somme/somme/soissons/batalha_de_rocroi/batalha_de_rocroi/poitiers/orleães
europa	servo/escravo/woland/mercantilismo/mercantilismo/monumentos_megalíticos/monumento_megalítico
itália	calábria/calabria/basilicata/brigadas_vermelhas/brigadas_vermelhas/etiqueta_br/taxa_de_transferência_de_bits/tag_br/calamar/polenta/língua_italiana/italiano/salerno/ravenna/batalha_de_magenta/batalha_de_magenta/cannae
portugal	inquisidor-geral/inquisidor_geral/português/língua_portuguesa
méxico	conquistador/mexicano-americano/mexicano/puebla/torrada/burrito/taco/tortilla/tamal/enchilada/chili/revolução_mexicana/revolução_mexicana/batalha_de_puebla/batalha_de_puebla/chapultepec
roma	solicitador/tipos_de_gladiador/gladiador/centurião/áugures/agoureiro/baco/panteão/panteão/cruzamento/catacumba
inglaterra	safado/proxeneta/chulo/proxenetismo/cafetão/sherwood/puritanismo/guerra_das_rosas/guerra_das_rosas/guerra_civil_inglesa/guerra_civil_inglesa/revolta_camponesa_de_1381/revolta_camponesa_de_1381
bolívia	exército_guerrilheiro_tupac_katari/exército_guerrilheiro_tupac_katari
cuba	santiago_de_cuba
israel	shabak/mossad/sayeret_matkal/sayeret_matkal/haganá/haganah/moshav/moshav/kibboutz/kibutz/kibutz/frente_popular_para_a_libertação_da_palestina_-_comando_geral/fatah
peru	movimento_revolucionário_tupac_amaru/sendero_luminoso/sendero_luminoso
