ser	gregário/registado/celular
empresa	físico
lei	residual/probatório/menor_de_idade/maior/indevido/alienável/substancial/essencial/substantivo/processual
exército	regular/blindado/desarmado/inerme
comércio	físico
discurso	diacrônico/diacrónico/sincrônico
imposto	progressivo
transporte	conectado/online
taxa	progressivo
negócio	físico
jogo	jogado
organismo	celular
bicho	gregário/registado
química	pentavalente/etérico/polimórfico/carboxil/carboxílico/aromático/anidro/volátil/rico/opulento/reage/orgânico/saturação/saturado/acíclico/cíclico/crítico/hidrossolúvel/hidrofóbica/anfotérico/alcalino/ácido
tributo	progressivo
música	mensurável/medido/lírico/polifônico/serial/atonal/tonal/legato/staccato/natural/maior/dramático/lírico/segundo/lento/rápido/cromático
língua	diacrônico/diacrónico/sincrônico
eletricidade	multi-fase/polifasico/galvânico/indutivo/alternado/alterno/alternativa
psicologia	idiografico/aprendido/anormal/normal/molecular/introvertido/ajustado
religião	catequismal/mórmon/metodista/luterano/revivalista/congressional/anglicano/russo_ortodoxo/da_igreja_ortodoxa/greco-ortodoxo/ortodoxo/judeu_ortodoxo/cristão
física	aerodinâmico/aerodinâmico/hidrodinâmico/hidrodinâmico/dinâmico/dinâmico/metaestável/metaestável/atómico/nuclear/atómico/nuclear/reage/reage/adiabático/adiabático/crítico/crítico/atrativo/magnético/atrativo/magnético
linguagem	diacrônico/diacrónico/sincrônico
fé	catequismal/mórmon/metodista/luterano/revivalista/congressional/anglicano/russo_ortodoxo/da_igreja_ortodoxa/greco-ortodoxo/ortodoxo/judeu_ortodoxo/cristão
taxação	progressivo
expedição	conectado/online
animal	gregário/registado
móvel	mobiliado/mobilado/fornecido/equipado
matemática	primo/irracional/racional/diferencial/diagonalizável/analítico/monotônico/inverso/contínuo
vegetal	gregário/sempre-verde/carnívoro
computador	incompatível/compatível
jurisprudência	residual/probatório/menor_de_idade/maior/indevido/alienável/substancial/essencial/substantivo/processual
flora	gregário/sempre-verde/carnívoro
biologia	sistemático/taxonômico/basofílico/ecológico/nuclear/atómico/polimórfica/polimórfico/urceolado/comensal/cenogenético/intracelular/extracelular/territorial/caduco/duradouro/facultativo/macho/varão/análogo/heterológico/noturno/nocturno/mononuclear/binucleado/abaxial/dorsal
mobiliário	mobiliado/mobilado/fornecido/equipado
planta	gregário/sempre-verde/carnívoro
idioma	diacrônico/diacrónico/sincrônico
industria	físico
criatura	gregário/registado
impostos	progressivo
linguística	vocativo/ablativo/tardio/médio/antigo/inanimado/animado/sintético/analítico
lingüística	vocativo/vocativo/ablativo/ablativo/tardio/tardio/médio/médio/antigo/antigo/inanimado/inanimado/animado/animado/sintético/sintético/analítico/analítico
besta	gregário/registado
