francês	patoá
sigla	nimby/nimby/mpeg
marca	pyrex/nicromo/kleenex/invar/freon/duralumínio/duraluminio/alka-seltzer/baquelite/plasticina/spam/spam/windows/microsoft_windows/linux/winchester/walkman/velcro/vaselina/rollerblade/frisbee/monopólio/banco_imobiliário/scrabble
formalidade	arauto
jargão	agarro/fufa/sapatão/cientista/garota/mina/chinês/judeu/olho_puxado/white_trash/cara-pálida/vizinhança/bairro/folharada/besteira/besteirol/mexerico/fedor/barriga/ânus/pentelho/rabo/cuzão/cadeia/prisão/presídio/chupada/boquete/trepada/foda/sexo/metida/assalto/mordida
plural	profundeza/soluço/condições/condição/condições/dívida/obrigação/direito/ativos_liquidos/ativo_de_reserva/contas_a_receber/valores_a_receber/activos/recursos/ativo/ativos/bens/despesa_de_viagem/despesa_incidental/reparação/pilhagem/espólio/conexão/autoridade/amostra/resto/borra/borra/colina/borra_de_cafe/profundeza/desempregado/nação_islâmica/umma/fedayin/rico/ricos/pobres/pobreza/irmãos/confraria/pais/grupos_de_interesse/farpa/antigos/povos/povo/pessoal/população/povo/gente/casca/aveia/repolhos-de-bruxelas/couve-de-bruxelas/depredação/devastação/ordem/debate/deliberação/parabéns/congratulação/felicitação/reticência/termo/condição/desejo/estima/cumprimento/saudação/tom/obras/textos/obra/crédito/telecomunicação/telecomunicações/linha_de_comunicação/canal_de_comunicação/canal/intenção/abecedário/abc/abecê/primeiros_princípios/rudimentos/direito_de_estado/direitos_de_estado/limites/modo/maneira/nervo/chance/chances/superfície/produtos_têxteis/tecido/mecanismo/luto/estação_de_tratamento_de_água/eta/boia_de_braço/wader/ceroulas/cuecas/calças/convés/pegador/alicate/tenaz/torquês/farrapos/collant/leotard/meia/meia-calça/coroa/calção_de_banho/sunga/calça_de_moleton/óculos_de_sol/óculos_escuros/coisas/coisa/tralha/calça_elástica/tronco/meia/escadas/escada/bens_esportivos/óculos/sabão_em_pó/espevitadeira/tesoura_de_chapa/alicate/shorts/short/sete_maravilhas_do_mundo_antigo/secateurs/podadeira/tesoura/salina/argolas/alicate/raridade/antena_interna/furador_de_couro/alicate_de_bico_de_papagaio/obras_públicas/secateurs/podadeira/calça_de_golfe/alicates/alicate/barras_paralelas/barras_de_ginástica/calcinha/bens_empacotados/mantimentos_empacotados/alicate_de_bico_fino/ossos_de_napier/fórceps/quartel/cuecao/alicate_de_pressão/habitação/apartamento/moradia/quartos/pinça_hemostática_curva_com_dentes/boa_noite_cinderela/jodpurs/jeans/ferraria/algemas/algema/pegador_de_gelo/short_hot_pants/matriz/sede/base/escritório_central/quartel_general/quartel/cara/comida/mantimento/óculos_protetores/óculos/fábrica_de_gás/patíbulo/forca/cadafalso/patíbulo/acessório/móvel/mobília/mobiliário/fórceps/luzes_da_ribalta/ribalta/sapato_baixo/sapatilha/gabardine/decoração/foguete/fogo_de_artifício/foguete_pirotécnico/pegador_de_brasa/camuflagem/bens_de_consumo/bens_duráveis/bens_duradouros/cueca_samba-canção/boxers/cuecas/escavação/excavação/jóias_da_coroa/calça_de_veludo/bens_de_consumo/cores/cor/cores/chuteiras/chuteira/lavanderia_a_seco/lavanderia/roupa_de_civil/perneiras/chaparreira/refeitorio/calções_de_camurça/cuecas/cueca/culote/soqueira/soco-inglês/suspensório/castanhola/palco/roupa_de_baixo/calcinha/arquibancada/óculos_de_ópera/binóculo/binóculos/bermuda/fole/fole_de_ferreiro/calça_boca_de_sino/boca_de_sino/sais_de_banho/aparelhagem/respeito/ultimos_respeitos/truque_sujo/transações_financeiras/esmola/rodada/ronda/estações_da_via_crucis/via_crucis/extrema_unção/contratempos/artes_e_ofícios/serviços/feitos/atos/obras/heroísmo/jogos_seculares/brincadeira_perversa/loteria/entrada/inning/asas/asa/relações/relação
palavrão	merda/tolete/bosta/cocô/cagalhão/pipi/xixi/pê/mijo/urina/filho_da_puta/filho_da_mãe/bosta/papo-furado/merda/besteira/jeba/pau/piroca/pica/pinto/vara/rola/verga/caralho/cacete/pénis/picha/trepada/foda/sexo/metida
gíria	agarro/fufa/sapatão/cientista/garota/mina/chinês/judeu/olho_puxado/white_trash/cara-pálida/vizinhança/bairro/folharada/besteira/besteirol/mexerico/fedor/barriga/ânus/pentelho/rabo/cuzão/cadeia/prisão/presídio/chupada/boquete/trepada/foda/sexo/metida/assalto/mordida
vulgaridade	merda/tolete/bosta/cocô/cagalhão/pipi/xixi/pê/mijo/urina/filho_da_puta/filho_da_mãe/bosta/papo-furado/merda/besteira/jeba/pau/piroca/pica/pinto/vara/rola/verga/caralho/cacete/pénis/picha/trepada/foda/sexo/metida
obscenidade	merda/tolete/bosta/cocô/cagalhão/pipi/xixi/pê/mijo/urina/filho_da_puta/filho_da_mãe/bosta/papo-furado/merda/besteira/jeba/pau/piroca/pica/pinto/vara/rola/verga/caralho/cacete/pénis/picha/trepada/foda/sexo/metida
calão	agarro/fufa/sapatão/cientista/garota/mina/chinês/judeu/olho_puxado/white_trash/cara-pálida/vizinhança/bairro/folharada/besteira/besteirol/mexerico/fedor/barriga/ânus/pentelho/rabo/cuzão/cadeia/prisão/presídio/chupada/boquete/trepada/foda/sexo/metida/assalto/mordida
