act	actable/actable/actable
love	loveable/lovable/loveable/lovable
defend	defensive/defensive
express	expressible/expressible/expressible/expressible
part	partitive
compete	competitory/competitive
freelance	freelance
tax	taxable
mix	mixable/mixable/mixable
permit	permissive/permissive/permissible
exist	existent/existent/existent
value	valuable
respond	responsive
reside	resident/resident
repel	repulsive/repulsive
diverge	divergent/divergent
digest	digestive/digestive/digestible/digestible
decide	decisive/decisive/decisive
bridge	bridgeable/bridgeable
alter	alterable/alterable
