ser	ser/organismo
ano	tempo/etapa/período
governo	entidade_política/coisa_pública
ter	incluir/abarcar/conter
presidente	presidente/chefe_de_estado/chefe_de_estado
partido	organização
dia	dia/unidades_de_tempo/unidade_de_tempo
estado	divisão_territorial/divisão_administrativa/distrito_administrativo/condição/situação/estado/condição/situação/estado/condição/situação/estado
rio	corrente/córrego
político	chefe/líder
eleger	seleccionar/escolher/selecionar/seleccionar/escolher/selecionar
comissão	unidade_administrativa/órgão_público/organização
assumir	antecipar
eleição	decisão/tomada_de_decisão/votação/selecção/seleção/escolha
legenda	organização
passar	conseguir/atingir/ser_bem_sucedido/suceder/transferir/oferecer/dar_de_presente/dar/regalar/entregar/ganhar_terreno/viajar/ir/caminhar/andar
presidência	cargo/posição/posto
filho	descendente/descendência/filho/parente
república	regimes_políticos/regimes_políticos
segundo	unidades_de_tempo/unidade_de_tempo/posição/hierarquia/classe/posto
membro	associado/membro
fazer	plantar/cultivar/amanhar/apresentar/fazer/desempenhar/recriar/fazer/causar/provocar/criar
ministro	executivo/diretor_executivo
candidato	indivíduo/pessoa/alguém/ser_humano/alma
deixar	oferecer/dar_de_presente/dar/regalar/entregar/deslocar/mexer/mover/concordar/aprovar/consentir/aceitar
participar	fazer/agir/atuar
voto	selecção/seleção/escolha
pleito	procedimento_legal/procedimento_legal
mês	tempo/etapa/período
poder	causa/causador
público	reunião/grupo/comunidade
realizar	conseguir/atingir/ser_bem_sucedido/suceder/conhecer/saber/entender
movimento	grupos_sociais
governador	político
projeto	pensamento/idéia/conceito/opinião/trabalho/tarefa
política	relação_social
empresa	comércio/mercantilismo/comercialismo
reforma	melhoria/melhoramento
trabalho	oficina/laboratório/emprego/locais_de_trabalho/trabalho/trabalho/tarefa/atividade/ocupação
apoio	equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento/auxílio/socorro/ajuda/assistência
promover	delegar/enaltecer/louvar/elogiar
nomear	estabelecer/fundar/constituir/classificar/rotular/significar/denotar
permanecer	estar/ser
fim	ocorrente/acontecimento/ocorrência/meta/alvo/intenção/objectivo/fenômeno/fenómeno
ocupar	estar
obter	conseguir/atingir/ser_bem_sucedido/suceder/receber/obter/comprar/adquirir/receber/obter/comprar/adquirir
direito	justiça/justeza
campanha	corrida/manobra/operação/empreendimento_de_risco
votar	seleccionar/escolher/selecionar
assembléia	assembléia_legislativa/legislatura/poder_legislativo/ação_em_grupo
setor	faceta
curso	fronteira/reunião/acção/ação/atividade/ato
função	atividade/ocupação/atividade/ocupação
período	intervalo_de_tempo/tempo/intervalo/idade/tempo/período/escala_de_tempo_geológico/era/época/século/tempo/etapa/período/tempo/etapa/período/tempo/etapa/período
capital	moeda/dinheiro/divisa
partir	deslocar/mexer/mover/deslocar/mexer/mover
jornal	jornal/periódico/publicação_periódica/revista/jornal/imprensa/jornalismo
regime	entidade_política/coisa_pública
grupo	aglomeração/aglomeração/acúmulo/aglomeração/colecção/coleção/acúmulo/aglomeração/colecção/coleção
oposição	chapa/partido_político/partido/legenda/acção/ação/atividade/ato
cidade	municipalidade/município
processo	procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal/atividade/ocupação
início	momento/instante
apoiar	suportar/ajudar/apoiar
chefe	orientador/supervisor/chefe/líder/indivíduo/pessoa/alguém/ser_humano/alma
dar	transferir/oferecer/dar_de_presente/dar/regalar/entregar/oferecer/dar_de_presente/dar/regalar/entregar/servir/fornecer/prover/provisionar/abastecer
escola	estabelecimentos_de_ensino/estabelecimentos_de_ensino/edifício/prédio
emenda	afirmação/declaração
legislatura	assembléia/assembleia
diretor	gerente/administrador
apresentar	mostrar/apresentar/recriar/informar
formar	receber/construir/confeccionar/fabricar/fazer/causar/provocar/criar/mudar/modificar/alterar
congresso	assembléia_legislativa/legislatura/poder_legislativo
favor	gentileza/delicadeza/amabilidade/bondade
criação	atividade/ocupação/objeto_natural/objeto_natural
força	poder/intensidade/propriedade/atributo/agressão/hostilidade/causa/causador
chegar	vir
defender	defender/proteger/defender/proteger/defender
receber	entreter/divertir
nome	unidade_da_linguagem/unidade_linguística
atividade	peculiaridade/feição
distrito	regiões/região/municipalidade/município
líder	chefe/líder/indivíduo/pessoa/alguém/ser_humano/alma
substituir	mudar/modificar/alterar
aprovar	suportar/ajudar/apoiar/autorizar/permitir
publicar	verbalizar
conselho	comité/comissão/junta/comitê/unidade_administrativa/órgão_público/proposta/mensagem/assunto/tópico/conteúdo
prefeito	autoridade_civil/político
final	ocorrente/acontecimento/ocorrência
banco	assento/cadeira/assento/cadeira
parte	parte/porção/divisão/repartição/conexão/relação
tomar	ingerir/tomar/consumir
programa	informação/pacote_de_software/software/programa/lista/listagem/lista_numerada/pensamento/idéia/conceito/opinião
instituto	estabelecimentos_de_ensino/estabelecimentos_de_ensino/organização
secretário	servidor/criado/assistente/ajudante
ação	fundo_de_maneio/acontecimento/fato/evento
órgão	anatomia/parte_do_corpo
faculdade	estabelecimentos_de_ensino
ocasião	ocorrente/acontecimento/ocorrência
vir	vir
cadeira	região_de_espaço/assento/cadeira/assento/cadeira/mobiliário/alfaia/movéis/móvel/mobília/cargo/posição/posto
considerar	discutir
lei	acúmulo/aglomeração/colecção/coleção/concepção/idéia/conceito/ideia
medida	grandeza/número/magnitude/manobra
votação	selecção/seleção/escolha
manter	ter/registar/registrar
ficar	estar/ser/estar/ser
administração	controle_social
lançar	propulsionar/propulsar/tocar/impulsionar/propulsionar/propulsar/tocar/impulsionar/lançar/atirar/jogar/lançar/atirar/jogar
costa	orla/litoral/costa/formação/formação_geológica
tribunal	assembléia/assembleia
aliança	joalheria/jóia/joalharia
sistema	grupo/agrupação/conjunto
constituição	lei/leis/actos_legislativos/propriedade/atributo
atuar	apresentar/fazer/desempenhar
relação	relação/ligação/conexão/relação/conexão/relação/condição/situação/estado
comando	atos_da_fala/acto_de_fala
falecer	virar/mudar/tornar
base	flanco/fundo/parte_de_baixo/parte_inferior/suposição/pressuposição/hipótese/suporte/encosto/apoio/escritório
acordo	consenso/acordo/acordo/paz/harmonia/concórdia/conformidade
organização	organização/grupos_sociais/grupo/agrupação/conjunto
conseguir	conseguir/atingir/ser_bem_sucedido/suceder
dever	controle_social/trabalho/tarefa
tempo	tacto/tempo/etapa/período/tempo/etapa/período/fenômeno_atmosférico
união	união/organização
declarar	afirmar
ato	documento_oficial/negócio_jurídico/acontecimento/fato/evento
recurso	qualidade
exército	serviço_militar/serviço_militar
proposta	proposta
arena	área/região/território/ambiente/estrutura/tecido/edifício
universidade	grupo/comunidade
justiça	justiça/justeza/justiça/honestidade
objetivo	meta/alvo/intenção/objectivo/meta/alvo/intenção/objectivo
frente	liderança
levar	deslocar/mover/transportar/levar/carregar
crise	ataque
vida	existência/ser/existência/forma_de_vida
área	lugar/extensão/alcance
reunião	convergência/assembléia/reunião/ação_em_grupo
indústria	industria/comércio/negócio/empresa
guerra	luta/conflito
estudo	documento/documentação
