militar	forças_armadas/exército
voto	eleitorado
legislatura	autoridades/governo/regime
exército	serviço_militar
associação	organização
departamento	autoridades/governo/regime
número	série
pessoa	pessoal/população/povo/gente
polícia	polícia/lei
carneiro	manada/grei/rebanho/gado/rebanho
divisão	autoridades/governo/regime
policial	polícia/lei
corpo	forças_armadas/exército/exército
agente	polícia/lei
máquina	trem/locomotivas/caminhos-de-ferro/comboio
embarcação	frota
navio	frota
frota	armada/marinha/forças_navais
audiência	mundo/povo/gente
guarda	polícia/lei
parente	tribo/familia/clã/família
carro	trem/locomotivas/caminhos-de-ferro/comboio
esposo	casamento/casal
marido	casamento/casal
automóvel	trem/locomotivas/caminhos-de-ferro/comboio
esposa	casamento/casal
associado	organização/sociedade/ordem/união/associação
indivíduo	pessoal/população/povo/gente
júri	corte/tribunal_de_justiça/tribunal/juizado/corte/tribunal_de_justiça/tribunal/juizado
estrela	constelação/galáxia/nebulosa/via_láctea
alguém	pessoal/população/povo/gente
alma	pessoal/população/povo/gente
navios	frota
trem	trem/locomotivas/caminhos-de-ferro/comboio
flora	biota/biologia
espectador	mundo/povo/gente
barco	frota
comboio	trem/locomotivas/caminhos-de-ferro/comboio
cônjuge	casamento/casal
vagão	trem/locomotivas/caminhos-de-ferro/comboio
locomotiva	trem/locomotivas/caminhos-de-ferro/comboio
vegetação	biota/biologia
vagões	trem/locomotivas/caminhos-de-ferro/comboio
ovelha	manada/grei/rebanho/gado/rebanho
consorte	casamento/casal
ovinos	manada/grei/rebanho/gado/rebanho
nebulosa	universo/cosmo/criação/mundo
galáxia	universo/cosmo/criação/mundo
bezerro	vacas/bovinos/gado_bovino/gado
