militar	forças_armadas/exército
voto	eleitorado
escola	instituto/escola/faculdade
legislatura	autoridades/governo/regime
diretor	comité/junta/comitê/conselho
instituto	instituto/escola/faculdade
faculdade	instituto/escola/faculdade
administração	autoridades/governo/regime
exército	serviço_militar
universidade	instituto/escola/faculdade
associação	organização
trabalhador	proletariado/classe_trabalhadora
carta	baralho
departamento	autoridades/governo/regime
número	série
pessoa	pessoal/população/povo/gente
linha	tabela
polícia	polícia/lei
livro	jogo/grupo
operário	proletariado/classe_trabalhadora
carneiro	manada/grei/rebanho/gado/rebanho
divisão	autoridades/governo/regime
coluna	tabela
policial	polícia/lei
corpo	forças_armadas/exército/exército/forças_armadas/exército/exército
agente	polícia/lei
máquina	trem/locomotivas/caminhos-de-ferro/comboio
embarcação	frota
aluno	ouvintes/audiências/público
navio	frota
frota	armada/marinha/forças_navais
eleitor	eleitorado
audiência	mundo/povo/gente
guarda	polícia/lei
parente	tribo/familia/clã/família
carro	trem/locomotivas/caminhos-de-ferro/comboio
princesa	família_real/família_real/família_real/família_real
esposo	casamento/casal
marido	casamento/casal
automóvel	trem/locomotivas/caminhos-de-ferro/comboio
esposa	casamento/casal
associado	organização/sociedade/ordem/união/associação
auditor	ouvintes/audiências/público
gado	manada/grei/rebanho/gado
indivíduo	pessoal/população/povo/gente
júri	júri/júri/corte/tribunal_de_justiça/tribunal/juizado/corte/tribunal_de_justiça/tribunal/juizado
rei	família_real/família_real
estrela	constelação/galáxia/nebulosa/via_láctea
raça	espécie/espécie/espécies
alguém	pessoal/população/povo/gente
quorum	organização
virgínia	estados_confederados_da_américa
burocracia	autoridades/governo/regime
quórum	organização
proletário	proletariado/classe_trabalhadora
elenco	companhia/pessoal/elenco
alma	pessoal/população/povo/gente
ouvinte	ouvintes/audiências/público
votante	eleitorado
flórida	estados_confederados_da_américa
príncipe	família_real/família_real/família_real/família_real/família_real/família_real
navios	frota
trem	trem/locomotivas/caminhos-de-ferro/comboio
comissário	comité/comissão/junta/comitê
rainha	família_real/família_real/família_real/família_real
flora	biota/biologia
espectador	mundo/povo/gente
texas	estados_confederados_da_américa
barco	frota
comboio	trem/locomotivas/caminhos-de-ferro/comboio
acompanhante	compromisso/hora_marcada
juizado	autoridades/governo/regime
cônjuge	casamento/casal
vagão	trem/locomotivas/caminhos-de-ferro/comboio
locomotiva	trem/locomotivas/caminhos-de-ferro/comboio
fauna	biota/biologia
zoologia	biota/biologia
variante	espécie/espécie/espécies
jurado	júri/júri
tennessee	estados_confederados_da_américa
geórgia	estados_confederados_da_américa
tripulante	equipe/tripulação/equipagem
florida	estados_confederados_da_américa
vegetação	biota/biologia
cão	matilha
cachorro	matilha
bovinos	manada/grei/rebanho/gado
dama	baralho
missouri	estados_confederados_da_américa
cepa	espécie/espécie/espécies
vagões	trem/locomotivas/caminhos-de-ferro/comboio
ovelha	manada/grei/rebanho/gado/rebanho
ies	instituto/escola/faculdade
director	comité/junta/comitê/conselho
consorte	casamento/casal
ovinos	manada/grei/rebanho/gado/rebanho
nebulosa	universo/cosmo/criação/mundo
galáxia	universo/cosmo/criação/mundo
estirpe	espécie/espécie/espécies/espécie/espécie/espécies
eleitores	eleitorado
constituintes	eleitorado
bezerro	vacas/bovinos/gado_bovino/gado
arkansas	estados_confederados_da_américa
