seu	porquinho/leitão
governo	departamento/divisão/assembléia_legislativa/legislatura/poder_legislativo
país	província/estado
empresa	departamento/divisão
regime	departamento/divisão/assembléia_legislativa/legislatura/poder_legislativo
criação	galáxia/nebulosa/via_láctea
lei	oficial_de_polícia/agente/polícia/guarda/policial
tribunal	júri/júri
organização	associado/associação
união	associado
exército	militar/corpo/corpo
associação	associado
ordem	associado/classe/família
família	genitor/mãe/pai/progenitor/parente/criança/menino/filho
sociedade	associado
pessoal	indivíduo/pessoa/alguém/ser_humano/alma
povo	cidadão/cidadã/súdito/cidadão/espectador/audiência/pessoal/população/povo/gente/indivíduo/pessoa/alguém/ser_humano/alma
terra	província/estado
polícia	oficial_de_polícia/agente/polícia/guarda/policial
marinha	frota
homem	pessoal/população/povo/gente
série	número
população	cidadão/cidadã/indivíduo/pessoa/alguém/ser_humano/alma
batalhão	companhia
nação	súdito/cidadão/província/estado
corpo	divisão
mundo	galáxia/nebulosa/via_láctea/espectador/audiência/pessoal/população/povo/gente
corte	júri/júri
frota	navio_de_guerra/navios_de_guerra/navio_de_guerra/navios/embarcação/navio/barco/taxi/táxi/aeroplano/aeronave/avião
eleitorado	voto
armada	frota
casamento	esposa/esposo/marido/cônjuge/cónjuge/consorte
mata	árvore
gênero	espécie/espécie/espécies/espécie/espécie/espécies
casal	esposa/esposo/marido/cônjuge/cónjuge/consorte
humanidade	pessoal/população/povo/gente
mão-de-obra	time/equipe/partida
floresta	árvore
reino	filo/filo
gado	ovelha/carneiro/ovinos/terneiro/bezerro/vitelo
gente	cidadão/cidadã/súdito/cidadão/espectador/audiência/indivíduo/pessoa/alguém/ser_humano/alma
universo	galáxia/nebulosa/via_láctea
cavalo	potro
trem	locomotivas/máquina/locomotiva/trem/vagão/vagões/automotora/carro/comboio/automóvel
biologia	cobertura_vegetal/flora/vegetação
comboio	locomotivas/máquina/locomotiva/trem/vagão/vagões/automotora/carro/comboio/automóvel
tribo	parente
rebanho	ovelha/carneiro/ovinos/ovelha/carneiro/ovinos
juizado	júri/júri
autoridades	departamento/divisão/assembléia_legislativa/legislatura/poder_legislativo
homens	time/equipe/partida
clã	parente
algodoeiro	algodão
nuvem	hemípteros/inseto/insetos/insecto/insectos
constelação	estrela
bovinos	terneiro/bezerro/vitelo
sobrenatural	ser_sobrenatural/espirito
oculto	ser_sobrenatural/espirito
arquipélago	ilha
cosmo	galáxia/nebulosa/via_láctea
bosque	árvore
alfabeto	letra/caractér/carácter/caracter
familia	parente
submundo	crime_organizado/crime_organizado
nebulosa	estrela
grei	ovelha/carneiro/ovinos
galáxia	estrela
dentição	dentes/dente
dentadura	dentes/dente
aves	pássaro/ave
