seu	sus/suíno/porco
governo	departamento/divisão/poder_executivo/poder_executivo/assembléia_legislativa/legislatura/poder_legislativo
país	província/estado
empresa	departamento/divisão
regime	departamento/divisão/poder_executivo/poder_executivo/assembléia_legislativa/legislatura/poder_legislativo
grupo	livro
criação	galáxia/nebulosa/via_láctea
conselho	diretor/director
lei	oficial_de_polícia/agente/polícia/guarda/policial
tribunal	júri/júri
aliança	aliado
universidade	instituto/escola/faculdade
coligação	aliado
companhia	elenco
família	genitor/mãe/pai/progenitor/parente/criança/menino/filho
carvalho	carvalho-vermelho/carvalho
aranha	aranha
pessoal	elenco/indivíduo/pessoa/alguém/ser_humano/alma
povo	cidadão/cidadã/pessoal/população/povo/gente/indivíduo/pessoa/alguém/ser_humano/alma
terra	província/estado
polícia	oficial_de_polícia/agente/polícia/guarda/policial
homem	pessoal/população/povo/gente
comitê	diretor/director
população	cidadão/cidadã/indivíduo/pessoa/alguém/ser_humano/alma
compromisso	ficante/acompanhante
nação	província/estado
corpo	divisão
junta	diretor/director
mundo	galáxia/nebulosa/via_láctea/pessoal/população/povo/gente
jogo	livro
corte	júri/júri
frota	taxi/táxi/autocarro/ônibus/aeroplano/aeronave/avião
eleitorado	votante/eleitor/votantes/constituintes/eleitores
casamento	esposa/esposo/marido/cônjuge/cónjuge/consorte/noiva
inimigo	inimigo
mata	árvore
espécie	estirpe/cepa/variante/estirpe/cepa/variante
gênero	espécie/espécie/espécies/espécie/espécie/espécies
casal	esposa/esposo/marido/cônjuge/cónjuge/consorte
palmeira	palma/palmeira
humanidade	pessoal/população/povo/gente
coalizão	aliado
floresta	árvore
gado	ovelha/carneiro/ovinos/vacas/bovinos/gado_bovino/gado/terneiro/bezerro/vitelo
gente	cidadão/cidadã/indivíduo/pessoa/alguém/ser_humano/alma
tabela	bicha/coluna
universo	galáxia/nebulosa/via_láctea
elenco	elenco
trem	locomotivas/máquina/locomotiva/trem/vagão/vagões/automotora/carro/comboio/automóvel
biologia	cobertura_vegetal/flora/vegetação
comboio	locomotivas/máquina/locomotiva/trem/vagão/vagões/automotora/carro/comboio/automóvel
tripulação	equipe/tripulação/equipagem
tribo	parente
rebanho	ovelha/carneiro/ovinos/ovelha/carneiro/ovinos/vacas/bovinos/gado_bovino/gado
juizado	júri/júri
feminismo	feminista
autoridades	departamento/divisão/poder_executivo/poder_executivo/assembléia_legislativa/legislatura/poder_legislativo
clã	parente
lírio	açucena/lírio
comité	diretor/director
nuvem	hemípteros/inseto/insetos/insecto/insectos
bovinos	terneiro/bezerro/vitelo
coruja	corujão/coruja/estrige/strigiformes/mocho/bufo/corujas
arquipélago	ilha
sócios	sócio/parceiro
cosmo	galáxia/nebulosa/via_láctea
bosque	árvore
alfabeto	letra/caractér/carácter/caracter
mitologia	mito/lenda/mito/lenda
familia	parente
boda	noiva
seguidores	amante
grei	ovelha/carneiro/ovinos/vacas/bovinos/gado_bovino/gado
dentição	dentes/dente
dentadura	dentes/dente
bos	vacas/bovinos/gado_bovino/gado
aves	pássaro/ave
