ano	década/decênio
dia	semana/dia
segundo	min/minuto
mês	ano
empresa	mercado
setor	sistema_econômico/economia/sociedade
função	programa_de_computador/programa_de_computador/programa
período	ano/duração_de_uma_vida/vida
parte	unidade/vegetal/planta/flora/todo/unidade
lei	lei/jurisprudência/ciências_jurídicas/teoria
costa	elevação
base	estrutura/tecido/edifício
tempo	ano/esporte
comércio	mercado
turno	tempo/turno/jogo/rodada/esporte
época	duração_de_uma_vida/vida
hora	dia
carta	correio
tarde	dia
artigo	shopping/centros_comerciais/shopping_center
luta	guerra
década	século/século/centúria/séculos
classe	sociedade
ciência	ciência
pessoa	indivíduo/pessoa/alguém/ser_humano/alma
linha	missiva/carta
terra	terra/mundo/globo_terrestre
combate	guerra
possibilidade	teoria
caráter	personalidade/temperamento/pessoa
transporte	comércio/mercantilismo/comercialismo
golpe	batalha/pugna/peleja/luta/disputa/combate
seção	todo/unidade
texto	publicação/edição
idade	duração_de_uma_vida/vida
campo	arena/estádio
produto	shopping/centros_comerciais/shopping_center
arma	equipamento_militar/arma/armamento/munição
conclusão	discurso
negócio	mercado
corpo	estrutura_organica/corpo/corpo_humano
intenção	programa
jogo	tempo/turno/jogo/rodada/esporte
manhã	jornada/dia
qualidade	natureza
quarto	edifício/prédio
jornada	dia
semana	mês/semana
item	lista/listagem/lista_numerada
meta	programa
ala	anjo/hemípteros/inseto/insetos/insecto/insectos/pássaro/ave
radical	molécula
teto	edifício/prédio
alvo	programa
água	superfície/infraestructura/infraestrutura/infra-estrutura
natureza	personalidade/temperamento/pessoa
noite	dia
face	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
metade	tempo/turno/jogo/rodada/jogo_de_futebol/futebol
evento	episódio
personalidade	personalidade/temperamento/pessoa/indivíduo/pessoa/alguém/ser_humano/alma
manobra	esporte
segmento	todo/unidade
cabo	brocha/escova_de_dentes/pincel/escova
característica	natureza
incidente	episódio
etapa	jornada/viagem
hipótese	teoria
estação	ano
cadeia	molécula
domínio	nação/país/terra
passado	vida
gráfico	publicação/edição
batalha	guerra
armamento	equipamento_militar/arma/armamento/munição
arte	publicação/edição
teoria	teoria
parque	zona_urbana/áreas_urbanas/área_urbana/região_urbana
língua	faringe/garganta/boca
banda	corpo/tronco/torso
minuto	hora
seio	corpo/tronco/torso/vertebrado
