ano	década/decênio
dia	dia
segundo	min/minuto
setor	sistema_econômico/economia/sociedade
função	programa_de_computador/programa_de_computador/programa
parte	vegetal/planta/flora
lei	lei/jurisprudência/ciências_jurídicas
administração	autoridades/governo/regime
base	estrutura/tecido/edifício
organização	autoridades/governo/regime
frente	campo_de_batalha/campo_de_guerra
hora	dia
carta	correspondência/correio
atuação	desempenho/interpretação/apresentação
tarde	dia
artigo	shopping/centros_comerciais/shopping_center
década	século/século/centúria/séculos
classe	sociedade
fundo	gruta/grutas/cavernas/oca/furna/caverna
pessoa	indivíduo/pessoa/alguém/ser_humano/alma
linha	missiva/carta
terra	terra/mundo/globo_terrestre
representação	desempenho/interpretação/apresentação
caráter	personalidade/temperamento/pessoa
transporte	comércio/mercantilismo/comercialismo
golpe	batalha/pugna/peleja/luta/disputa/combate
texto	publicação/edição
campo	arena/estádio
produto	shopping/centros_comerciais/shopping_center
conclusão	discurso
venda	mercadologia/marketing/marketing
corpo	estrutura_organica/corpo/corpo_humano
qualidade	natureza
quarto	edifício/prédio
jornada	dia
semana	mês/semana
item	lista/listagem/lista_numerada
ala	anjo/hemípteros/inseto/insetos/insecto/insectos/quirópteros/morcego/pássaro/ave
radical	molécula
teto	edifício/prédio
natureza	personalidade/temperamento/pessoa
noite	dia
face	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
metade	basquete/basquetebol/bola-ao-cesto/basquetebol/jogo_de_futebol/futebol
personalidade	personalidade/temperamento/pessoa/indivíduo/pessoa/alguém/ser_humano/alma
cabo	guarda-chuva/sombrinha/chapéu-de-chuva/caneca/carrinho_de_mão/brocha/escova_de_dentes/pincel/escova
característica	natureza
cadeia	molécula
gráfico	publicação/edição
barra	gol
arte	publicação/edição
língua	faringe/garganta/boca
interpretação	desempenho/interpretação/apresentação
banda	corpo/tronco/torso
minuto	hora
seio	corpo/tronco/torso
mercadoria	shopping/centros_comerciais/shopping_center
solo	terra/mundo/globo_terrestre
cabeça	estrutura_organica/corpo/corpo_humano/besta/criatura/ser/bicho/animal
anexo	edifício/prédio
sala	edifício/prédio
expedição	comércio/mercantilismo/comercialismo
leis	lei/jurisprudência/ciências_jurídicas
hemisfério	terra/mundo/globo_terrestre
estrela	universo/cosmo/criação/mundo
biblioteca	edifício_residencial/habitação/casa/vivenda
andar	edifício/prédio
relevo	terra/mundo/globo_terrestre
pé	jarda/estrutura/tecido/edifício
traço	cara/rosto/face
feição	personalidade/temperamento/pessoa
s	min/minuto
desenho	publicação/edição
sintoma	doenças/doença
piso	quarto/aposento/sala/saguão/salão/edifício/prédio
canto	edifício/prédio
bar	bar/boteco/taberna/pub/botequim
índole	personalidade/temperamento/pessoa
janela	auto/veículo/carro/automóvel/viatura/autocarro/ônibus/edifício/prédio
boca	cara/rosto/face
rosto	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
céu	terra/mundo/globo_terrestre
tronco	corpo/tronco/torso/estrutura_organica/corpo/corpo_humano
leito	dormitório/quarto
decênio	século/século/centúria/séculos
vidro	copo
perna	estrutura_organica/corpo/corpo_humano
parede	quarto/aposento/sala/saguão/salão/edifício/prédio
ilustração	publicação/edição
arco	ponte/ponte/barril/barril
lente	óculo/olho
alicerce	estrutura/tecido/edifício
cara	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
temperamento	indivíduo/pessoa/alguém/ser_humano/alma
peculiaridade	personalidade/temperamento/pessoa
muro	quarto/aposento/sala/saguão/salão/edifício/prédio
meio-dia	dia
punho	braço
peito	seio/peito/corpo/tronco/torso
cozinha	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
corno	bode/cabrito/bode/cabra
ombro	corpo/tronco/torso
buraco	agulha
porção	repasto/refeição
asa	anjo/edifício/prédio/hemípteros/inseto/insetos/insecto/insectos/quirópteros/morcego/pássaro/ave
aposento	edifício/prédio
testa	cara/rosto/face
chão	terra/mundo/globo_terrestre/quarto/aposento/sala/saguão/salão
casca	ovo
ingrediente	prato
estômago	corpo/tronco/torso
cama	dormitório/quarto
aquecimento	edifício/prédio
ventre	corpo/tronco/torso
dedo	pata/mão
colo	seio/peito
astro	universo/cosmo/criação/mundo
pavimento	quarto/aposento/sala/saguão/salão/edifício/prédio
nuvem	céu
gramado	arena/estádio
estrato	sociedade
curva	grafo/gráfico/caminho/rodovia/via/estrada
costas	corpo/tronco/torso
min	hora
átomo	molécula/elemento_químico/elemento_químico
degrau	escada/escadaria
colchão	leito/cama
barriga	corpo/tronco/torso
têmpora	cabeça
telhado	edifício/prédio
recanto	edifício/prédio
prato	repasto/refeição/repasto/refeição
muralha	quarto/aposento/sala/saguão/salão/edifício/prédio
missiva	correspondência/correio
mento	cara/rosto/face
melodia	missiva/carta
garganta	pescoço
fragmento	vegetal/planta/flora
esqueleto	esqueleto/sistema_esquelético
cristalino	óculo/olho
anca	corpo/tronco/torso
alça	guarda-chuva/sombrinha/chapéu-de-chuva/caneca/carrinho_de_mão/brocha/escova_de_dentes/pincel/escova
abdome	corpo/tronco/torso
tórax	seio/peito
traseiro	corpo/tronco/torso/corpo/tronco/torso
sílaba	vocábulo/termo/verbo/palavra
sulco	pele/pele
rincão	edifício/prédio
rabo	corpo/tronco/torso
pulso	braço
porrada	batalha/pugna/peleja/luta/disputa/combate
minarete	mesquita/mesquitas/mesquita
lombo	humano/ser_humano
fronte	campo_de_batalha/campo_de_guerra
banheiro	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
