ano	década/decênio
dia	semana/dia
segundo	min/minuto
membro	esqueleto_apendicular
mês	ano
empresa	mercado
setor	sistema_econômico/economia/sociedade
função	programa_de_computador/programa_de_computador/programa
período	ano/duração_de_uma_vida/vida
parte	unidade/lâmina/vegetal/planta/flora/todo/unidade
lei	lei/jurisprudência/ciências_jurídicas/teoria
administração	autoridades/governo/regime
costa	elevação
base	explanação/explicação/estrutura/tecido/edifício
organização	autoridades/governo/regime
tempo	ano/esporte
frente	campo_de_batalha/campo_de_guerra
comércio	mercado
turno	tempo/turno/jogo/rodada/esporte
época	período_geológico/período/duração_de_uma_vida/vida
hora	dia
carta	correspondência/correio
atuação	desempenho/interpretação/apresentação
tarde	dia
artigo	shopping/centros_comerciais/shopping_center
luta	guerra
década	século/século/centúria/séculos
lugar	infinito/espaço
classe	sociedade
ponto	infinito/espaço
ciência	ciência
fundo	gruta/grutas/cavernas/oca/furna/caverna
central	telefonia
fundação	explanação/explicação
pessoa	indivíduo/pessoa/alguém/ser_humano/alma
linha	estrofe/missiva/carta
terra	terra/mundo/globo_terrestre
combate	guerra
salário	salário
possibilidade	teoria
representação	desempenho/interpretação/apresentação
caráter	personalidade/temperamento/pessoa
transporte	comércio/mercantilismo/comercialismo
golpe	batalha/pugna/peleja/luta/disputa/combate
seção	lâmina/todo/unidade
articulação	endosqueleto/endoesqueleto
texto	publicação/edição
idade	duração_de_uma_vida/vida
campo	arena/estádio
produto	shopping/centros_comerciais/shopping_center
arma	equipamento_militar/arma/armamento/munição
conclusão	discurso/história/conto/narração
negócio	mercado
venda	mercadologia/marketing/marketing
corpo	estrutura_organica/corpo/corpo_humano
dinheiro	dinheiro_circulante
praça	cidade
coelho	lebre/lebrão/coelho-europeu
luz	espectro_eletromagnético/espectro_eletromagnético
intenção	programa
jogo	tempo/turno/jogo/rodada/esporte
manhã	jornada/dia
qualidade	natureza
quarto	edifício/prédio
jornada	dia
semana	mês/semana
escritório	prédio_comercial/prédio_de_escritórios
item	lista/listagem/lista_numerada
meta	programa
atribuição	ganancia/rendimento
ala	anjo/hemípteros/inseto/insetos/insecto/insectos/quirópteros/morcego/pássaro/ave
moeda	dinheiro_circulante
radical	molécula
remuneração	salário
teto	edifício/prédio
norma	livro_de_regras/livro
semestre	ano_escolar/ano
alvo	programa
