ano	década/decênio
segundo	min/minuto
empresa	mercado
período	ano
costa	elevação
base	vaso/vasilha/vasilhame/lâmpada/lâmpadas/caixa
tempo	ano
comércio	mercado
turno	dia
plano	película/filme/produção/cinema
hora	dia
carta	correio
tarde	dia
artigo	shopping/centros_comerciais/shopping_center
luta	guerra
década	século/século/centúria/séculos
classe	sociedade/departamento/colégio/escolas/escola
ciência	ciência
pessoa	indivíduo/pessoa/alguém/ser_humano/alma
conferência	curso/aula
linha	missiva/carta
terra	terra/mundo/globo_terrestre
combate	guerra
possibilidade	teoria
transporte	comércio/mercantilismo/comercialismo
golpe	batalha/pugna/peleja/luta/disputa/combate
seção	todo/unidade
pena	pássaro/ave
corrente	bicicleta/biciclo/bici
texto	publicação/edição
campo	arena/estádio
produto	shopping/centros_comerciais/shopping_center
arma	equipamento_militar/arma/armamento/munição
coluna	templo/templo
conclusão	discurso
negócio	mercado
corpo	estrutura_organica/corpo/corpo_humano/humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
mão	humano/ser_humano
intenção	programa
manhã	jornada/dia
qualidade	natureza
quarto	aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
semana	mês
escritório	edifício_residencial/habitação/casa/vivenda
meta	programa
ala	anjo/aeroplano/avião/hemípteros/inseto/insetos/insecto/insectos/pássaro/ave
passagem	texto
margem	lauda/escudeiro/página
teto	quarto/aposento/sala/edifício/prédio
caixa	mesa/secretária/escrivaninha/cômoda/cômodas/aparelhador/gaveteiro/cómoda
alvo	programa
noite	dia
face	cabeça/humano/ser_humano
memória	calculadora/computador
evento	episódio
infra-estrutura	sistema
capítulo	texto
personalidade	indivíduo/pessoa/alguém/ser_humano/alma
introdução	discurso
segmento	todo/unidade
hierarquia	administração/organização
característica	natureza
incidente	episódio
hipótese	teoria
estação	ano
cadeia	bicicleta/biciclo/bici
parágrafo	texto
batalha	guerra
lago	água/redes_de_distribuição_de_água/fornecimento_de_água
armamento	equipamento_militar/arma/armamento/munição
aula	curso/aula
teoria	teoria
teatro	teatro/casa
cachoeira	rio
parque	zona_urbana/áreas_urbanas/área_urbana/região_urbana
faixa	artigo_de_vestuário/roupa/vestuário
língua	faringe/garganta/boca
praia	orla/litoral/costa
manchete	periódico/folha/jornal
banda	artigo_de_vestuário/roupa/vestuário
minuto	hora
seio	corpo/tronco/torso/vertebrado
mercadoria	shopping/centros_comerciais/shopping_center
solo	terra/mundo/globo_terrestre
cabeça	estrutura_organica/corpo/corpo_humano/besta/criatura/ser/bicho/animal
infraestrutura	sistema
anexo	edifício/prédio
sala	edifício/prédio/edifício/prédio
baía	mar
pedra	joalheria/jóia/joalharia
expedição	comércio/mercantilismo/comercialismo
braço	estrutura_organica/corpo/corpo_humano/humano/ser_humano
hemisfério	terra/mundo/globo_terrestre
medicamento	tratamento
carne	humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
andar	edifício/prédio
remédio	tratamento
relevo	terra/mundo/globo_terrestre
olho	cara/rosto/face
pé	perna/mesa/assento/cadeira/humano/ser_humano
integridade	caráter/personalidade
traço	cara/rosto/face
feição	personalidade/temperamento/pessoa
s	min/minuto
vegetal	erva
reservatório	água/redes_de_distribuição_de_água/fornecimento_de_água
palco	teatro/casa
célula	ser/organismo
poço	mina
sintoma	doenças/doença
piso	quarto/aposento/sala/edifício/prédio
subida	elevação
pilar	templo
lição	curso/aula
boca	boca
rosto	cabeça/humano/ser_humano
céu	terra/mundo/globo_terrestre
anatomia	humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
alfândega	pé
tronco	corpo/tronco/torso/corpo/tronco/torso/estrutura_organica/corpo/corpo_humano
decênio	século/século/centúria/séculos
vidro	copo
coroa	divisa/prata/peça/moeda
parede	quarto/aposento/sala/edifício/prédio
intestino	ventre/abdome/estômago/barriga/abdómen/tronco/abdômen
colheita	cultivo/pecuária/agricultura
arco	muralha/parede/muro
pátio	edifício/prédio
escada	edifício/prédio
alínea	texto
módulo	sistema
escadaria	edifício/prédio
cara	divisa/prata/peça/moeda/cabeça/humano/ser_humano
temperamento	indivíduo/pessoa/alguém/ser_humano/alma
suposição	teoria
peculiaridade	personalidade/temperamento/pessoa
muro	quarto/aposento/sala/edifício/prédio
mala	auto/veículo/carro/automóvel/viatura
ladeira	elevação
peito	corpo/tronco/torso/vertebrado
cérebro	cabeça
cozinha	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
bolso	artigo_de_vestuário/roupa/vestuário
caricatura	publicação/edição
pele	fruta
ombro	corpo/tronco/torso
terapia	tratamento
porção	repasto/refeição
meia-noite	fim_de_tarde/noitada/tarde/noite
bico	pássaro/ave
asa	anjo/edifício/prédio/aeroplano/avião/hemípteros/inseto/insetos/insecto/insectos/pássaro/ave
aposento	edifício/prédio
testa	cara/rosto/face
síndrome	doenças/doença
gaveta	mesa/secretária/escrivaninha/cômoda/cômodas/aparelhador/gaveteiro/cómoda
chão	terra/mundo/globo_terrestre/quarto/aposento/sala
casca	galho/ramo/galho/raiz/raíz/ovo/fruta
saguão	edifício/prédio
estômago	corpo/tronco/torso
encruzilhada	caminho/rodovia/via/estrada
aquecimento	edifício/prédio
anoitecer	anoitecer/véspera/tarde/fim_de_tarde/noite
ventre	corpo/tronco/torso
industria	mercado
convés	navios/embarcação/navio/barco/navios/embarcação/navio/barco
barba	cara/rosto/face
tubo	revólver/arma/revóvel/arma_de_fogo
pavimento	quarto/aposento/sala/edifício/prédio
orelha	cabeça
nuvem	céu
gramado	arena/estádio
estrato	sociedade
curva	caminho/rodovia/via/estrada
cruzamento	caminho/rodovia/via/estrada
ci	calculadora/computador
chip	calculadora/computador
min	hora
encosta	elevação
crepúsculo	anoitecer/véspera/tarde/fim_de_tarde/noite
cintura	corpo/tronco/torso
átomo	molécula/elemento_químico/elemento_químico
verdura	erva
pescoço	estrutura_organica/corpo/corpo_humano
joelho	perna
gema	joalheria/jóia/joalharia
elevador	edifício/prédio
barriga	ventre/abdome/estômago/barriga/abdómen/tronco/abdômen/corpo/tronco/torso/corpo/tronco/torso
têmpora	cabeça
telhado	edifício/prédio
tampa	caixa
resort	áreas_de_recreio
prato	repasto/refeição
nariz	cara/rosto/face
muralha	quarto/aposento/sala/edifício/prédio
missiva	correio
mento	cara/rosto/face
melodia	missiva/carta
manga	artigo_de_vestuário/roupa/vestuário
lâmina	faca/faca
crânio	cabeça/cabeça
camarote	aeroplano/aeronave/avião
buzina	auto/veículo/carro/automóvel/viatura
anca	perna/corpo/tronco/torso
abdome	corpo/tronco/torso
traseiro	corpo/tronco/torso/vertebrado
sílaba	vocábulo/termo/verbo/palavra
sulco	pele/pele
rabo	corpo/tronco/torso/vertebrado
prateleira	cômoda/cômodas/aparelhador/gaveteiro/cómoda
porrada	batalha/pugna/peleja/luta/disputa/combate
lábio	boca
legume	erva
hortaliça	erva
fim-de-semana	semana
coxa	perna
costela	vertebrado
caveira	cabeça
cauda	vertebrado
catarata	rio
cascata	rio
banheiro	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
antecâmara	edifício/prédio
acelerador	auto/veículo/carro/automóvel/viatura/aeroplano/avião
