ano	década/decênio
segundo	min/minuto
período	histórico/história
processo	julgamento
ação	ação
base	vaso/vasilha/vasilhame/lâmpada/lâmpadas/caixa
ato	ópera/teatro/drama/balé
frente	campo_de_batalha/campo_de_guerra
plano	película/filme/produção/cinema
época	histórico/história
hora	dia
carta	correspondência/correio
tarde	dia
artigo	shopping/centros_comerciais/shopping_center
década	século/século/centúria/séculos
classe	sociedade/departamento/colégio/escolas/escola
pessoa	indivíduo/pessoa/alguém/ser_humano/alma
conferência	curso/aula
linha	missiva/carta
terra	terra/mundo/globo_terrestre
transporte	comércio/mercantilismo/comercialismo
golpe	batalha/pugna/peleja/luta/disputa/combate
pena	pássaro/ave
rádio	rádio
corrente	bicicleta/biciclo/bici
texto	publicação/edição
idade	histórico/história
campo	arena/estádio
produto	shopping/centros_comerciais/shopping_center
televisão	tevê/televisão/sistema_de_televisão
episódio	folhetim_televisivo
conclusão	discurso
corpo	estrutura_organica/corpo/corpo_humano/humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
mão	braço/humano/ser_humano
qualidade	natureza
quarto	aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
semana	mês
escritório	edifício_residencial/habitação/casa/vivenda
tv	tevê/televisão/sistema_de_televisão
promoção	mercadologia/marketing/marketing
propaganda	mercadologia/marketing/marketing
ala	anjo/aeroplano/avião/hemípteros/inseto/insetos/insecto/insectos/quirópteros/morcego/pássaro/ave
passagem	texto
margem	lauda/escudeiro/página
prado	zona_rural/área_rural/campo
teto	quarto/aposento/sala/saguão/salão/edifício/prédio
caixa	mesa/secretária/escrivaninha/cômoda/cômodas/aparelhador/gaveteiro/cómoda
noite	dia
face	cabeça/humano/ser_humano
memória	calculadora/computador
capítulo	texto
personalidade	indivíduo/pessoa/alguém/ser_humano/alma
balanço	contabilidade/conta
introdução	discurso
característica	natureza
cadeia	bicicleta/biciclo/bici
publicidade	mercadologia/marketing/marketing
ponta	gládio/espada/lápis
parágrafo	texto
aula	curso/aula
ferrovia	estrada_de_ferro
anúncio	mercadologia/marketing/marketing
cachoeira	rio
língua	faringe/garganta/boca
domingo	fim-de-semana/fim_de_semana/final_de_semana
manchete	periódico/folha/jornal
cena	ato
minuto	hora
seio	corpo/tronco/torso
mercadoria	shopping/centros_comerciais/shopping_center
solo	terra/mundo/globo_terrestre
cabeça	estrutura_organica/corpo/corpo_humano/besta/criatura/ser/bicho/animal
anexo	edifício/prédio
sala	hospital/enfermaria/edifício/prédio/edifício/prédio
expedição	comércio/mercantilismo/comercialismo
braço	estrutura_organica/corpo/corpo_humano/humano/ser_humano
hemisfério	terra/mundo/globo_terrestre
era	histórico/história
carne	humano/ser_humano/vacas/bovinos/gado_bovino/gado/indivíduo/pessoa/alguém/ser_humano/alma
andar	edifício/prédio
relevo	terra/mundo/globo_terrestre
olho	cara/rosto/face
pé	jarda/assento/cadeira/humano/ser_humano
