ano	década/decênio
legenda	figura/ilustração/desenho
março	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
segundo	min/minuto
membro	esqueleto_apendicular
empresa	mercado
período	ano/histórico/história
processo	julgamento
ação	ação
costa	elevação
base	explanação/explicação/vaso/vasilha/vasilhame/lâmpada/lâmpadas/caixa
tempo	ano
ato	ópera/teatro/drama/balé
frente	campo_de_batalha/campo_de_guerra
comércio	mercado
turno	dia
condição	pacto/acordo
plano	película/filme/produção/cinema
época	histórico/história
maioria	maturidade
hora	dia
carta	correspondência/correio
tarde	dia
ordem	movimento_trabalhista/movimento_sindical
artigo	shopping/centros_comerciais/shopping_center
luta	guerra
década	século/século/centúria/séculos
lugar	infinito/espaço
classe	sociedade/departamento/colégio/escolas/escola
ponto	infinito/espaço
ciência	ciência
fundação	explanação/explicação
pessoa	indivíduo/pessoa/alguém/ser_humano/alma
conferência	curso/aula
linha	estrofe/missiva/carta
horizonte	perspectiva
terra	terra/mundo/globo_terrestre
combate	guerra
salário	salário
possibilidade	teoria
sindicato	movimento_trabalhista/movimento_sindical
transporte	comércio/mercantilismo/comercialismo
golpe	batalha/pugna/peleja/luta/disputa/combate
título	figura/ilustração/desenho
seção	todo/unidade
pena	pássaro/ave
articulação	endosqueleto/endoesqueleto
rádio	rádio
corrente	bicicleta/biciclo/bici
texto	publicação/edição
idade	histórico/história
campo	arena/estádio
produto	shopping/centros_comerciais/shopping_center
televisão	tevê/televisão/sistema_de_televisão
episódio	folhetim_televisivo
arma	equipamento_militar/arma/armamento/munição
coluna	templo/templo
conclusão	discurso/história/conto/narração
negócio	mercado
corpo	estrutura_organica/corpo/corpo_humano/humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
praça	cidade
europa	eurasia/eurásia
mão	braço/humano/ser_humano
intenção	programa
manhã	jornada/dia
qualidade	natureza
quarto	aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
informática	processamento_de_dados/ciência_da_informação
semana	mês
escritório	prédio_comercial/prédio_de_escritórios/edifício_residencial/habitação/casa/vivenda
tv	tevê/televisão/sistema_de_televisão
meta	programa
promoção	mercadologia/marketing/marketing
propaganda	mercadologia/marketing/marketing
ala	anjo/aeroplano/avião/hemípteros/inseto/insetos/insecto/insectos/quirópteros/morcego/pássaro/ave
passagem	texto
margem	lauda/escudeiro/página
prado	zona_rural/área_rural/campo
remuneração	salário
teto	quarto/aposento/sala/saguão/salão/edifício/prédio
semestre	ano_escolar/ano
caixa	mesa/secretária/escrivaninha/cômoda/cômoda/cômodas/aparelhador/gaveteiro/cómoda/bufete/prateleiras/armário
alvo	programa
noite	dia
termo	pacto/acordo
regra	livro_de_regras/livro
face	cabeça/humano/ser_humano
memória	calculadora/computador
evento	episódio
infra-estrutura	sistema
século	milênio/milénio/milênio/milénio
capítulo	texto
personalidade	indivíduo/pessoa/alguém/ser_humano/alma
balanço	contabilidade/conta/parque/play_ground/parquinho/playground
introdução	discurso/história/conto/narração
segmento	todo/unidade
cabo	ponte_suspensa/ponte_pênsil
hierarquia	administração/organização
característica	natureza
incidente	episódio
hipótese	teoria
guarda	comitiva/séquito
estação	ano
cadeia	bicicleta/biciclo/bici
mina	mina_de_carvão
publicidade	mercadologia/marketing/marketing
ponta	cone/gládio/espada/lápis/coitelo/faca/ponta_de_flecha/ponta_de_seta/caxato
parágrafo	texto
letra	ortografia
batalha	guerra
lago	água/redes_de_distribuição_de_água/fornecimento_de_água
