ano	década/decênio
dia	semana/dia
legenda	película/filme/produção/cinema
segundo	min/minuto
mês	ano
movimento	xadrez/jogo_de_xadrez
empresa	mercado
fim	duração_de_uma_vida/vida
setor	sistema_econômico/economia/sociedade
função	programa_de_computador/programa_de_computador/programa
período	ano/duração_de_uma_vida/vida
banco	bicicleta/biciclo/bici
parte	unidade/vegetal/planta/flora/todo/unidade
cadeira	assento/cadeira
lei	lei/jurisprudência/ciências_jurídicas/teoria
costa	elevação
base	vaso/vasilha/vasilhame/estrutura/tecido/edifício/lâmpada/lâmpadas/caixa
tempo	ano/esporte
comércio	mercado
lado	corpo/tronco/torso
turno	tempo/turno/jogo/rodada/dia/esporte
plano	película/filme/produção/cinema
época	duração_de_uma_vida/vida
hora	dia
carta	correio
tarde	dia
artigo	documento/documentação/shopping/centros_comerciais/shopping_center
luta	guerra/guerra
morte	duração_de_uma_vida/vida
década	século/século/centúria/séculos
classe	sociedade/departamento/colégio/escolas/escola
ciência	ciência
gabinete	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
pessoa	indivíduo/pessoa/alguém/ser_humano/alma
conferência	curso/aula
linha	missiva/carta
terra	terra/mundo/globo_terrestre
combate	guerra/guerra
responsabilidade	caráter/personalidade
possibilidade	teoria
caráter	personalidade/temperamento/pessoa
transporte	comércio/mercantilismo/comercialismo
golpe	batalha/pugna/peleja/luta/disputa/combate
reserva	seleção/time/equipe/companhia
seção	todo/unidade
livro	texto
pena	ala/asa/pássaro/ave
corrente	bicicleta/biciclo/bici
texto	cantiga/canção/publicação/edição
idade	duração_de_uma_vida/vida
campo	arena/estádio
produto	shopping/centros_comerciais/shopping_center
arma	equipamento_militar/arma/armamento/munição
coluna	periódico/folha/jornal/templo/templo
prorrogação	esporte
conclusão	discurso
negócio	mercado
corpo	anatomia/parte_do_corpo/estrutura_organica/corpo/corpo_humano/humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
gás	infraestructura/infraestrutura/infra-estrutura
emissora	sistemas_de_comunicações
execução	processamento_de_dados
mão	humano/ser_humano
queda	duração_de_uma_vida/vida
intenção	programa
jogo	tempo/turno/jogo/rodada/esporte
manhã	jornada/dia
qualidade	natureza
quarto	hora/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
jornada	dia
editorial	periódico/folha/jornal
semana	mês/semana
escritório	edifício_residencial/habitação/casa/vivenda
item	lista/listagem/lista_numerada
meta	programa
notícia	periódico/folha/jornal
suspensão	veículos_motorizados/trem/vagão/vagões/automotora/carro/comboio/automóvel
ala	anjo/aeroplano/avião/hemípteros/inseto/insetos/insecto/insectos/pássaro/ave
passo	caminhada
radical	molécula
passagem	texto
margem	lauda/escudeiro/página
índice	publicação/edição
tomada	lâmpada/lâmpadas
teto	camiões/caminhão/camião/camiões/quarto/aposento/sala/auto/veículo/carro/automóvel/viatura/edifício/prédio
entrada	muralha/parede/muro
acesso	muralha/parede/muro
núcleo	átomo
caixa	mesa/secretária/escrivaninha/cômoda/cômodas/aparelhador/gaveteiro/cómoda
risco	cabelo
alvo	programa
água	superfície/infraestructura/infraestrutura/infra-estrutura
natureza	personalidade/temperamento/pessoa
noite	fim_de_tarde/noitada/tarde/noite/dia
instrução	programa_de_computador/programa_de_computador/programa/programa_de_computador/programa_de_computador/programa
face	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
memória	calculadora/computador
metade	tempo/turno/jogo/rodada/jogo_de_futebol/futebol
evento	episódio
infra-estrutura	sistema
capítulo	texto
personalidade	personalidade/temperamento/pessoa/indivíduo/pessoa/alguém/ser_humano/alma
manobra	esporte
nascimento	duração_de_uma_vida/vida
art.	documento/documentação
madrugada	fim_de_tarde/noitada/tarde/noite
introdução	discurso
segmento	todo/unidade
cabo	brocha/escova_de_dentes/pincel/escova
hierarquia	organização/sistema/administração/organização
característica	natureza
leme	navios/embarcação/navio/barco
incidente	episódio
etapa	jornada/viagem
conteúdo	publicação/edição
hipótese	teoria
estação	ano
cadeia	molécula/bicicleta/biciclo/bici
destino	missiva/carta
pimenta	pimenta/pimentão
ponta	agulha/faca
ar	terra/mundo/globo_terrestre
parágrafo	texto
domínio	nação/país/terra
passado	vida
letra	cantiga/canção/cantiga/canção
gráfico	publicação/edição
batalha	guerra/guerra
lago	água/redes_de_distribuição_de_água/fornecimento_de_água
armamento	equipamento_militar/arma/armamento/munição
arte	publicação/edição
aula	curso/aula
teoria	teoria
inspiração	respiração
teatro	teatro/casa
cachoeira	rio
parque	zona_urbana/áreas_urbanas/área_urbana/região_urbana
aspiração	respiração
faixa	artigo_de_vestuário/roupa/vestuário
língua	faringe/garganta/boca/calçado/bota
porta	muralha/parede/muro/auto/veículo/carro/automóvel/viatura
assento	assento/cadeira
praia	orla/litoral/costa
acompanhamento	repasto/refeição
manchete	periódico/folha/jornal
banda	corpo/tronco/torso/artigo_de_vestuário/roupa/vestuário
minuto	hora
seio	corpo/tronco/torso/vertebrado
cláusula	documento/documentação
componente	totalidade
agressão	guerra
mercadoria	shopping/centros_comerciais/shopping_center
solo	terra/mundo/globo_terrestre
diagnóstico	cuidados_médicos/cuidado_médico/cuidados_médicos
cabeça	estrutura_organica/corpo/corpo_humano/besta/criatura/ser/bicho/animal
copa	chapéu/sombreiro
infraestrutura	sistema
anexo	edifício/prédio
sala	aposento/habitação/moradia/residência/casa/lar/morada/domicílio/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio/edifício/prédio
baía	mar/mar/lago
pedra	joalheria/jóia/joalharia
paróquia	diocese/diocese
expedição	comércio/mercantilismo/comercialismo
leis	lei/jurisprudência/ciências_jurídicas
braço	estrutura_organica/corpo/corpo_humano/humano/ser_humano
teor	cantiga/canção
hemisfério	terra/mundo/globo_terrestre
estrela	universo/cosmo/criação/mundo
salto	calçado/bota
capa	livros/livro
biblioteca	edifício_residencial/habitação/casa/vivenda
medicamento	tratamento
formato	publicação/edição
carne	humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
andar	edifício/prédio
remédio	tratamento
relevo	terra/mundo/globo_terrestre
olho	cara/rosto/face
pé	perna/mesa/estrutura/tecido/edifício/assento/cadeira/humano/ser_humano/ovelha/carneiro/ovinos/cão/canídeo
integridade	caráter/personalidade
traço	cara/rosto/face
feição	personalidade/temperamento/pessoa
s	min/minuto
caldeira	aquecimento/calefação/calefacção/centrais_de_aquecimento
vegetal	erva
reservatório	água/redes_de_distribuição_de_água/fornecimento_de_água
palco	teatro/casa
desenho	publicação/edição
clara	ovo
célula	ser/organismo
poço	mina
motor	auto/veículo/carro/automóvel/viatura
sintoma	doenças/doença
terceira	auto/veículo/carro/automóvel/viatura
salão	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
estela	tumba/túmulo/sepultura
piso	quarto/aposento/sala/edifício/prédio
canto	edifício/prédio
vertente	montanha/barranco/ladeira/colina/morro/monte
variedade	espécie/espécie/espécies
privada	casa_de_banho/banheiro/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
chave	arco/arco/arco/arco
parada	jornada/viagem
subida	elevação
nadir	esfera_celeste/firmamento/céu
raiz	dentes/dente
circuito	equipamento_eletrônico
prefácio	texto
pilar	muralha/parede/muro/templo
atmosfera	terra/mundo/globo_terrestre
rodada	esporte
platéia	teatro/casa
monitor	calculadora/computador
índole	personalidade/temperamento/pessoa
lição	curso/aula
janela	janela/fenestra/auto/veículo/carro/automóvel/viatura/edifício/prédio
boca	cara/rosto/face/boca
rosto	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
céu	terra/mundo/globo_terrestre
chapéu	fungos/fungo
volante	navios/embarcação/navio/barco
pista	aeroporto/aeródromo
coro	cantiga/canção
anatomia	humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma/ser/organismo
gávea	navios/embarcação/navio/barco
alfândega	pé
tronco	árvore/corpo/tronco/torso/corpo/tronco/torso/estrutura_organica/corpo/corpo_humano
orquestra	teatro/casa/teatro/casa
decênio	século/século/centúria/séculos
vidro	copo
perna	perna/estrutura_organica/corpo/corpo_humano
coroa	divisa/prata/peça/moeda
quinta	chácara/granja/quinta/sítio/fazenda
parede	quarto/aposento/sala/edifício/prédio
intestino	ventre/abdome/estômago/barriga/abdómen/tronco/abdômen
ilustração	publicação/edição
vão	superfície
preâmbulo	documento/documentação
grade	auto/veículo/carro/automóvel/viatura
colheita	cultivo/pecuária/agricultura
arco	muralha/parede/muro/ponte/ponte
pátio	edifício/prédio
periférico	calculadora/computador
gatilho	revólver/arma/revóvel/arma_de_fogo
escada	edifício/prédio
alínea	texto
alicerce	estrutura/tecido/edifício
módulo	sistema
escadaria	edifício/prédio
cara	divisa/prata/peça/moeda/cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
turco	navios/embarcação/navio/barco
temperamento	indivíduo/pessoa/alguém/ser_humano/alma
suposição	teoria
juizado	corte/tribunal_de_justiça/tribunal/juizado
peculiaridade	personalidade/temperamento/pessoa
muro	quarto/aposento/sala/edifício/prédio
meio-dia	dia
tomo	unidade
mala	auto/veículo/carro/automóvel/viatura
ladeira	elevação/montanha/barranco/ladeira/colina/morro/monte
ave	pássaro/ave
peito	seio/peito/corpo/tronco/torso/vertebrado
pedaço	unidade
cérebro	cabeça
cozinha	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
clivagem	gravidez/embaraço
bolso	artigo_de_vestuário/roupa/vestuário
vocabulário	linguagem/idioma/discurso/língua
portão	muralha/parede/muro/camiões/caminhão/camião/camiões/auto/veículo/carro/automóvel/viatura/carro
caricatura	publicação/edição
pele	fruta
ombro	corpo/tronco/torso/corpo/tronco/torso/corpo/tronco/torso
doca	cais/porto
buraco	agulha
terapia	tratamento
porção	unidade/repasto/refeição/todo/unidade
meia-noite	fim_de_tarde/noitada/tarde/noite
fascículo	sistema_nervoso
dígito	vertebrado
corda	instrumento_de_cordas
bico	pássaro/ave
asa	anjo/edifício/prédio/aeroplano/avião/hemípteros/inseto/insetos/insecto/insectos/pássaro/ave
aposento	edifício/prédio
vigia	navios/embarcação/navio/barco
testa	cara/rosto/face
síndrome	doenças/doença
sola	calçado/calçados
sessenta	idade/velhice
paginação	lauda/escudeiro/página
golfo	mar
gaveta	mesa/secretária/escrivaninha/cômoda/cômodas/aparelhador/gaveteiro/cómoda
estuário	rio
dente	pente
chão	terra/mundo/globo_terrestre/quarto/aposento/sala
casca	galho/ramo/galho/raiz/raíz/ovo/fruta
saguão	edifício/prédio
ingrediente	prato
estômago	corpo/tronco/torso
encruzilhada	caminho/rodovia/via/estrada
aquecimento	edifício/prédio
anoitecer	anoitecer/véspera/tarde/fim_de_tarde/noite
ventre	corpo/tronco/torso/vertebrado
talão	calçado/bota
sandes	repasto/refeição
pia	casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
industria	mercado
epílogo	material_escrito/documentos
dedo	pata/pezunho/casco/casco/vertebrado
convés	navios/embarcação/navio/barco/navios/embarcação/navio/barco/navios/embarcação/navio/barco
comida	comida/alimento/nutriente
colo	seio/peito
colarinho	colarinho/artigo_de_vestuário/roupa/vestuário
barba	cara/rosto/face
astro	universo/cosmo/criação/mundo
tubo	revólver/arma/revóvel/arma_de_fogo
refrão	cantiga/canção/cantiga/canção
refeitório	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
rampa	montanha/barranco/ladeira/colina/morro/monte
pavimento	quarto/aposento/sala/edifício/prédio
orelha	cabeça
nuvem	céu
meio-termo	período
louça	mesa
gramado	arena/estádio
expiração	respiração
estrato	sociedade
curva	caminho/rodovia/via/estrada
cruzamento	caminho/rodovia/via/estrada
costas	corpo/tronco/torso
ci	calculadora/computador
chip	calculadora/computador
cabelo	humano/ser_humano
vaso	casa_de_banho/banheiro/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
nave	igreja/templo/igrejas/igreja/templo/igrejas
min	hora
encosta	elevação/montanhas/montanha/montanhas/monte/montanha/barranco/ladeira/colina/morro/monte
crepúsculo	anoitecer/véspera/tarde/fim_de_tarde/noite/anoitecer/véspera/tarde/fim_de_tarde/noite
cintura	corpo/tronco/torso
cartucho	revólver/arma/revóvel/arma_de_fogo
átomo	molécula/elemento_químico/elemento_químico
verdura	erva
rima	poesia/poema
pescoço	estrutura_organica/corpo/corpo_humano
meandro	corrente/córrego
lâmpada	lâmpada/lâmpadas
joelho	perna
gema	ovo/joalheria/jóia/joalharia
elevador	edifício/prédio
degrau	degrau
colchão	leito/cama
biosfera	planeta
barriga	ventre/abdome/estômago/barriga/abdómen/tronco/abdômen/ventre/abdome/estômago/barriga/abdómen/tronco/abdômen/corpo/tronco/torso/corpo/tronco/torso/vertebrado
barrete	ruminantes/ruminante
ucp	calculadora/computador
tíbia	perna
têmpora	cabeça
telhado	edifício/prédio
teclado	piano/calculadora/computador
tampa	caixa
secção	unidade
sanduíche	repasto/refeição
ré	auto/veículo/carro/automóvel/viatura
resort	áreas_de_recreio
recanto	edifício/prédio
processador	calculadora/computador
prato	repasto/refeição/repasto/refeição
popa	navios/embarcação/navio/barco
poente	anoitecer/véspera/tarde/fim_de_tarde/noite
nariz	cara/rosto/face
muralha	quarto/aposento/sala/edifício/prédio
missiva	correio
mento	cara/rosto/face
melodia	missiva/carta
medula	osso
manga	artigo_de_vestuário/roupa/vestuário
lâmina	faca/faca
fragmento	vegetal/planta/flora
falange	dedo_da_mão/dígito/dedo
esqueleto	esqueleto/sistema_esquelético
enseada	mar/lago
difusor	luminária/luminaria/lâmpada/lâmpadas
cume	montanhas/montanha/montanhas/monte
crânio	cabeça/cabeça
corredeira	rio
concha	molusco/moluscos/artrópode/artrópodes/artropode
cimeira	montanhas/montanha/montanhas/monte
chá	camellia_sinensis
chicote	chicote/açoite/chibata
carroceria	veículos_motorizados
cano	revólver/arma/revóvel/arma_de_fogo
canela	perna/perna/ungulados
camarote	veículos_motorizados/aeroplano/aeronave/avião
caldeiras	aquecimento/calefação/calefacção/centrais_de_aquecimento
buzina	auto/veículo/carro/automóvel/viatura
