ano	década/decênio
dia	dia
legenda	película/filme/produção/cinema
segundo	min/minuto
setor	sistema_econômico/economia/sociedade
função	programa_de_computador/programa_de_computador/programa
período	histórico/história
processo	julgamento
banco	bicicleta/biciclo/bici
parte	vegetal/planta/flora
constituinte	frase/oração/sentença
ação	ação
cadeira	assento/cadeira
lei	lei/jurisprudência/ciências_jurídicas
administração	autoridades/governo/regime
base	vaso/vasilha/vasilhame/estrutura/tecido/edifício/lâmpada/lâmpadas/coluna/coluna/pilar/caixa
organização	autoridades/governo/regime
ato	ópera/teatro/drama/balé
frente	campo_de_batalha/campo_de_guerra
lado	corpo/tronco/torso
plano	película/filme/produção/cinema
época	histórico/história
hora	dia
carta	correspondência/correio
atuação	desempenho/interpretação/apresentação
tarde	dia
artigo	documento/documentação/shopping/centros_comerciais/shopping_center
centro	centro_urbano/cidade/urbe/metrópole/centro_urbano/cidade/urbe/metrópole
abertura	óculo/olho
década	século/século/centúria/séculos
classe	sociedade/departamento/colégio/escolas/escola
fundo	gruta/grutas/cavernas/oca/furna/caverna
gabinete	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
pessoa	indivíduo/pessoa/alguém/ser_humano/alma
conferência	curso/aula
linha	missiva/carta
terra	terra/mundo/globo_terrestre
representação	desempenho/interpretação/apresentação
distribuição	mercadologia/marketing/marketing/mercadologia/marketing/marketing
caráter	personalidade/temperamento/pessoa
transporte	comércio/mercantilismo/comercialismo
golpe	batalha/pugna/peleja/luta/disputa/combate
reserva	seleção/time/equipe/companhia
livro	texto
pena	ala/asa/pássaro/ave
rádio	rádio
corrente	bicicleta/biciclo/bici
texto	publicação/edição
idade	histórico/história
campo	arena/estádio
produto	shopping/centros_comerciais/shopping_center
televisão	tevê/televisão/sistema_de_televisão
judiciário	autoridades/governo/regime
episódio	folhetim_televisivo
coluna	periódico/folha/jornal
conclusão	discurso
venda	mercadologia/marketing/marketing
alemanha	europa
corpo	estrutura_organica/corpo/corpo_humano/humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
frança	europa
itália	europa
mão	braço/humano/ser_humano
qualidade	natureza
quarto	hora/galão/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
jornada	dia
editorial	periódico/folha/jornal
semana	mês/semana
escritório	edifício_residencial/habitação/casa/vivenda
item	lista/listagem/lista_numerada
tv	tevê/televisão/sistema_de_televisão
notícia	periódico/folha/jornal
