ano	década/decênio
governo	navegacão/navegação/navegação
dia	semana/dia
rio	república_federativa_do_brasil/brasil
outubro	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
novembro	calendário_revolucionário/calendário_gregoriano
janeiro	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
brasil	américa_do_sul
fevereiro	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
legenda	figura/ilustração/desenho/película/filme/produção/cinema
março	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
abril	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
segundo	min/minuto/minuto_de_arco/minuto
membro	esqueleto_apendicular/aparelho_reprodutor_masculino/sistema_reprodutor_masculino
dezembro	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
mês	ano
maio	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
movimento	sonata/xadrez/jogo_de_xadrez
setembro	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
agosto	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
julho	calendário_revolucionário/calendário_gregoriano/calendário_revolucionário/calendário_gregoriano
empresa	mercado
junho	calendário_revolucionário/calendário_gregoriano
fim	duração_de_uma_vida/vida
setor	sistema_econômico/economia/sociedade
função	programa_de_computador/programa_de_computador/programa
período	era_geológica/era/ano/duração_de_uma_vida/vida/histórico/história
processo	julgamento
sul	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
nome	alasca
banco	bote_inflável/bote/pequeno_barco/bicicleta/biciclo/bici
parte	unidade/lâmina/vegetal/planta/flora/todo/unidade
constituinte	frase/oração/sentença
ação	ação
cadeira	assento/cadeira
lei	lei/jurisprudência/ciências_jurídicas/teoria
administração	autoridades/governo/regime
costa	elevação
base	explanação/explicação/vaso/vasilha/vasilhame/estrutura/tecido/edifício/lâmpada/lâmpadas/coluna/coluna/pilar/caixa
organização	autoridades/governo/regime
tempo	ano/esporte
ato	ópera/teatro/drama/balé
frente	campo_de_batalha/campo_de_guerra
lima	república_do_peru/peru
comércio	mercado
lado	corpo/tronco/torso
turno	tempo/turno/jogo/rodada/dia/esporte
