ser	cabeça/célula
ano	estação_do_ano/estação/tempo/sazão/período
dia	turno/hora/fim_de_tarde/noitada/tarde/noite/manhã
rio	cachoeira/cascata/catarata/queda_de_água/queda_d'água
mês	semana
todo	seção/segmento
curso	conferência/lição/aula
jornal	tiras_diárias/tira_diária/banda_desenhada/tiras_de_banda_desenhada/manchete
escola	sala_de_aula/classe
programa	meta/alvo/intenção/objectivo
cadeira	pé
administração	hierarquia
costa	praia
sistema	módulo/infra-estrutura/infraestrutura/infraestructura
organização	hierarquia
arena	campo/gramado
guerra	luta/combate/batalha
comércio	expedição/transporte/transportação
município	região_administrativa
colégio	sala_de_aula/classe
hora	min/minuto
agricultura	colheita
carta	linha/melodia
tarde	crepúsculo/pôr_do_sol/anoitecer/meia_noite/meia-noite
luta	porrada/golpe
década	ano
departamento	sala_de_aula/classe
produção	plano
discurso	conclusão/introdução
ciência	disciplina_cientifica/ciência
sociedade	classe_social/classe/estrato
disputa	porrada/golpe
mercado	industria/comércio/negócio/empresa
pessoa	corpo_humano/corpo/carne/anatomia/personalidade/temperamento/pessoa/peculiaridade/feição
terra	céu/relevo_(geografia)/chão/terra_firme/terra/relevo/solo/hemisfério
combate	porrada/golpe
casa	estudio/escritório/teatro/palco/mansarda/ático/trapeira/sótão/cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
caráter	integridade
unidade	seção/segmento
texto	passagem/parágrafo/alínea/capítulo
edição	cartoon/caricatura/texto
episódio	incidente/evento
arma	arma/armamento/tubo
folha	tiras_diárias/tira_diária/banda_desenhada/tiras_de_banda_desenhada/manchete
corpo	braço/traseiro/rabo/bumbum/popô/bunda/ânus/nádegas/ventre/abdome/estômago/barriga/abdómen/tronco/abdômen/anca/quadril/talhe/tronco/barriga/cintura/seio/peito/corpo/tronco/torso/ombro/pescoço/cabeça
mesa	pé/caixa/gaveta
usina	linha_de_montagem/linha_de_produção
estrada	acostamento/berma/encruzilhada/cruzamento/curva
mundo	céu/relevo_(geografia)/chão/terra_firme/terra/relevo/solo/hemisfério
correio	missiva/carta
publicação	cartoon/caricatura/texto
quarto	muralha/parede/muro/chão/piso/assoalho/pavimento/teto
humano	cara/rosto/face/pata/mão/braço/pé/corpo_humano/corpo/carne/anatomia
jornada	manhã
semana	fim-de-semana/fim_de_semana/final_de_semana
véspera	crepúsculo/pôr_do_sol/anoitecer
doença	síndroma/síndrome/sintoma
via	acostamento/berma/encruzilhada/cruzamento/curva
moeda	coroa/cara
residência	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
embarcação	convés/convés
tratamento	produtos_farmacêuticos/remédio/terapia/medicamento
caminho	acostamento/berma/encruzilhada/cruzamento/curva
organismo	célula
caixa	tampa/base
bicho	cabeça
