ser	cabeça/célula
ano	estação_do_ano/estação/tempo/sazão/período/ano_escolar/semestre
dia	turno/hora/fim_de_tarde/noitada/tarde/noite/manhã
rio	cachoeira/cascata/catarata/queda_de_água/queda_d'água
mês	semana
todo	seção/segmento
curso	conferência/lição/aula
jornal	tiras_diárias/tira_diária/banda_desenhada/tiras_de_banda_desenhada/manchete
cidade	praça
escola	sala_de_aula/classe
programa	meta/alvo/intenção/objectivo
ação	ação
cadeira	pé
administração	hierarquia
costa	praia
sistema	módulo/infra-estrutura/infraestrutura/infraestructura
acordo	termo/condição
organização	hierarquia
ato	cena
arena	campo/gramado
guerra	luta/combate/batalha
comércio	expedição/transporte/transportação
município	região_administrativa
colégio	sala_de_aula/classe
hora	min/minuto
agricultura	colheita
carta	linha/melodia
tarde	crepúsculo/pôr_do_sol/anoitecer/meia_noite/meia-noite
luta	porrada/golpe
década	ano
departamento	sala_de_aula/classe
produção	plano
discurso	conclusão/introdução
ciência	disciplina_cientifica/ciência
sociedade	classe_social/classe/estrato
disputa	porrada/golpe
mercado	estante/prateleira/industria/comércio/negócio/empresa
pessoa	corpo_humano/corpo/carne/anatomia/personalidade/temperamento/pessoa/peculiaridade/feição
terra	céu/relevo_(geografia)/chão/terra_firme/terra/relevo/solo/hemisfério
combate	porrada/golpe
salário	remuneração/ordenado/retribuição/salário
machado	lâmina/lâmina
casa	estudio/escritório/teatro/palco/mansarda/ático/trapeira/sótão/cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
caráter	integridade
unidade	seção/segmento
história	idade/era/época/período/conclusão/introdução
livro	regra
rádio	rádio
conta	balanço
corrente	jarda
texto	passagem/parágrafo/alínea/capítulo
campo	prado/pasto/pastagem
televisão	tv/televisão/tevê/televisor
carneiro	corno/chifre
edição	cartoon/caricatura/texto
episódio	incidente/evento
histórico	idade/era/época/período
arma	arma/armamento/tubo
folha	tiras_diárias/tira_diária/banda_desenhada/tiras_de_banda_desenhada/manchete
corpo	braço/traseiro/rabo/bumbum/popô/bunda/ânus/nádegas/ventre/abdome/estômago/barriga/abdómen/tronco/abdômen/anca/quadril/talhe/tronco/barriga/cintura/seio/peito/corpo/tronco/torso/ombro/pescoço/cabeça
mesa	pé/caixa/gaveta
usina	linha_de_montagem/linha_de_produção
mão	dedo/dedo_da_mão
estrada	acostamento/berma/encruzilhada/cruzamento/curva
mundo	céu/relevo_(geografia)/chão/terra_firme/terra/relevo/solo/hemisfério
correio	missiva/carta
publicação	cartoon/caricatura/texto
quarto	muralha/parede/muro/chão/piso/assoalho/pavimento/teto/leito/cama
humano	cara/rosto/face/pata/mão/braço/pé/corpo_humano/corpo/carne/anatomia
julgamento	processo_criminal/processo
jornada	manhã
semana	fim-de-semana/fim_de_semana/final_de_semana
espaço	locação/ponto/lugar/localização
véspera	crepúsculo/pôr_do_sol/anoitecer
doença	síndroma/síndrome/sintoma
via	acostamento/berma/encruzilhada/cruzamento/curva
moeda	coroa/cara
hospital	sala/sala_de_estar
residência	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
embarcação	convés/convés
entrada	limiar/umbral/portas/portão/porta
tratamento	produtos_farmacêuticos/remédio/terapia/medicamento
caminho	acostamento/berma/encruzilhada/cruzamento/curva
perspectiva	horizonte
acesso	limiar/umbral/portas/portão/porta
organismo	célula
caixa	fechadura/tampa/base
bicho	cabeça
navio	convés/convés
fábrica	linha_de_montagem/linha_de_produção
água	albufeira/lago/reservatório
palavra	sílaba
figura	subtítulo/título/lenda/legenda
natureza	qualidade/característica
noite	crepúsculo/pôr_do_sol/anoitecer/meia_noite/meia-noite
termo	sílaba
face	bochecha/testa/traço/mento/chinchilla/queixo/nariz/olfato/sobrancelha/supercílio/sobrolho/sobrancelha/óculo/olho/barba
página	margem
século	década/decênio/década/decênio
elevação	encosta/ladeira/subida/costa/declives/declive
personalidade	integridade/peculiaridade/feição
prédio	muralha/parede/muro/escada/escadaria/quarto/aposento/sala/telhado/teto/aquecimento/calefação/calefacção/centrais_de_aquecimento/pavimento/piso/andar/ascensor/elevador/jardim_interno/pátio/antessala/átrio/vestíbulo/sala/antecâmara/saguão/anexo/asa
periódico	tiras_diárias/tira_diária/banda_desenhada/tiras_de_banda_desenhada/manchete
avião	asa/ala/camarote/pedal_do_acelerador/acelerador
contabilidade	balanço
rodovia	acostamento/berma/encruzilhada/cruzamento/curva
habitação	estudio/escritório/mansarda/ático/trapeira/sótão/cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
veículo	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
comitiva	escolta/guarda-costas/guarda
íris	pupila/pupila
pacto	termo/condição
pecuária	colheita
plataforma	calculadora/computador
mina	poço/chaminé
gráfico	curvas/curva
conto	conclusão/introdução
ramo	casca/súber
batalha	porrada/golpe
barra	barra
armamento	arma/armamento
divisa	coroa/cara
aula	conferência/lição/aula
ponte	pilar_de_ponte
teoria	suposição/possibilidade/hipótese/teoria
peça	coroa/cara
teatro	ato/teatro/palco
parque	baloiço/balanço/escorregador/escorrego
edifício	muralha/parede/muro/escada/escadaria/quarto/aposento/sala/telhado/teto/aquecimento/calefação/calefacção/centrais_de_aquecimento/pavimento/piso/andar/ascensor/elevador/jardim_interno/pátio/antessala/átrio/vestíbulo/sala/antecâmara/saguão/anexo/asa
carro	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
mar	baía
litoral	praia
porta	fechadura/fechadura/limiar/umbral/portas/portão/porta
feira	estante/prateleira
secretária	caixa/gaveta
telefonia	telefone
automóvel	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
jardim	pátio/terraço
cinema	plano
assento	pé
marketing	anúncio/propaganda/publicidade/promoção/anúncio/propaganda/publicidade/promoção
minuto	sec/segundo/s
correspondência	missiva/carta
explicação	base/fundação
gado	bife/carne_de_vaca/carne
filme	plano
indivíduo	corpo_humano/corpo/carne/anatomia/personalidade/temperamento/pessoa
cabeça	têmpora/cara/rosto/face/crânio/crânio/crâneo/caveira/encéfalo/cérebro/encéfalo/orelha
sala	muralha/parede/muro/chão/piso/assoalho/pavimento/teto
penteado	anel/cacho
munição	arma/armamento
estádio	campo/gramado
prata	coroa/cara
braço	pulso/carpo/punho/cotovelo/pata/mão
alguém	corpo_humano/corpo/carne/anatomia/personalidade/temperamento/pessoa
animal	cabeça
cultivo	colheita
túnel	poço/chaminé
olho	pálpebra
pé	polegada/alfândega/calcanhar/dedo_do_pé/artelho/dedo
roubo	participação_nos_lucros
moradia	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
domicílio	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
saque	participação_nos_lucros
escolas	sala_de_aula/classe
raíz	casca/súber
desenho	subtítulo/título/lenda/legenda
computador	memória/placa_de_memória/hardware/circuito_integrado/microchip/ci/chip
salão	muralha/parede/muro/chão/piso/assoalho/pavimento/teto
alma	corpo_humano/corpo/carne/anatomia/personalidade/temperamento/pessoa
supermercado	estante/prateleira
raiz	casca/súber
navios	convés/convés
circuito	curto_circuito/curto-circuito
roupa	guarda-roupa/manga/algibeira/bolso/banda/faixa
bar	bar
auto	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
boca	beiço/lábio/boca/língua
rosto	bochecha/testa/traço/mento/chinchilla/queixo/nariz/olfato/sobrancelha/supercílio/sobrolho/sobrancelha/óculo/olho/barba
municipalidade	região_administrativa
lar	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
feijão	feijão/fava
céu	arco-íris/nuvem
limeira	limão
drama	ato
barco	convés/convés
aeronave	camarote
limoeiro	limão
tronco	casca/súber/traseiro/rabo/bumbum/popô/bunda/ânus/nádegas/ventre/abdome/estômago/barriga/abdómen/tronco/abdômen/anca/quadril/talhe/tronco/barriga/cintura/seio/peito/ombro/barriga/intestino/intestinos
radar	antena_parabólica
milho	milho/cereal/milho/cereal
decênio	ano
templo	coluna/coluna/pilar
perna	artelho/tornozelo/maléolo/joelho/pé/anca/coxa
parede	arco
ilustração	subtítulo/título/lenda/legenda
doenças	síndroma/síndrome/sintoma
convento	cela/cela
vestuário	guarda-roupa/manga/algibeira/bolso/banda/faixa
verbo	sílaba
espada	ponta/pico/lâmina/lâmina
arco	arco/flecha/seta
fruta	casca/pele
escada	degrau
milênio	século/século/centúria/séculos
escadaria	degrau
cara	bochecha/testa/traço/mento/chinchilla/queixo/nariz/olfato/sobrancelha/supercílio/sobrolho/sobrancelha/óculo/olho/barba
tripé	pé/pé
temperamento	peculiaridade/feição
revólver	tubo
muro	arco
manufatura	linha_de_montagem/linha_de_produção
cone	ponta/pico
vocábulo	sílaba
orla	praia
mala	tampa
balé	ato
ave	ala/asa/pluma/plumagem/pena/bico
parto	parto
jóia	gema/pedra/pedra_preciosa
cérebro	hemisfério_cerebral/hemisfério
refeição	porção/prato
portão	fechadura/fechadura/limiar/umbral/portas/portão/porta
calça	calça
bicicleta	corrente/cadeia
shopping	mercadoria/artigo/produto
pele	ruga/sulco/ruga/sulco/sarda/lentigem/sardas/sarda/lentigem/sardas
mosteiro	cela
espólio	participação_nos_lucros
baú	tampa
viatura	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
maturidade	maioria
dígito	unha
aposento	muralha/parede/muro/cozinha/chão/piso/assoalho/pavimento/teto/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
ortografia	letra/caractér/carácter/caracter
infinito	locação/ponto/lugar/localização
gaveta	fechadura
bode	corno/chifre/corno/chifre
traje	guarda-roupa
saguão	muralha/parede/muro/chão/piso/assoalho/pavimento/teto
macieira	maçã
laranjeira	laranja
estômago	barriga/intestino/intestinos
enfermaria	sala/sala_de_estar
anoitecer	crepúsculo/pôr_do_sol/anoitecer
ventre	barriga/intestino/intestinos
sandes	pão
faca	ponta/pico/lâmina/lâmina
dedo	unha
arca	tampa
séculos	década/decênio
pássaro	ala/asa/pluma/plumagem/pena/bico
morada	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
joalheria	gema/pedra/pedra_preciosa
garrafa	tampa
dna	genes/genes/gene/guen
bovinos	bife/carne_de_vaca/carne
banana	banana
armação	óculos
anjo	ala/asa
ópera	ato
vestido	guarda-roupa
vaso	rebordo/base
min	sec/segundo/s
lápis	ponta/pico
inseto	ala/asa
criatura	cabeça
centúria	década/decênio
cartucho	projétil/bala/projétil/bala
alho	alho
rapina	participação_nos_lucros
pescoço	faringe/garganta
lâmpada	base
explanação	base/fundação
erva	legume/hortaliça/vegetal/verdura
engrenagem	dente
barriga	barriga/intestino/intestinos
telhado	ladrilho
tampa	fechadura
sanduíche	pão
sacolão	estante/prateleira
prato	molho
película	plano
ovo	casca/casca_de_ovo/casca_do_ovo
narração	conclusão/introdução
muralha	arco
missiva	linha/melodia
mercantilismo	expedição/transporte/transportação
mercadologia	anúncio/propaganda/publicidade/promoção
lauda	margem
garganta	língua
empório	estante/prateleira
cômoda	estante/prateleira/caixa/gaveta/caixa/gaveta
crânio	mandíbula/mandíbula
botequim	bar
barril	galão/galão/arco/arco
abdome	barriga/intestino/intestinos
vivenda	estudio/escritório/mansarda/ático/trapeira/sótão
vaquinha	aposta
tomate	tomate
toiro	corno/chifre
tevê	tv/televisão/tevê/televisor
quitanda	estante/prateleira
pugna	porrada/golpe
portas	fechadura
playground	baloiço/balanço/escorregador/escorrego
pilhagem	participação_nos_lucros
mímica	gesto
limão	limão
galho	casca/súber/casca/súber
fim-de-semana	domingo
figo	figo
farmacopéia	medicamento/produtos_farmacêuticos/remédio/droga/entorpecente
espaçonave	camarote
escudeiro	margem
ciclone	frente_fria
cerejeira	ginja/cereja
cebola	cebola
caveira	mandíbula
cachorro-quente	salsicha/cachorro-quente
cabra	corno/chifre
besta	cabeça
banheiro	banheira
armário	estante/prateleira/estante/prateleira/caixa/gaveta
amendoim	amendoim/ginguba
adn	genes/genes/gene/guen
