ter	dispõe/apresenta
passar	transmitir/dar
fazer	fazer/representar/atuar/criar/fazer
deixar	transmitir/dar/permitir/outorgar/dar/conceder/dar/legar/entregar/passar/deixar
realizar	visualizar/figurar/afigurar/envisionar/ver
obter	comprar/receber/obter/incorrer
criar	criar/fazer
dar	transmitir/dar/ajudar/servir
formar	trabalhar
receber	receber/obter/incorrer
publicar	escrever/compor
atuar	fazer/representar/atuar
ir	deslocar/mover
representar	fazer/representar/atuar
seguir	esposar/adotar/adoptar
encontrar	encontrar/achar/reganhar
permitir	permitir/outorgar/dar/conceder
servir	servir/ajudar/servir
pedir	requerer/solicitar
chamar	organizar
aceitar	admitir/aceitar
atingir	comprar/acertar/bater/golpear
escrever	escrever/compor
tratar	tratar/tratar/falar/cobrir/endereçar/lidar
transformar	virar/mudar/tornar
convidar	convidar
convocar	organizar
solicitar	requerer/solicitar
viajar	deslocar/mover
entregar	transmitir/dar
mudar	trocar/mudar/substituir/converter/mudar/trocar
ganhar	conquistar/adquirir/fazer
romper	separar/dividir/desmoronar
construir	criar/fazer
transmitir	espalhar/circular
fechar	fechar
admitir	admitir/aceitar
aderir	aderir/colar
produzir	criar/fazer
adquirir	comprar/receber/obter/incorrer
funcionar	operar/funcionar
entender	visualizar/figurar/afigurar/envisionar/ver
concordar	compatibilizar/harmonizar/concordar
saber	conhecer/saber/entender
ajudar	servir
sentar	sentar-se/pôr/sentar/posar
vender	vender
morrer	expirar/morrer/bater_as_botas/falecer/comer_capim_pela_raiz/perecer
falar	tratar
comprar	comprar/receber/obter/incorrer
acontecer	virar/mudar/tornar
levantar	ficar_de_pé/levantar/erguer
verificar	checar/conferir
recuperar	encontrar/achar/reganhar
achar	achar/determinar
ler	proclamar
acatar	esposar/adotar/adoptar
corresponder	compatibilizar/harmonizar/concordar
antecipar	aguardar/esperar
compreender	visualizar/figurar/afigurar/envisionar/ver
cair	precipitar/cair
cobrir	tratar/cobrir
descobrir	achar/determinar
assistir	servir
perceber	visualizar/figurar/afigurar/envisionar/ver
melhorar	melhorar
requerer	requerer/solicitar
quebrar	arruinar/destruir/desistir/abandonar/largar_mão/separar/dividir/desmoronar
destruir	arruinar/destruir
correr	correr
bater	acertar/bater/golpear
comparar	comparar
espalhar	espalhar/circular
combinar	compatibilizar/harmonizar/concordar
caminhar	deslocar/mover
requisitar	requerer/solicitar
difundir	espalhar/circular
aperfeiçoar	melhorar
perguntar	questionar/perguntar
andar	deslocar/mover
confundir	disconcertar/confundir
cerrar	fechar
congelar	gelar/congelar
girar	rodar/revirar/revolver
forjar	trabalhar
reconquistar	encontrar/achar/reganhar
endereçar	tratar
atirar	tirotear/atirar
soltar	cair
indagar	questionar/perguntar
aparelhar	vestir/vestir-se/arrumar-se
suportar	sofrer
virar	virar/derrubar/rodar/revirar/revolver/virar/mudar/tornar
lidar	tratar
disseminar	espalhar/circular
disparar	tirotear/atirar
consentir	permitir/outorgar/dar/conceder
queimar	pegar_fogo/conflagrar/combustir/começar_a_queimar/acender
alastrar	espalhar/circular
tolerar	sofrer
treinar	exercitar/malhar
desenhar	delinear/traçar
conformar	esposar/adotar/adoptar
colar	aderir/colar
vestir	vestir/vestir-se/arrumar-se
afundar	abalroar/submergir/afundar
colidir	acertar/bater/golpear
auferir	conquistar/adquirir/fazer
segurar	capturar/apanhar
legar	transmitir/dar
comer	comer/comer
varrer	varrer
embalar	balançar/sacudir
balear	tirotear/atirar
ruir	desistir/abandonar/largar_mão
rolar	rodar/revirar/revolver
modelar	trabalhar
desabar	desistir/abandonar/largar_mão
naufragar	abalroar/submergir/afundar
largar	cair
exercitar	exercitar/malhar
moldar	trabalhar
desmoronar	desistir/abandonar/largar_mão
dançar	bailar/dançar
desperdiçar	gastar_desperdiçando/torrar
malhar	exercitar/malhar
agasalhar	vestir/vestir-se/arrumar-se
agarrar	capturar/apanhar
aguentar	sofrer
