ter	caber/conter/dispõe/apresenta
passar	transmitir/dar/deixar
fazer	performar/fazer/representar/atuar/passar/performar/estabelecer/produzir/criar/fazer
deixar	transmitir/dar/permitir/outorgar/dar/conceder/dar/legar/entregar/passar/deixar/partir/sair/ir/deixar
realizar	compreender/ver/visualizar/figurar/afigurar/envisionar/ver
promover	promover/lutar/agitar/fazer_campanha/advogar
nomear	cumprimentar/endereçar
obter	comprar/receber/obter/incorrer
iniciar	começar
votar	votar
criar	criar/fazer
partir	partir/sair/ir
apoiar	apoiar/endorsar/aprovar
dar	transmitir/dar/ajudar/servir/deixar
apresentar	informar/familiarizar/noticiar/notificar
formar	trabalhar
chegar	chegar
receber	receber/obter/incorrer
substituir	substituir/suplantar/sobrepor
aprovar	apoiar/endorsar/aprovar
publicar	escrever/compor
vir	chegar
considerar	julgar/considerar/pensar
manter	olhar/tomar_conta/guardar
atuar	performar/atuar/fingir/fazer/representar/atuar/passar/performar/fingir/fazer_se_de/agir_como/simular
falecer	morrer/falhar/acabar/morrer
levar	trazer/tirar/transportar/levar/levar/trazer/pegar/transmitir/trazer/carregar
derrotar	enganar
reunir	encontrar/ver
trabalhar	trabalhar/trabalhar/trabalhar/cultivar
ir	conduzir/andar/ir/andar/acompanhar/levar/levar_para_caminhar/passear/caminhar/andar/deslocar/mover/viajar
liderar	capitanear
representar	performar/fazer/representar/atuar/passar/performar
começar	começar
seguir	esposar/adotar/adoptar
encontrar	encontrar/reunir/encontrar/achar/reganhar/encontrar/ver
permitir	permitir/outorgar/dar/conceder
contar	declarar/afirmar/dizer
servir	servir/ajudar/servir
pedir	segurar/reservar/requerer/solicitar
dedicar	dar
chamar	cumprimentar/endereçar/organizar/chamar
garantir	afiançar
ver	encontrar/reunir/assistir/ver
aceitar	admitir/aceitar
anunciar	promover/lutar/agitar/fazer_campanha/advogar
dizer	declarar/afirmar/dizer
incluir	caber/conter
desenvolver	desenvolver/elaborar
atingir	comprar/acertar/bater/golpear
sair	partir/sair/ir
escrever	escrever/compor/escrever
divulgar	promover/lutar/agitar/fazer_campanha/advogar
tratar	conter/englobar/compreender/abarcar/circundar/tratar/tratar/falar/cobrir/endereçar/lidar/tratar
transformar	virar/virar/mudar/tornar
conhecer	conhecer
convidar	convidar
retirar	extrair/sacar/tirar
convocar	organizar/chamar
solicitar	requerer/solicitar
parecer	atuar/fingir/fingir/fazer_se_de/agir_como/simular
surgir	desenvolver
vencer	enganar
negar	abnegar/recusar/abster
recusar	desprezar/recusar/rejeitar
viajar	deslocar/mover
entregar	transmitir/dar/deixar
assegurar	afiançar
utilizar	usar/utilizar/empregar
mudar	trocar/mudar/substituir/converter/mudar/trocar
reduzir	reduzir/diminuir
ampliar	estender/expandir/aumentar
ganhar	lucrar/conquistar/adquirir/fazer
preparar	preparar/fazer/acender/preparar_se/preparar-se/treinar/construir/desenvolver/melhorar
romper	separar/dividir/desmoronar
construir	criar/fazer
gerar	estabelecer/produzir
rejeitar	desprezar/recusar/rejeitar
comprometer	dar
denominar	cumprimentar/endereçar
estender	estender/expandir/aumentar
citar	mencionar/citar
transmitir	espalhar/circular
fechar	fechar
conter	caber/conter
admitir	permitir/admitir/admitir/aceitar
aderir	aderir/colar
produzir	criar/fazer
adquirir	comprar/receber/obter/incorrer
usar	usar/utilizar/empregar
aplicar	usar/utilizar/empregar
funcionar	operar/funcionar
entender	compreender/ver/visualizar/figurar/afigurar/envisionar/ver
concordar	compatibilizar/harmonizar/concordar
saber	conhecer/saber/entender
trazer	trazer/tirar/transportar/levar/estabelecer/produzir/levar/trazer/pegar/transmitir/trazer
significar	significar/querer_dizer
ajudar	servir
concentrar	fascinar/interessar
sentar	assentar/assentar-se/sentar-se/sentar/sentar-se/pôr/sentar/posar
vender	vender
morrer	morrer/falhar/acabar/morrer/expirar/morrer/bater_as_botas/falecer/comer_capim_pela_raiz/perecer
praticar	usar/utilizar/empregar
falar	conter/englobar/compreender/abarcar/circundar/tratar/declarar/afirmar/dizer
superar	enganar
introduzir	informar/familiarizar/noticiar/notificar
executar	justiçar/executar
comprar	comprar/receber/obter/incorrer
acontecer	virar/virar/mudar/tornar
redigir	escrever
levantar	ficar_de_pé/levantar/erguer
avaliar	avaliar/estimar
verificar	controlar/conferir/averiguar/assegurar/checar/verificar/controlar/conferir/averiguar/assegurar/checar/verificar/checar/conferir
conferir	controlar/conferir/averiguar/assegurar/checar/verificar
agir	atuar/fingir/fingir/fazer_se_de/agir_como/simular
reformar	reformar
forçar	empurrar
recuperar	encontrar/achar/reganhar/recuperar
achar	observar/detectar/achar/descobrir/achar/determinar/descobrir
cobrar	cobrar
atrair	retrair
ler	ler/dizer/proclamar
diminuir	reduzir/diminuir
acatar	esposar/adotar/adoptar
corresponder	compatibilizar/harmonizar/concordar/combinar
antecipar	aguardar/esperar
compreender	caber/conter/compreender/ver/visualizar/figurar/afigurar/envisionar/ver
preservar	conservar
alertar	admoestar/prevenir/advertir/avisar/desaconselhar
cair	precipitar/cair
somar	somar/adicionar
cobrir	conter/englobar/compreender/abarcar/circundar/tratar/enfronhar/encapar/cobrir
ultrapassar	enganar
reservar	pedir
traduzir	traduzir
descobrir	observar/detectar/achar/descobrir/achar/determinar/descobrir
advertir	admoestar/prevenir/advertir/avisar/desaconselhar
converter	converter
assistir	servir
pesar	pesar/pesar/tomar_o_peso
perceber	compreender/ver/visualizar/figurar/afigurar/envisionar/ver
melhorar	melhorar/recuperar
requerer	requerer/solicitar
quebrar	colapsar/arruinar/destruir/desistir/abandonar/largar_mão/separar/dividir/desmoronar
conservar	conservar
destruir	arruinar/destruir
tirar	forçar/sacar/tirar/puxar/extrair/sacar/tirar/puxar/levar/trazer/pegar/transmitir/trazer
consagrar	dar
vedar	chancelar/selar/lacrar
correr	correr
bater	acertar/bater/golpear/bater/enganar
endossar	apoiar/endorsar/aprovar
comparar	comparar
espalhar	espalhar/circular
recuar	decorrer
compensar	equilibrar-se/balancear/equilibrar
centrar	fascinar/interessar
deliberar	julgar/considerar/pensar
estimar	avaliar/estimar
combinar	compatibilizar/harmonizar/concordar/combinar
herdar	herdar
esvaziar	remover
caminhar	acompanhar/levar/levar_para_caminhar/passear/caminhar/andar/deslocar/mover
transportar	levar/trazer/pegar/transmitir/trazer/carregar
requisitar	requerer/solicitar
experimentar	tentar/provar/experimentar
avisar	admoestar/prevenir/advertir/avisar/desaconselhar
difundir	espalhar/circular
aperfeiçoar	melhorar
selar	chancelar/selar/lacrar
equilibrar	equilibrar-se/balancear/equilibrar
declinar	desprezar/recusar/rejeitar
modernizar	construir/desenvolver/melhorar
perguntar	questionar/perguntar/perguntar
andar	acompanhar/levar/levar_para_caminhar/passear/caminhar/andar/deslocar/mover
confundir	disconcertar/confundir
medir	avaliar/estimar
instruir	preparar/preparar_se/preparar-se/treinar/construir/desenvolver/melhorar
cerrar	fechar
guardar	olhar/tomar_conta/guardar
reter	olhar/tomar_conta/guardar
congelar	gelar/congelar
agradar	satisfazer
jogar	divertir_se/recrear/divertir/apostar/disputar/jogar
trair	vender
respaldar	apoiar/endorsar/aprovar
girar	rodar/revirar/revolver
forjar	trabalhar
satisfazer	satisfazer
resgatar	extrair/sacar/tirar
reconquistar	encontrar/achar/reganhar
endereçar	conter/englobar/compreender/abarcar/circundar/tratar
tocar	tocar/repetir/executar/tocar
atirar	tirotear/atirar
expirar	morrer/falhar/acabar/morrer
soltar	afundar/cair
indagar	questionar/perguntar/perguntar
carregar	carregar/carregar
capturar	guardar
aparelhar	vestir/vestir-se/arrumar-se
suportar	sofrer
virar	virar/girar/virar/derrubar/rodar/revirar/revolver/virar/mudar/tornar
lidar	conter/englobar/compreender/abarcar/circundar/tratar
disseminar	espalhar/circular
perturbar	enervar-se/irritar-se
errar	passear/errar/vagar
disparar	tirotear/atirar
consentir	permitir/outorgar/dar/conceder
