nacional	domesticado/doméstica/domesticada
são	bom/bem/racional/saudável/em_forma
novo	moderno/contemporâneo/recente/fresco/atual/actual/corrente
primeiro	primário/original/precoce/temporão/cedo
outro	separado
social	gregário/social/amistoso/amigo/amigável/amistoso/amigo/amigável
público	explícito/aberto
liberal	esquerdista/liberal
próprio	certo/correto/justo/apropriado
plano	imutável/liso/macio
privado	pessoal
santa	sagrado
geral	detalhado/exaustivo/extenso/abrangente/amplo/comum
estrangeiro	internacional
industrial	progressivo
bem	saudável/em_forma
importante	precioso/valioso/significativo/importante/significante/significativo/essencial/essencial/decisivo/crítico
direto	honesto/sincero/honesta/sincera
branco	claro
alto	alto/ruidoso/barulhento/grande
grosso	gordo/vivido/experimentado/experiente
alegre	contente/animado/animador
antigo	passado
santo	sagrado
belo	atraente
interno	central
bom	respeitável/moral/saudável/em_forma/favorável
necessário	essencial
forte	duro/resistente/grosso/poderoso
amplo	espesso/grosso/geral/detalhado/exaustivo/extenso/abrangente/amplo/totalizado/completo/integral
permanente	estável
ordinário	genérico/habitual/geral/ordinário/costumeiro/usual/comum/comum/comum
efetivo	útil/poderoso/potente/eficiente
atual	novo/moderno/contemporâneo
socialista	esquerdista
corrente	novo/moderno/contemporâneo
possível	realístico/prático
primário	original/primeiro/essencial
conjunto	integrado/comum
coletivo	conjunto/solidário
conservador	ortodoxo
livre	independente
existente	realístico/genuíno/legítimo/autêntico/concreto
intenso	profundo/entranhado
amigo	cálido/social
produtor	próspero/bem_sucedido/bem-sucedido
obrigatório	necessário/essencial
ativo	vívido
jovem	júnior/novo
produtivo	próspero/bem_sucedido/bem-sucedido
crítico	essencial/decisivo/crítico
válido	razoável
comum	conjunto/solidário/normal/costumeiro/comum/rotineiro/ordinário/genérico/habitual/geral/ordinário/costumeiro/usual/comum/genérico/habitual/geral/ordinário/costumeiro/usual/comum/comum/comum
extraordinário	superior/impressionante
capaz	satisfatório/competente/habilitado/apropriado
certo	verdadeiro/conveniente/adequado/próprio/previsível/que_se_pode_prever/precisa/preciso/bem_acabado/perfeito/aprimorado/preciso/exacto/justo/exato/acurado/preciso/exacto/justo/exato/acurado
independente	separado/livre
bastante	rica/rico
definitivo	explícito/inconfundível
religioso	sagrado/devoto/religioso
velho	sênior/passado/maturo/maduro/vivido/experimentado/experiente
claro	cândido/alvo/branco
violento	malvado
significativo	significativo/importante/significante/significativo
alvo	claro
específico	precisa/preciso/bem_acabado
leal	leal/fiel
regular	sistemático/sistémico
indispensável	necessário/essencial
normal	padrão/genérico/habitual/geral/ordinário/costumeiro/usual/comum/comum
verdadeiro	honesto/sincero/honesta/sincera/genuíno/legítimo/autêntico/certo/correto/justo
físico	concreto
baixo	deprimido
constante	estável
seguro	previsível/que_se_pode_prever
ilegal	ilegal
individual	separado
doce	doce
moderno	novo/atual/actual/corrente
profundo	intenso/intensivo
integral	detalhado/exaustivo/extenso/abrangente/amplo/totalizado/completo/integral/integral/inteiro
justo	verdadeiro/conveniente/adequado/próprio/precisa/preciso/bem_acabado/imparcial/moral/inocente/honesto/sincero/honesta/sincera/preciso/certo/exato/correcto/certo/correto/justo/preciso/exacto/justo/exato/acurado
moral	honroso/honrado
duro	cabeçudo/vivido/experimentado/experiente/árduo/intrincado/difícil
diferente	vário/que_oferece_várias_aspectos/diferente/desigual
cândido	claro
completo	detalhado/exaustivo/extenso/abrangente/amplo/integral/inteiro
original	primário/original/primeiro
energético	dinâmico/vívido/ativo
simples	simples/fácil
rápido	abrupto/súbito/repentina/repentino
complexo	árduo/intrincado/difícil
essencial	primário/necessário/essencial/necessário/essencial/necessário/essencial/essencial
formal	formal/corriqueiro/convencional
mau	errado/que_não_tem_razão/incorrecto/ofensivo
voluntário	consciente
concreto	existente/prático
progressivo	industrial/de_frente/na_frente/fronteiro/dianteiro
positivo	optimista/otimista/construtivo
alta	ruidoso/barulhento
padrão	normal
preciso	precisa/preciso/bem_acabado/precisa/preciso/bem_acabado/perfeito/aprimorado/preciso/certo/exato/correcto/preciso/certo/exato/correcto/inconfundível/certo/correto/justo/preciso/exacto/justo/exato/acurado/preciso/exacto/justo/exato/acurado
poderoso	potente/eficiente/eficaz/efetivo
largo	espesso/grosso/detalhado/exaustivo/extenso/abrangente/amplo
autêntico	verdadeiro/existente/honesto/sincero/honesta/sincera
vago	dúbio/ambíguo
adequado	satisfatório/certo/correto/justo/apropriado/apropriado
inferior	deprimido
paralelo	comparável
prudente	sábio/responsável/cauto/cauteloso/prudente/atento/cautelosa/cuidadosa/prudente/atento/cautelosa/cuidadosa/prudente/atento
doente	doente/enfermo
boa	moral
igual	comparável
sistemático	regular
pacífico	quieto/calmo
considerável	grande
evidente	explícito/aberto
estreito	estreita/estreito/limitado/estreito
recente	novo
gradual	lento/devagar
rico	privilegiado/abastado/copioso/abundante/basto/farto/bastante/lauto
solidário	integrado/comum
criador	original
contemporâneo	novo/atual/actual/corrente
esquerdista	liberal/socialista
agressivo	de_ataque/ofensivo/malvado/peremptório/assertivo/agressivo/agressivo
abaixo	deprimido
precário	temporário
desfavorável	malvado/crítico
prático	realístico/concreto
legítimo	válido/verdadeiro/existente/legal/honesto/sincero/honesta/sincera
ofensivo	arisco/desagradável/malvado/agressivo
eficiente	útil/poderoso/potente/eficiente/eficiente/eficaz/efetivo/eficiente/eficaz/efetivo/competente/habilitado
simpático	boa!
amoroso	apaixonado/passional
inevitável	previsível/que_se_pode_prever
organizado	sistemático/sistémico/exigente/detalhista/limpo
inteiro	totalizado/completo/integral
estável	imutável/permanente/duradouro/constante
extenso	geral/totalizado/completo/integral
leigo	sofisticado
informal	informal
lento	gradual
eficaz	útil/poderoso/potente/eficiente/eficiente/eficaz/efetivo
sensível	consciente
idêntico	comparável
valente	arrojado/audacioso/destemido/bravo/corajoso/audaz
nobre	moral/honroso/honrado
automático	mecânico
prejudicial	tóxico/doloroso/árduo/dolorido/doído/extenuante/nocivo/tóxico
competente	habilidoso/talentoso/qualificado/eficiente/capaz
racional	razoável/lógico
perigoso	vulnerável
explícito	público/explícito/aberto/explícito/definitivo
melhor	superior
enérgico	dinâmico/vívido/ativo
útil	prestativo/serviçal/prestável/amistoso/amigo/amigável/eficiente/eficaz/efetivo/compatível
lucrativo	útil
unido	conjunto/solidário/integrado
sólido	duro/dura
ortodoxo	conservador
cedo	primeiro
tenso	apertado/desassossegado
distante	longe/longínquo/distante
típico	caraterístico/característico
crucial	essencial/decisivo/crítico
rica	privilegiado/abastado/copioso/abundante/basto/farto/bastante/lauto
moderado	suave/suave
inviável	impossível
conveniente	certo/correto/justo/apropriado/acessível
intensivo	profundo/entranhado
aberto	público/aberto/explícito
consciente	voluntário/acordado/desperto
frio	frio/frígido/frio/fresco/frio/frio
estranho	feia/feio
integrado	conjunto/solidário
imprescindível	necessário/essencial/necessário/essencial
gentil	agradável/simpático/amável
bonito	atraente
artificial	lógico
abrangente	geral/totalizado/completo/integral
caro	precioso/valioso
coerente	racional/lógico
patriótico	leal/fiel
inútil	inútil/vão/impróprio/inapto
escasso	deficiente/insuficiente/minimum/mínimo
satisfatório	capaz/adequado/aceitável
sagrado	sagrado
razoável	válido/racional/lógico
ferido	quebrado/partido
separado	outro/independente
injusto	errado/que_não_tem_razão/incorrecto/parcial
ambíguo	dúbio/ambíguo
surpreendente	inesperado/imprevisto
exato	precisa/preciso/bem_acabado/precisa/preciso/bem_acabado/perfeito/aprimorado/preciso/certo/exato/correcto/certo/correto/justo/preciso/exacto/justo/exato/acurado
duradouro	estável
digno	precioso/valioso/moral/honroso/honrado/elegante/esbelto/garboso/airoso/gracioso
cauteloso	cautelosa/cuidadosa/prudente/atento
imparcial	imparcial
feliz	feliz/grato/contente/alegre/contente/contente/animado/animador/contente/animado/animador
inesperado	surpreendente
fino	estreita/estreito/liso/macio/magro/esbelto
atento	cauto/cauteloso/prudente/atento/cautelosa/cuidadosa/prudente/atento
lógico	razoável/racional/racional/lógico
genérico	comum
vantajoso	optimista/otimista/construtivo
nocivo	tóxico/tóxico/doloroso/árduo/dolorido/doído/extenuante/nocivo/tóxico
animador	feliz/grato/contente/alegre/feliz/contente
vazio	vazio
sagrada	sagrado
honesto	verdadeiro/justo/correto/honroso/honrado/genuíno/legítimo/autêntico
desempregado	desempregado
paciente	tolerante
delicado	débil/débil
estreita	limitado/estreito
dividido	separado
correto	verdadeiro/conveniente/adequado/próprio/honesto/sincero/honesta/sincera/preciso/exacto/justo/exato/acurado
alerta	vívido/acordado/desperto
acessível	conveniente
vulnerável	inseguro/perigoso
perfeito	preciso/certo/exato/correcto
consistente	racional/lógico
ilegítimo	ilegal
heterogêneo	vário/que_oferece_várias_aspectos
cooperativo	prestativo/serviçal/prestável
secular	sofisticado
indefinido	dúbio/ambíguo
empreendedor	ambicioso
ciente	consciente/acordado/desperto
aceitável	satisfatório
usual	comum
informado	consciente/acordado/desperto
conclusivo	decisivo
óbvio	explícito/aberto
preparado	pronto/preparado/prestes/disposto
limpo	organizado/limpo/exigente/detalhista/limpo
interessante	excitante/emocionante
sincero	verdadeiro/justo/correto/honroso/honrado/genuíno/legítimo/autêntico
eqüitativo	moral/inocente
privilegiado	rica/rico
inteligente	esperto
formoso	atraente
emocional	cálido/apaixonado/passional/emocionante/comovente
análogo	comparável
vão	inútil/vão/impróprio/inapto
sintético	lógico
precioso	caro
composto	intrincado/complexo
celeste	sagrado
amistoso	cálido/social
abundante	rica/rico
saudável	bom/bem/bom/bem/saudável/em_forma
satisfeito	contente
gordo	espesso/grosso
vertical	íngrime/íngreme
valioso	caro
analítico	lógico
tóxico	tóxico/nocivo/tóxico
experiente	duro/resistente/grosso/habilidoso/talentoso
dúbio	dúbio/ambíguo
característico	típico
suscetível	vulnerável
sadio	racional
ruim	errado/que_não_tem_razão/incorrecto/ofensivo
rotineiro	genérico/habitual/geral/ordinário/costumeiro/usual/comum/comum
lícito	justo/correto/legal
instável	temporário
homogêneo	uniforme/invariável
farto	rica/rico
feio	desajeitado/esquisito/estranho
exaustivo	geral/totalizado/completo/integral
criativo	original
caloroso	forgoso/quente
impressionante	emocionante/comovente
impraticável	impossível
honroso	nobre/moral/honesto/sincero/honesta/sincera
entusiástico	apaixonado/passional
elegível	qualificado
audacioso	valente/bravo/afoito/corajoso/arrojado/brava/valoroso
afirmativo	favorável
triste	triste/destestável
sofisticado	elegante/esbelto/garboso/airoso/gracioso
ruidoso	estrepitante/berrante/alto/alta
limitado	estreita/estreito
inócuo	seguro
harmonioso	compatível
corajoso	valente/bravo/afoito/corajoso/arrojado/brava/valoroso/arrojado/audacioso/destemido/bravo/corajoso/audaz
comparável	paralelo/paralela
tenaz	consciente
passional	quente/esquentado/entusiástico/entusiasta
habitual	comum
grato	contente/animado/animador
fértil	potente
entusiasta	apaixonado/passional
aventureiro	valente/bravo/afoito/corajoso/arrojado/brava/valoroso/arrojado/audacioso/destemido/bravo/corajoso/audaz
atraente	belo/lindo/bonito/formoso
tolerante	paciente
sênior	velho
suave	silencioso/quieto
silencioso	suave
detalhado	geral/totalizado/completo/integral
desumano	doloroso/árduo/dolorido/doído/extenuante
utópico	perfeito/aprimorado
rápida	abrupto/súbito/repentina/repentino
resistente	vivido/experimentado/experiente
quente	caloroso/apaixonado/passional
insuperável	impossível
fechado	fechado
elegante	sofisticado
covarde	receoso
amigável	cálido/social/pacífico/amistoso/amigo/amigável
precoce	primeiro
perceptível	visível
maduro	velho
inseguro	vulnerável/vulnerável/inseguro/perigoso
insalubre	doente/enfermo
imprevisto	surpreendente
impreciso	geral/dúbio/ambíguo
imortal	infinito
calmo	pacífico
bravo	valente/bravo/afoito/corajoso/arrojado/brava/valoroso/arrojado/audacioso/destemido/bravo/corajoso/audaz
angular	quadrado
temporão	primeiro
proveitoso	útil
inquieto	tenso/excitada/entusiasmado/excitado
fecundo	potente
erudito	profundo/entranhado/intelectual
equitativo	imparcial
basto	rica/rico
talentoso	vivido/experimentado/experiente/competente/habilitado
sã	racional
precisa	preciso/certo/exato/correcto/inconfundível/preciso/exacto/justo/exato/acurado
perdido	perdido/perdido
mimoso	exigente/detalhista/elegante/esbelto/garboso/airoso/gracioso
irreal	artificial
