carvalho	carvalho-vermelho/carvalho
café	café
papel	lauda/escudeiro/página
água	água_com_gelo/gelo/sudorese/transpiração/perspiração/suor/lágrima
ferro	aço/aço
ar	vento
algodão	algodão
madeira	madeira/viga/trave
celulose	papel/papel/fibra/fibras/thread/fibra/fibras/thread
cimento	formigão/betão/concreto/formigão/betão/concreto
cacau	chocolate
areia	formigão/betão/concreto/praia
vapor	nuvem
farinha	massa_de_pão/pasta/massa/pão
maconha	cabo/corda/toa/lona
juta	cabo/corda/toa
banha	sus/suíno/porco
osso	corno/chifre
carbono	carvão_mineral/carvão/hulha
nitrogênio	ar
soro	sangue/sangue
oxigênio	água/ar
argila	cerâmica/olaria/tijolo
silício	areia/argila/greda
hidrogênio	água
gelo	glaciares/glaciar/glaciares/geleira
chá	chá
silicone	areia/argila/greda
proteínas	leite/leite/ovo/ovo/vianda/carne/vianda/carne
proteína	leite/ovo/vianda/carne
pigmentos	pigmento/pintura/cor/tinta
cafeína	chá/café
