Arundo	cana-do-reino
Acoraceae	Açoro
cavalo	potro
Crotalus	cascavel-chifruda/Crotalus_atrox
República_da	macedônico
Larídeos	Larus
Phyllostachys	Bambu-preto/Bambu_preto
Bathyergidae	Bathyergus
nebulosa	estrela
Argentina	argentino
Chelicerata	Merostomata
Ariidae	Arius
Serranidae	Morone/Mycteroperca/Serranus/Epinephelus
Panamá	panamenho
Lancastre	Henrique_IV_de_Inglaterra/Henrique_iv_de_inglaterra/Henrique_vi_de_inglaterra/Henrique_VI_de_Inglaterra/Henrique_V_de_Inglaterra/Henrique_v_de_inglaterra
fagáceas	Nothofagus/Chrysolepis/Lithocarpus/Castanopsis/faia/Faia/Quercus/Carvalho
Spondias	cajá/Serigüela/seriguela
construtivismo	construtivista
Branta	ganso-do-canadá
moiras	Láquesis/Cloto/Átropos/Atropos
Ulmaceae	Ulmeiro/Celtis/Trema
Luscinia	rouxinol
Muridae	Nesokia/Apodemus
Nauru	nauruense/nauruano
Comunhão_anglicana	anglicano
Paquistao	paquistanês
siri	siri-azul/Siri_azul
Equus	mulo/cavalos/Zebra/jegue/mula/babucha/jumento/jerico/burro/mu/equídeos/égua/cavalo_de_pau/Bardoto/zebra/pantufo/asno/cavalo/bardoto
Fumariaceae	Adlumia/Dicentra/Fumaria
Dimocarpus	Longan
família	pai/parente/Arenavirus/Rhabdovírus/tribo/Flavivírus/Bunyaviridae/Flaviviridae/Rhabdovirus/Arenavírus/gênero/Gênero/género/progenitor/genitor/mãe/irmã/irmão/filho/menino/criança/filha
Falco	Falcão_americano/Falcão-americano/tarrafa/falcão_peregrino/falcão/peneireiro-vulgar/gerifalte/falcão_gerifalte
Drósera	drósera
Escorpião	Antares
Países_Baixos	Holandês/holandês/neerlandês
primatas	primata/Lemuroidea
Auriga	Epsilon_Aurigae
Estados_Unidos_da_América	poder_legislativo_dos_Estados_Unidos/estado-unidense/norte-americano
Xanthosoma	Xanthosoma_sagittifolium
Pulmonata	Helicidae/Physidae
UE	Espanha/Luxemburgo/Grão-Ducado_do_Luxemburgo/Finlândia/República_da_Finlândia/República_Francesa/França/Reino_Unido_da_Grã-Bretanha_e_Irlanda_do_Norte/Reino_Unido/Grã-Bretanha/Reino-Unido/Holando/Países_baixos/Países_Baixos/PaísesBaixos/Holanda/Reino_dos_Países_Baixos/Neerlândia/Irlanda/Áustria/Austria/Suécia/Suecia/Itália/Italia/República_Italiana/Grécia/Listas_de_Portugal/Portugal/Alemanha/República_Federal_da_Alemanha/Reino_da_Dinamarca/Dinamarca/Bélgica/Poetas_da_Bélgica/Belgica
Platalea	colhereiro-comum
Cacatua	cacatua/catatua
Accipiter	Falcão-do-tanoeiro/açor
Andorinhão	gaivão/Collocalia/Apus
égua	potro
Dasyuridae	Dasyurus/Phascogale/Thylacinus/Sarcophilus
Paracheirodon	Tetra-cardeal/Tetra_cardeal/Tetra_Cardeal
familia	parente
os_fiés_que_não_fazem_parte_do_clero	laico/leigo
Argelia	argelino
Eryngium	cardo-corredor
Lagomorfos	Leporidae
Constelação_de_Canis_Major	Sirius/Sírio
Pardal	pardal
Eriocaulaceae	Eriocaulon
Pereskia	Ora_pro_nobis/Ora-pro-nobis
Tyto	coruja-das-torres
Anseriformes	Anatidae/Anhimidae
Jamaica	jamaicano
Cervus	uapiti/veado/cervo/veados
Brugmansia	Brugmansia_suaveolens
Amaryllidaceae	Bomarea/Haemanthus/amarílis
Turquia	turco
Chamaemelum	camomila/camomila-romana/Chamaemelum_nobile/Camomila-romana
Muscidae	Musca
Felis	Gato-de-pallas/gato-maracajá/jaguatirica/suçuarana/serval/gato-mourisco/leopardo_asiático/gato-leopardo/puma/leão-da-montanha/ocelote/gato-do-mato/leão-baio/jaguarundi/pantera/Gato_de_Pallas/Gato-de-Pallas/onça-parda/gato-bravo/gato_doméstico
Aspalathus	rooibos/Rooibos
Constelação_de_Leo	Regulus
Escandinávia	Escandinavo/Bairros_da_Noruega/Noruega/Reino_da_Noruega/Suécia/Suecia/Reino_da_Dinamarca/Dinamarca
caminhos-de-ferro	locomotivas/locomotiva/máquina/vagão/automotora/automóvel/comboio/carro/trem/vagões
Rhamnales	Vitaceae/Rhamnaceae
Piperaceae	Piper
proletariado	operário/trabalhador/proletário/colarinho_azul
Ctenophora	Nuda/Tentaculata
brancos	caucasiano/caucasiana/branco
Tailândia	tailandês
Caesalpinioideae	Cassia/Brachystegia/Haematoxylum/Gymnocladus/Gleditsia/Ceratonia/Caesalpinia/Flamboyant/Bauhinia/Cercidium
Ocimum	basílico/alfavaca
Agavaceae	Cordyline/Polianthes/agave/piteira/pita/Nolina
Gaylussacia	mirtilo
classe_média	burguês/burguesa
Cosa_Nostra	mafioso
Ciconiiformes	Phoenicopteridae/Ardeidae/Threskiornithidae
Piper	Piper_betle/pimenta-do-reino/Pimenta_preta/Pimenta-preta/pimenta-longa
Pleurotus	shimeji-preto/Shimeji_Preto/Shimeji_preto
Letonia	letão
Oleaceae	Olea/Phillyrea/Jasmim/Ligustrum/Syringa/Fraxinus/Chionanthus/Osmanthus
Albania	albanês/albanés/albanesa
Combretaceae	Conocarpus/Laguncularia
Brassicaceae	Rorippa_nasturtium-aquaticum/wasabi/Capsella/Sinapis/Cakile/Aethionema/Lunaria/Iberis/Raphanus/Lobularia/Alyssum/Cheiranthus/Matthiola/Crambe/Descurainia/Arabis/Camelina/Stephanomeria/Erysimum/Cardamine/Thysanocarpus/Barbarea/Rorippa/Isatis/Lepidium/Thlaspi/Biscutella/mastruço/Malcolmia/Cochlearia/Stanleya/Lesquerella/Arabidopsis/Brassica/Diplotaxis/Subularia/Dentaria
polícia	agente/policial/guarda
trimúrti	Brama/Shiva/Vixnu
nação	cidadão/província/estado/plebeu
Rosales	Hydrangeaceae/Connaraceae/Platanaceae/Grossulariaceae/Crassulaceae/Cunoniaceae/Rosaceae/Saxifragaceae/Cephalotaceae/Fabaceae
Leão	Regulus
Laus	laosiano
Lagerstroemia	Resedá-gigante/Resedá_Gigante/Resedá_gigante
Grão-Ducado_do_Luxemburgo	luxemburguês
compromisso	acompanhante/ficante
Vitaceae	Parthenocissus/Vitis
Lobularia	alisso
Nogueira_comum	nogueira/nogueira-comum
Islândia	islandês
Crassulaceae	Aeonium/Crassula
Elasmobranchii	Hexanchidae/Lamnidae/Rajiformes/Triakidae/Carcharhinidae/Squatinidae/Orectolobidae/Rhincodontidae/Scyliorhinidae/Squalidae
Strelitzia	Strelitzia_reginae
Bucerotiformes	calau
vaga_lume	pirilampo/vaga-lume
Toupeira	topeira/toupeira/Uropsilus
Equidae	égua/Hyracotherium/Equus/equídeo/equino/ungulados
Drosera	drósera
Chinchillidae	Abrocoma/Lagostomus/Lagidium
Coraciidae	Coracias
Boötes	Arcturus
palmeira	Acrocomia/Ceroxylon/Attalea/Metroxylon/palma/Arenga/Rhapis/Corypha/Caryota/Livistona/Borassus/Thrinax/Palha_da_costa/fênix/Serenoa_repens/Sabal/Roystonea/Copernicia/fénix/Palha-da-costa
pessoas	alma/indivíduo/ser_humano/alguém/pessoa
Hominidae	Ouranopithecus/hominídeo/Australopithecus
joaninha	coccinela
Cestoda	Helmintologia/verme
PaísesBaixos	Holandês/holandês/neerlandês
Laurus	loureiro/louro
Verbenaceae	Aegiceras/Avicennia
Abetarda	abetarda
Senegal	senegalês
Portulacaceae	Calandrinia/Claytonia/Lewisia/Talinum/Montia
Nápoles	napolitano/napolitana
Eslováquia	eslovaco
Alectoris	Perdiz-grega
máfia	mafioso
Buteo	milhafre/águia_de_asa_redonda
público	aluno/auditor/ouvinte
Nogueira-comum	nogueira/nogueira-comum
Platanaceae	plátano
Pérsia	Persa/iraniano
Morangueiro	morango_silvestre/Fragaria_chiloensis/morangueiro/Morango/morango
Campephilus	Pica-pau-bico-de-marfim
Pariato	par/Lady
Juglandales	Juglandaceae
Glycirrhiza	Alcaçuz
Cyperus	Cyperus_esculentus/Galangal/galanga/Cyperus_papyrus/Cyperus_rotundus
