ano	decênio/década
dia	semana
segundo	minuto
governo	navegação
tempo	ano
parte	flora/planta/vegetal/todo/unidade/lâmina
empresa	mercado
pessoa	alma/indivíduo/alguém
mês	ano
ponto	espaço/infinito
jogo	turno/rodada
processo	julgamento
semana	mês
lugar	espaço/infinito
fim	vida
hora	dia/ano
câmara	prédio/edifício/casa/lar/aposento/moradia/habitação/residência/morada/domicílio
noite	noitada/tarde/dia
condição	acordo/pacto
lei	teoria/jurisprudência
tarde	dia
espaço	pauta
maioria	maturidade
água	superfície
título	desenho/figura/ilustração
plano	película/filme/cinema/produção
centro	frança
centro	urbe/município/metrópole/cidade
organização	governo/regime
fundo	caverna/furna/gruta
televisão	tevê
morte	vida
termo	proposição/acordo/pacto
período	era/ano/histórico/história/vida
fase	ciclo
base	pilar/coluna/caixa/lâmpada/vasilhame/vasilha/vaso/edifício/tecido/estrutura/explanação/explicação
mão	braço/homem
linha	estrofe/missiva/carta
banco	bote
princípio	ética
qualidade	natureza
central	telefonia
movimento	xadrez/sonata
face	pescoço/cabeça/homem
administração	governo/regime
possibilidade	teoria
metro	decâmetro
época	período/histórico/história/vida
campo	estádio
texto	canção/cantiga/publicação/edição
objectivo	programa
venda	marketing
produto	shopping
século	milénio/milênio
século	milénio/milênio
entrada	críquete/muro/parede/muralha
negócio	mercado
minuto	hora/grau
andar	prédio/edifício
risco	pêlo/cabelo
função	programa
acesso	muro/parede/muralha
conferência	aula/curso
terra	mundo
hipótese	teoria
manhã	jornada/dia
sala	enfermaria/hospital/mansão/solar/prédio/edifício/casa/lar/aposento/moradia/habitação/residência/morada/domicílio
responsabilidade	personalidade/caráter
porta	acesso/portão/pórtico/entrada/muro/parede/muralha/veículo/auto/viatura/automóvel/máquina/carro
corpo	alma/indivíduo/alguém/pessoa/homem/anatomia/cadáver
domingo	fim-de-semana/final_de_semana
carta	correspondência/comunicação/correio
abertura	olho/óculo
teatro	casa
luta	guerra
arte	publicação/edição
norte	américa
quarto	galão/prédio/edifício/casa/lar/aposento/moradia/habitação/residência/morada/domicílio
sábado	fim-de-semana/final_de_semana
pena	asa/ala/ave/pássaro
notícia	folha/jornal
intenção	programa
estação	ano
cabeça	animal/criatura/bicho/ser/besta/corpo/cadáver
hospital	enfermaria
arma	munição/armamento
década	século/centúria
jornada	dia
passagem	texto
conclusão	silogismo/discurso/conto/narração/história
passo	caminhada
artigo	shopping/documentação/documento
transporte	mercantilismo/comercialismo/comércio
ar	mundo/terra
idade	vida/histórico/história
índice	publicação/edição
combate	guerra
rio	brasil
pé	mesa/felino/tripé/assento/cadeira/homem/perna/cão/canídeo/calça/jarda/ovelha/carneiro/porco/sus/suíno/edifício/tecido/estrutura
margem	lauda/escudeiro/página
metade	basquete/basquetebol/jogo/turno/rodada/futebol
ponte	tronco_cerebral
rádio	antebraço
olho	rosto/cara/face
memória	computador/calculadora
palco	casa/teatro
queda	vida
língua	garganta/faringe/boca/bota/calçado/sapato
domínio	terra/nação/país
gabinete	casa/lar/aposento/moradia/habitação/residência/morada/domicílio
cena	ato
banda	vestuário/roupa/corpo/torso/tronco
bairro	cidade
comércio	mercado
destino	missiva/carta/sobrenatural/oculto/ocultismo
subida	elevação
classe	sociedade/colégio/departamento/escola
computador	plataforma
natureza	temperamento/personalidade/pessoa
habitação	casa/lar/aposento/moradia/residência/morada/domicílio
corrente	bicicleta/biciclo/roda
alvo	programa
praia	cabo-verde
praia	costa/margem/litoral/ribanceira/orla
tarefa	formação/educação/instrução/ensino/ensinamento
reserva	equipe/companhia/equipa/time
som	tevê/televisão/tv
cabo	flecha/caneca/chapéu-de-chuva/concha/regador/escova/pincel/sombrinha/faqueiro/brocha/guarda-chuva/frigideira/caçarola/panela/pasta/teca/carteira/maleta/raquete/ferramenta/bica/torneira/bagagem/mala/embrulho/ponteiro/gládio/espada/adaga/punhal
etapa	jornada/viagem
distribuição	marketing
distribuição	marketing
pintura	construção/edifício
estrela	mundo/cosmo/natureza/criação/universo
guarda	comitiva/séquito
representação	apresentação/interpretação
setor	sociedade/economia
carácter	ortografia
sul	américa
anúncio	marketing
porto	portugal
fim-de-semana	semana
pista	aeródromo/aeroporto
personalidade	alma/indivíduo/alguém/temperamento/pessoa
caixa	armário/secretária/mesa/escrivaninha/bufete/gaveteiro/cómoda
característica	natureza
cadeia	bicicleta/biciclo/roda/molécula
cimeira	monte/montanha
praça	cidade
grau	sextante
braço	poltrona/cadeirão/homem/corpo/cadáver
desenho	publicação/edição
interpretação	apresentação
vídeo	tevê/televisão/tv
pedra	joalharia/joalheria/jóia
golpe	batalha/pugna/peleja/combate/disputa/luta
batalha	guerra
madrugada	noite/noitada/tarde/jornada/dia
núcleo	átomo
incidente	episódio
balanço	conta/contabilidade/playground/parque
publicidade	marketing
telefone	telefonia
secção	unidade
solo	mundo/terra
promoção	marketing
suspensão	vagão/automotora/automóvel/comboio/carro/trem
frase	melodia/toada
parede	quarto/câmara/aposento/sala/saguão/salão/prédio/edifício
fundação	explanação/explicação
aula	curso
gesto	mímica
bar	botequim/taberna/pub/boteco/estaminé
superfície	litosfera
conteúdo	publicação/edição
componente	totalidade
trimestre	gestação/ano
atribuição	rendimento
cara	pescoço/cabeça/homem/peça/moeda/divisa/prata
canto	prédio/edifício
medicamento	tratamento
carne	alma/indivíduo/alguém/pessoa/homem/vacum/gado/bovinos/vaca
letra	canção/cantiga
letra	ortografia/canção/cantiga
céu	mundo/terra
infra-estrutura	sistema
capítulo	texto
orquestra	casa/teatro
rosto	animal/pescoço/cabeça/criatura/bicho/ser/besta/homem
faixa	vestuário/roupa
turno	jogo/rodada/dia
era	histórico/história
madeira	brasil
boca	rosto/cara/face
costa	elevação/margem/praia/litoral/ribanceira/orla
piso	salão/saguão/quarto/câmara/aposento/sala/prédio/edifício
amarelo	china
introdução	discurso/conto/narração/história
buraco	agulha
antena	radiorreceptor/receptor/transmissor
evento	episódio
meta	programa
costas	corpo/torso/tronco
chão	salão/saguão/quarto/câmara/aposento/sala/mundo/terra
turco	navio/embarcação/barco
cadeira	assento
raiz	dente
fruto	baga
seio	vertebrado/corpo/torso/tronco
semestre	ano
instrução	programa
instrução	programa
agressão	guerra
libra	zodíaco
libra	stone
janela	monitor
janela	prédio/edifício/monitor/veículo/auto/viatura/automóvel/máquina/carro/ônibus/machimbombo/autocarro
tomada	lâmpada
salto	bota/calçado/sapato
vão	superfície
biblioteca	casa/habitação/vivenda
pele	fruta
cavalo	égua
escritório	casa/habitação/vivenda
localização	espaço/infinito
suporte	pilar/coluna
perna	calça/corpo/cadáver
vidro	copo
laranja	laranjeira
gráfico	publicação/edição
beira	moçambique
vertente	colina/barranco/monte/morro/montanha/ladeira
cama	habitação/quarto/dormitório/câmara
nascimento	vida/reprodução
célula	criatura/organismo/ser
muro	quarto/câmara/aposento/sala/saguão/salão/prédio/edifício
editorial	folha/jornal
horizonte	perspectiva/perfil
acompanhamento	jantar/repasto/refeição
litro	decalitro
ave	pássaro
dedo	mão/pata/casco/vertebrado/pé
ponta	furador/caneta/agulha/alfinete/gládio/espada/cone/faca/lápis
cabelo	homem/mamífero
chave	arco
chave	arco
pop	polvo
flor	angiospérmicas
cruzamento	caminho/estrada/rodovia/via
mercadoria	shopping
propaganda	marketing
coro	canção/cantiga
atmosfera	mundo/terra
bocado	entrave/brida/porção
coluna	templo/folha/jornal
coluna	templo
nó	laço
oceano	superfície
salão	casa/lar/aposento/moradia/habitação/residência/morada/domicílio
lição	aula/curso/formação/educação/instrução/ensino/ensinamento
s	minuto
gene	cromossoma
formato	publicação/edição
capa	livro
meio-campo	gramado/campo
traço	rosto/cara/face
acréscimo	estatuto
inspiração	respiração
domingos	caribe
lar	lareira/chaminé
cérebro	cabeça/pescoço
quinta	granja/sítio/fazenda
vela	partida/ignição/veleiro
ala	avião/aeroplano/morcego/anjo/insecto/inseto/ave/pássaro
barra	barra_fixa/gol
pão	sanduíche
hierarquia	sistema/administração/organização
grelha	gelosia
teor	canção/cantiga
prato	jantar/repasto/refeição
leão	zodíaco
armamento	arma/munição
centímetro	decímetro
cozinha	casa/lar/aposento/moradia/habitação/residência/morada/domicílio
bolso	vestuário/roupa
sintoma	doença
curva	caminho/estrada/rodovia/via/gráfico
relevo	mundo/terra
raio	calibre/diâmetro
aplauso	ovação
ombro	corpo/torso/tronco
ombro	corpo/torso/tronco
escada	prédio/edifício
bala	pente/cartucho
cláusula	frase/sentença/oração/documentação/documento
palma	mão
meia-noite	noite/noitada/tarde
meia-noite	noite/noitada/tarde
m	decâmetro
milha	légua
natal	jan/janeiro/dez/dezembro
pressuposto	silogismo
coroa	peça/moeda/divisa/prata
nuvem	céu
assento	cadeira
dente	engrenagem/garfo/forcado/pente/serrote/serra
variedade	espécie
volante	veleiro/rebocador/navio/embarcação/barco
peito	seio/vertebrado/corpo/torso/tronco
lenda	desenho/figura/ilustração
porco	sus/suíno
pedaço	unidade
processador	computador/calculadora
órbita	caveira/crâneo/crânio
chapéu	fungo
banda_desenhada	folha/jornal
pilar	templo/muro/parede/muralha
joelho	calça/perna
mala	veículo/auto/viatura/automóvel/máquina/carro
balança	zodíaco
colheita	pecuária/cultivo/agricultura
visto	passaporte
arco	conduto/aqueduto/duto/canalização/ponte/arcada
arco	conduto/aqueduto/duto/canalização/muro/parede/muralha/ponte/arcada/círculo/barril
fruta	baga
fragmento	flora/planta/vegetal
nariz	rosto/cara/face
infraestrutura	sistema
asa	prédio/edifício/avião/aeroplano/morcego/anjo/insecto/inseto/ave/pássaro
nave	templo/igreja
nave	templo/igreja
telhado	prédio/edifício
pescoço	animal/criatura/bicho/ser/besta/corpo/cadáver
poço	túnel/mina
óculo	rosto/cara/face
periférico	computador/calculadora
meio-dia	dia
cereal	milho
traseira	ave/pássaro
oração	frase/sentença
febre	paludismo/malária
aquecimento	prédio/edifício
módulo	sistema/astronave/espaçonave
azulejo	mosaico
judiciário	governo/regime
quarenta	maturidade
integridade	personalidade/caráter
estuário	rio
l	decalitro
frontal	crânio
bilheteira	casa/teatro
expedição	mercantilismo/comercialismo/comércio
monitor	computador/calculadora/televisão/tevê
ingrediente	prato
muralha	quarto/câmara/aposento/sala/saguão/salão/prédio/edifício/fortaleza/fortificação
manga	vestuário/roupa
cela	mosteiro/monastério/convento
terapia	tratamento
remédio	tratamento
orelha	cabeça/pescoço
televisor	televisão/tevê
pavimento	salão/saguão/quarto/câmara/aposento/sala/prédio/edifício
touro	zodíaco
dispersão	extinção
barba	cabra/bode/cabrito/rosto/cara/face
alfândega	pé
encosta	elevação/colina/barranco/monte/morro/montanha/ladeira
melodia	estrofe/missiva/carta
parágrafo	texto
ilustração	publicação/edição
milímetro	centímetro
distribuidor	partida/ignição
pátio	jardim/prédio/edifício
parada	jornada/viagem
elevador	ascensor/prédio/edifício
gaveta	armário/secretária/mesa/escrivaninha/bufete/gaveteiro/cómoda
tubo	arma
portão	acesso/pórtico/porta/entrada/camião/caminhão/muro/parede/muralha/veículo/auto/viatura/automóvel/máquina/carro
paróquia	diocese
pico	gládio/espada/cone/faca/lápis
anel	penteado
preceito	ética
galinha	frango/galo
traseiro	fuselagem/vertebrado/ave/pássaro/navio/embarcação/barco/corpo/torso/tronco
punho	calça/manga/gládio/espada/adaga/punhal/braço
vegetal	erva/maconha/couve/repolho
