apertado	tenso
compassivo	clemente/amável/humanitário/humano/brando
passado	antigo/velho/extrovertido
unido	coletivo/colectivo/solidário
abundante	rico
utópico	aprimorado/perfeito
vário	heterogêneo/diferente
inapropriado	enfermo/doente/adoentado/doentio/insalubre
cauteloso	prudente/atento
consequente	racional/lógico
fecundo	potente/frutífero/proveitoso/fértil/produtor/produtivo
gradual	devagar/inclinado/lento
intrusivo	côncavo/oco
infernal	maléfico/mau/má/ruim/malvado
calculável	determinável
propício	rendoso/lucrativo/proveitoso/oportuno/cómodo/auspicioso/favorável/profícuo/vantajoso
penitente	envergonhado
maligno	prejudicial/nocivo/daninho/danoso
normal	ordinário/costumeiro/genérico/comum/geral/usual/habitual/são/sadio/padrão
obediente	dócil/manipulável/complacente/submisso/tratável/bom/boa
crucial	essencial/decisivo/crítico
potente	fecundo/fértil/efetivo/eficaz/eficiente/poderoso
masculino	varonil/viril/varão/macho
exaustivo	largo/amplo/geral/completo/integral
carinhoso	passional/amorável/empenhado
estrangeiro	internacional
tolerante	paciente/caridoso
específico	preciso
alienígena	internacional
incolor	desinteressante/monótono/chato
arisco	horrível/antipático/ofensivo
coletivo	unido/solidário
vívido	alerta/energético/enérgico/vivo
desconsiderado	insensível
cândido	claro/crédulo
eficiente	útil/potente/poderoso/habilitado/competente/efetivo/eficaz
dinâmico	energético/enérgico
indolor	inofensivo/inócuo
afortunado	privilegiado/sortudo/próspero/bem-sucedido
judicioso	atento/sábio/prudente/responsável
sadio	racional
tênue	fino
subalterno	subordinado
solidário	comum/unido/coletivo/colectivo
bem-sucedido	afortunado/produtor/produtivo
significativo	significante/importante
casto	virtuoso/digno/nobre/moral/puro
prematuro	imaturo
jovem	júnior/imaturo/novo
selvagem	desobediente/intratável
conciso	taciturno
desencorajante	desesperado
funcional	prestativo
humorístico	aprazível
complacente	manipulável/obediente/tratável
impossível	insuperável/inexorável/inviável/impraticável/desesperado
secular	profano/sofisticado
próspero	afortunado/produtor/produtivo
anormal	insano
destemido	audacioso/audaz/bravo/valoroso/valente/afoito/arrojado/corajoso/aventureiro
completo	extenso/amplo/abrangente/exaustivo/integral/inteiro
lindo	gracioso/atraente/aprazível
tenso	desassossegado/inquieto/apertado
intenso	entranhado/profundo
gracioso	digno/bonito/formoso/lindo/belo/esbelto/garboso/airoso/elegante/grácil/mimoso/sofisticado
intrincado	árduo/difícil/foda/composto
crédulo	cândido
alto	grande/audível/ruidoso/barulhento
reto	virtuoso/nobre/decoroso/digno/inocente/moral/bom/boa/directo/perpendicular/vertical
intensivo	entranhado/profundo
comovente	impressionante/emocional
meigo	brando
inativo	letárgico
danoso	maligno/ofensivo/desfavorável/ofensiva/desvantajoso/nocivo/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
indigno	inútil/desprezível/desonroso/imoral
traseiro	posterior/rabo
pessimista	desesperado
reservado	taciturno
cedo	primeiro
amistoso	congenial/amigável/útil/social/cálido/sociável
mimoso	civilizado/gracioso/esbelto/garboso/airoso/elegante/exigente
nobre	recto/moral/piedoso/boa/religioso/justo/bom/reto/casta/casto/honrado
decoroso	reto/justo/recto/bom/boa/precioso/valioso/honrado
recto	virtuoso/nobre/decoroso/digno/inocente/moral/bom/boa
covardemente	timorato/receoso
paralelo	simétrico/comparável
acídulo	saboroso
atraente	bonito/formoso/lindo/belo/aprazível
avariado	lesionado/ferido/partido
privado	esotérico/pessoal
patriótico	fiel/leal
indemne	intato/seguro/indene
insuficiente	escasso
presumido	insípido
comestível	digerível/tenro/macio
resignado	paciente
habilitado	eficiente/qualificado/talentoso/capaz/habilidoso
fracionário	incompleto
crítico	erudito/desfavorável/sarcástico/essencial/decisivo/importante/crucial
daninho	maligno/ofensivo/desfavorável/ofensiva/desvantajoso/nocivo/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
varonil	macho/masculino
ditoso	feliz/contente
lerdo	retardado/imbecil/idiota/estúpido/sonso
errado	incorreto/desonroso/falso
brando	tenro/meigo
primeiro	original/dianteiro/temporão/precoce/cedo/primário
canhoto	esquerdo
hesitante	perplexo
inocente	reto/justo/recto
contente	satisfeito/animador/animado/ditoso/eufórico/feliz/grato/alegre
súbito	rápido/veloz
exigente	Limpo/grácil/mimoso
inclinado	oblíquo/gradual
divergente	oblíquo
retórico	figurativo
puro	casta/casto
inconsciente	adormecido
conotativo	implícito
incorrecto	injusto/imoral/maléfico/mau/má/ruim/malvado
eriçado	sujo
livre	independente
incônscio	adormecido
serviçal	prestável/útil/cooperativo/encorajador
pontudo	angular
tenaz	consciente
esquerdo	canhoto
honrado	honesto/sincero/decoroso/digno/moral/nobre
esquerdista	liberal/socialista
atento	judicioso/sensato/cauto/cauteloso/prudente/diligente
cómodo	favorável/profícuo/vantajoso/propício
adormecido	desfalecido/desmaiado/inconsciente/incônscio/desacordado
tangível	concreto
extenso	largo/amplo/geral/completo/integral
amigável	congenial/útil/social/cálido/sociável/amigo/amistoso/pacífico/amorável
idêntico	comparável/mesmo
efetivo	útil/potente/eficaz/poderoso/eficiente
elegível	qualificado
lícito	correto/legal
impraticável	impossível
geral	extenso/amplo/abrangente/exaustivo/impreciso/comum
sólido	duro
barulhento	alta/berrante/alto
colorido	cromático
superior	melhor
tagarela	comunicativo/prolixo
gentil	amável/simpático/agradável
mortal	limitado/finito
sensível	consciente/suscetível/ciente/informado
maduro	velho
desfalecido	adormecido
manipulável	obediente/complacente/submisso/tratável
tolo	desaconselhável/imprudente
incompleto	parcial/fracionário
ágil	astuto
fútil	superficial
inesperado	surpreendente
submisso	manipulável/obediente/tratável
decisivo	conclusivo/crítico/importante/crucial
incompetente	ineficiente
letárgico	inativo
desejável	amorável
copioso	rico
incorrigível	desobediente
benfeitor	amável
assertivo	agressivo
consciente	sensível/acordado/voluntário/informado/ciente/desperto
conveniente	apropriado/correto/justo/certo/acessível
bem	são/salubre/saudável
alta	audível/ruidoso/barulhento
desinteressante	incolor
protegido	invulnerável
resistente	experiente/experimentado/forte
religioso	virtuoso/digno/nobre/sagrado/devoto/piedoso
esbelto	digno/gracioso/grácil/mimoso/sofisticado/fino
animador	alegre/grato/feliz/contente
ocupado	diligente
válido	razoável/legítimo
oco	intrusivo/vazio
vago	dúbio/ambíguo/confuso
denotativo	explícito
obstinado	inflexível/intratável/desobediente
individual	separado
genuíno	verdadeiro/existente/sincero/honesto
prolixo	tagarela
móvel	movente
integral	completo/extenso/amplo/abrangente/exaustivo/inteiro
outro	separado
automático	mecânico
imprudente	negligente/descuidado/tolo
afirmativo	positivo/vantajoso/favorável
desprezível	indigno
prático	realístico/possível/concreto/prestativo
variável	inconsistente/inconstante
boa	favorável/obediente/melhor/respeitável/virtuoso/nobre/decoroso/digno/moral/reto/justo/recto/bom
criativo	original/produtor/produtivo
ruim	desfavorável/pior/maléfico/mau/má/malvado/desobediente/imoral/ofensivo/incorrecto
violento	malvado
escuro	negro/preto
moderado	suave
rugoso	áspero
ineficiente	inútil/vão/incompetente
inferior	pior/subordinado/baixo/baixa
produtivo	próspero/bem-sucedido/fértil/fecundo/frutífero/original/criativo/criador/rendoso/lucrativo/proveitoso
apropriado	próprio/adequado/conveniente
desaconselhável	imprudente/tolo
berrante	audível/ruidoso/barulhento
surpreendente	imprevisto/inesperado
equitativo	imparcial
paciente	tolerante/resignado
movente	móbil/móvel
sujo	indecente/eriçado/hirto
malvado	ruim/imoral/incorrecto/agressivo/ofensivo/abominável/violento
convencional	formal
má	ruim/imoral/ofensivo/incorrecto
razoável	válido/racional/lógico
escorregadio	liso/macio
teimoso	inflexível/intratável/desobediente
sonso	lerdo/estúpido
estável	constante/imutável/duradouro/permanente
indefinido	dúbio/ambíguo/confuso
perplexo	hesitante
apetitoso	saboroso
cortês	respeitoso
usual	comum
estranho	desajeitado/feio/estrangeiro/desconhecido
respeitoso	cortês
ávido	entusiástico/entusiasta
inapto	inútil/vão
extraordinário	inusual/insólito/impressionante/superior/incomparável
aceitável	satisfatório
lógico	razoável/artificial/sintético/analítico/consequente/coerente/racional
