apertado	tenso
compassivo	clemente/amável/humanitário/humano/brando
passado	antigo/velho
unido	coletivo/colectivo/solidário/integrado
abundante	rico
utópico	aprimorado/perfeito
vário	heterogêneo/diferente
inapropriado	enfermo/doente/adoentado/doentio/insalubre
cauteloso	cautelosa/prudente/atento
consequente	racional/lógico
fecundo	frutífero/proveitoso/produtor/produtivo
intrusivo	côncavo/oco
infernal	maléfico/má/ruim/malvado
calculável	determinável
propício	rendoso/lucrativo/proveitoso/oportuno/cómodo/auspicioso/favorável/profícuo
maligno	prejudicial/nocivo/daninho/danoso
normal	ordinário/costumeiro/genérico/comum/geral/usual/habitual/são/sadio/padrão
obediente	dócil/manipulável/complacente/submisso/tratável/boa
crucial	decisivo
exaustivo	largo/amplo/geral/completo/integral
carinhoso	passional/amorável/empenhado
estrangeiro	internacional
tolerante	caridoso
específico	preciso
alienígena	internacional
incolor	monótono/chato
coletivo	unido/solidário
vívido	alerta/vivo
cândido	crédulo
eficiente	poderoso/habilitado/competente/efetivo
indolor	inofensivo/inócuo
afortunado	privilegiado/sortudo/próspero/bem-sucedido
judicioso	atento/sábio/prudente/cautelosa/responsável
sadio	racional
tênue	fino
subalterno	subordinado
solidário	comum/unido/coletivo/colectivo/integrado
bem-sucedido	afortunado/produtor/produtivo
significativo	significante/importante
casto	nobre/moral/puro
jovem	júnior/imaturo/novo
selvagem	desobediente/intratável
conciso	taciturno
desencorajante	desesperado
funcional	prestativo
humorístico	aprazível
complacente	manipulável/obediente/tratável
secular	profano
próspero	afortunado/produtor/produtivo
anormal	insano
completo	amplo/exaustivo/integral/inteiro
tenso	desassossegado/inquieto/apertado
intenso	entranhado/profundo
gracioso	bonito/formoso/belo/garboso/airoso/elegante/grácil/mimoso
intrincado	árduo/difícil/foda/composto
crédulo	cândido
evidente	aberto
alto	grande/audível/ruidoso/barulhento
reto	nobre/decoroso/inocente/moral/boa/perpendicular/fio_de_prumo/vertical
intensivo	entranhado/profundo
comovente	impressionante
meigo	brando
inativo	letárgico
danoso	maligno/ofensivo/ofensiva/desvantajoso/nocivo/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
indigno	inútil/desprezível/desonroso/imoral
traseiro	rabo
pessimista	desesperado
cedo	primeiro
amistoso	congenial/amigável/social/cálido/sociável
mimoso	civilizado/gracioso/garboso/airoso/elegante/exigente
nobre	recto/moral/piedoso/boa/religioso/justo/reto/casta/casto/honrado
